Clause,mainVerb,mainReferent,Gold
"H.R. 5034: The Lies, The Facts, The Fictions",,,CANNOT_DECIDE
"With so much at stake for America's alcohol wholesalers and their protected monopoly status that props up unearned profits, it's no surprise",'s,it,STATIVE
they would swing for the fences with all their state-granted political power,swing,they,DYNAMIC
and attempt to pass H.R. 5034 .,pass,they,DYNAMIC
"This bill, currently in Congress, would give wholesaler lobbyists the means to turn back the clock on consumer access to wine,",give,bill,DYNAMIC
lead to the passage of laws,lead,bill,DYNAMIC
"that override federal regulations on alcohol,",override,laws,STATIVE
kill jobs and business,kill,bill,DYNAMIC
"that focus on artisan production of wine, beer and spirits,",focus,business,STATIVE
punish,punish,bill,DYNAMIC
and dismantle small specialty wine retailers,dismantle,,DYNAMIC
that serve the consumers,serve,retailers,DYNAMIC
that wholesalers won't and override the critical Constitutional principle of a single American economic union,override,bill,DYNAMIC
...all for the sake of protecting wholesaler profits by giving them unprecedented control and influence over the entire American alcohol industry.,protecting,sake,CANNOT_DECIDE
But what is truly remarkable (and likely a result of the wholesalers' hubris,is,what,STATIVE
"stemming from 75 years of being granted government welfare) is their willingness to misrepresent facts,",is,remarkable,STATIVE
"ignore the truth,",ignore,willingness,CANNOT_DECIDE
and mislead in their defense of H.R. 5034.,mislead,willingness,CANNOT_DECIDE
The recently launched www.hr5034.org website is the creation of the National Beer Wholesalers Association,is,website,STATIVE
and and appears to be the repository,appears,creation,STATIVE
"all the misrepresentation, ignorance and misleading ideas supporters of H.R. 5034 could possibly muster.",muster,supporters,DYNAMIC
"For the sake of context and setting the record straight, this post address many of the misrepresentations and misleading claims",address,post,DYNAMIC
made at the middlemen's disingenuous new website.,made,claims,STATIVE
On their homepage (,,,CANNOT_DECIDE
<link removed>,,,CANNOT_DECIDE
/ ),,,CANNOT_DECIDE
"""Todays system balances competition with public safety to ensure",ensure,safety,STATIVE
that consumers can enjoy alcohol,enjoy,consumers,STATIVE
"without suffering the negative effects of an unregulated marketplace""",suffering,consumers,CANNOT_DECIDE
Is there really any competition when the state-based regulatory system the wholesalers love,Is,/,CANNOT_DECIDE
so much require,require,system,STATIVE
"that producers of alcohol use a wholesaler to bring their goods to market,",use,producers,DYNAMIC
meaning,meaning,,STATIVE
that without use of a wholesaler a producer cannot enter a state's market?,enter,producer,CANNOT_DECIDE
It also means,means,It,STATIVE
that wholesalers get to decide,get,wholesalers,DYNAMIC
"what consumers drink, not consumers.",drink,consumers,DYNAMIC
"""Unfortunately the effective state-based regulatory system in the U.S. is under attack.",is,system,STATIVE
"Over the past 10 years,more than 25 states have faced challenges in federal courts to their authority to regulate alcohol and their ability to maintain a licensed system of alcohol controls.""",faced,states,DYNAMIC
The only challenges to the state-based alcohol regulatory system are those that discriminate against interstate commerce for protectionist reasons.,,,STATIVE
Even in the wake of successful suits that challenged the protectionist laws,challenged,suits,DYNAMIC
"that wholesalers originally pushed,",pushed,laws,DYNAMIC
the state retained extraordinarily broad authority to maintain a robust system of alcohol controls.,retained,state,DYNAMIC
"ON THE ""LEARN MORE"" PAGE (",ON,is,CANNOT_DECIDE
<link removed>,,,CANNOT_DECIDE
") ""Litigation against the states brought by those",brought,states,STATIVE
wishing to deregulate,wishing,those,STATIVE
"alcohol for their own economic interests is of great concern to state alcohol regulators, state attorneys general, public health advocates and many others.",is,Litigation,STATIVE
"""When the economic interests of producers, retailers and consumers are horsewhipped by states",horsewhipped,interests,DYNAMIC
doing the bidding of wholesales,doing,,DYNAMIC
"who receive more government protection and welfare from the state than any other industry in america,",receive,bidding,DYNAMIC
you might expect them to fight back.,expect,you,STATIVE
"As for those that have ""concern"", let's recall",recall,let,CANNOT_DECIDE
"that it's only a tiny fraction of state alcohol regulators,",'s,it,STATIVE
"that there is no formal support from state attorneys general, only a mere handful of public health advocates, a selection of recipients of campaign contributions from wholesalers and wholesalers themselves that support H.R.",is,support,STATIVE
5034 .,,,CANNOT_DECIDE
"""According to a recent national poll",According,,STATIVE
"conducted by the Center for Alcohol Policy, 79% of respondents support the right of individual states to set their own laws and regulations",support,%,STATIVE
surrounding the sale of alcohol and 87% agree that state and local laws,agree,%,STATIVE
"regarding alcohol regulations should be decided by lawmakers and citizens, not by judges.""",decided,laws,DYNAMIC
"I'm shocked, shocked i say,",'m,I,STATIVE
"that the ""center for alcohol policy"" is an arm of the national beer wholesalers association",is,center,STATIVE
and that it would conduct a poll,conduct,arm,DYNAMIC
that finds results,finds,poll,DYNAMIC
supporting those,supporting,finds,STATIVE
that funded the poll.,funded,those,DYNAMIC
Does it get any more illegitimate?,Does,,CANNOT_DECIDE
"On the ""Fact v. Fiction page (",,,CANNOT_DECIDE
<link removed>,,,CANNOT_DECIDE
