Clause,mainVerb,mainReferent,Gold
A monarchy is a form,is,monarchy,STATIVE
of government in which sovereignty is actually or nominally embodied in 1 or 2 individual,embodied,sovereignty,STATIVE
(s) (the monarch(s)).,,,CANNOT_DECIDE
Forms of monarchy differ widely based on the level of legal autonomy,differ,Forms,STATIVE
"the monarch holds in governance, the method of selection of the monarch, and any predetermined limits on the length of their tenure.",holds,monarch,STATIVE
"When the monarch has no or few legal restraints in state and political matters,",has,monarch,STATIVE
it is called an absolute monarchy,called,it,STATIVE
and is a form of autocracy.,is,,STATIVE
Cases in which the monarch's discretion is formally limited (most common today) are called constitutional monarchies.,called,Cases,STATIVE
"In hereditary monarchies, the office is passed through inheritance within a family group,",passed,office,DYNAMIC
whereas elective monarchies use some system of voting.,use,monarchies,DYNAMIC
Each of these has variations:,has,Each,STATIVE
"in some elected monarchies only those of certain pedigrees are eligible,",are,those,STATIVE
"whereas many hereditary monarchies impose requirements regarding the religion, age, gender, mental capacity, and other factors.",impose,monarchies,DYNAMIC
Occasionally this might create a situation of rival claimants,create,this,DYNAMIC
whose legitimacy is subject to effective election.,is,legitimacy,STATIVE
"Finally, there have been cases",been,repulsed,STATIVE
where the term of a monarchs reign is either fixed in years,fixed,term,STATIVE
or continues,continues,term,STATIVE
until certain goals are achieved:,achieved,goals,DYNAMIC
"an invasion being repulsed, for instance.",repulsed,cases,CANNOT_DECIDE
Thus there are widely divergent structures and traditions defining monarchy.,are,structures,STATIVE
"Monarchy was the most common form of government until the 19th century,",was,Monarchy,STATIVE
but it is no longer prevalent.,is,it,STATIVE
"Where it exists,",exists,it,STATIVE
"it is now usually a constitutional monarchy,",is,it,STATIVE
"in which the monarch retains a unique legal and ceremonial role,",retains,monarch,STATIVE
but exercises limited or no political power:,exercises,monarch,DYNAMIC
"under the written or unwritten constitution, others have governing authority.",have,others,STATIVE
"Currently, 44 sovereign nations in the world have monarchs acting as heads of state,",monarchs,nations,STATIVE
16 of which are Commonwealth realms,are,16,STATIVE
that recognise Queen Elizabeth II as their head of state.,recognise,heads,STATIVE
"All European monarchies are constitutional ones, with the exception of the Vatican City,",are,monarchies,STATIVE
but sovereigns in the smaller states exercise greater political influence than in the larger.,exercise,ones,DYNAMIC
"The monarchs of Cambodia, Japan, and Malaysia ""reign, but do not rule""",reign,monarchs,STATIVE
although there is considerable variation in the degree of authority,is,variation,STATIVE
they wield.,wield,they,STATIVE
"Although they reign under constitutions, the monarchs of Brunei, Oman, Qatar, Saudi Arabia and Swaziland appear to continue to exercise more political influence than any other single source of authority in their nations, either by constitutional mandate or by tradition.",appear,monarchs,STATIVE
== Etymology ==,,,CANNOT_DECIDE
"The word ""monarch"" (monarcha) comes from the Greek language word ,",comes,=,STATIVE
"monrkhs (from  monos,",,,CANNOT_DECIDE
"""one, singular"", and  rkh, ""to rule"" (compare  arkhon, ""leader, ruler, chief"")) which referred to a single, at least nominally absolute ruler.",referred,μονάρχης,STATIVE
"In current usage the word monarchy usually refers to a traditional system of hereditary rule,",refers,monarchy,DYNAMIC
as elective monarchies are rare nowadays.,are,monarchies,STATIVE
== History ==,,,CANNOT_DECIDE
"Tribal kingship is often connected to sacral functions,",connected,History,STATIVE
"so that the king acts as a priest,",acts,king,DYNAMIC
or is considered of Divine ancestry.,considered,king,STATIVE
"The sacral function of kingship was transformed into the notion of ""Divine right of kings"" in the Christian Middle Ages,",transformed,function,DYNAMIC
