Clause,mainVerb,mainReferent,Gold
Volleyball is a team sport,is,Volleyball,STATIVE
in which two teams of six players are separated by a net.,separated,teams,STATIVE
Each team tries to score points by grounding a ball on the other team's court under organized rules.,tries,team,DYNAMIC
It has been a part of the official program of the Summer Olympic Games since 1964.,been,It,STATIVE
The complete rules are extensive.,are,rules,STATIVE
"But simply, play proceeds",proceeds,play,DYNAMIC
as follows:,follows,,CANNOT_DECIDE
a player on one of the teams begins a 'rally' by serving the ball,begins,player,DYNAMIC
(tossing or releasing it,tossing,,DYNAMIC
"and then hitting it with a hand or arm), from behind the back boundary line of the court, over the net, and into the receiving team's court.",hitting,,DYNAMIC
The receiving team must not let the ball be grounded within their court.,let,team,DYNAMIC
The team may touch the ball up to 3 times,touch,team,DYNAMIC
but individual players may not touch the ball twice consecutively.,touch,team,DYNAMIC
"Typically, the first two touches are used to set up for an attack, an attempt to direct the ball back over the net in such a way",used,touches,DYNAMIC
that the serving team is unable to prevent it from being grounded in their court.,is,team,STATIVE
"The rally continues,",continues,rally,DYNAMIC
"with each team allowed as many as three consecutive touches,",allowed,team,STATIVE
"until either (1): a team makes a kill,",makes,team,DYNAMIC
grounding the ball on the opponent's court,grounding,makes,DYNAMIC
and winning the rally,winning,makes,DYNAMIC
; or (2): a team commits a fault,commits,team,DYNAMIC
and loses the rally.,loses,team,DYNAMIC
The team that wins,wins,team,CANNOT_DECIDE
"the rally is awarded a point,",awarded,team,DYNAMIC
and serves the ball to start the next rally.,serves,team,DYNAMIC
A few of the most common faults include:,include,few,STATIVE
* causing the ball to touch the ground or floor outside the opponents' court or without first passing over the net;,causing,*,DYNAMIC
* catching and throwing the ball;,catching,,CANNOT_DECIDE
* double hit: two consecutive contacts with the ball made by the same player;,*,,DYNAMIC
* four consecutive contacts with the ball,*,,CANNOT_DECIDE
made by the same team;,made,ball,DYNAMIC
* net foul: touching the net during play;,*,,CANNOT_DECIDE
* foot fault: the foot crosses over the boundary line,*,,DYNAMIC
when serving.,serving,,DYNAMIC
"The ball is usually played with the hands or arms,",played,ball,DYNAMIC
but players can legally strike or push (short contact) the ball with any part of the body.,strike,ball,DYNAMIC
"A number of consistent techniques have evolved in volleyball,",evolved,number,DYNAMIC
including spiking and blocking,including,volleyball,STATIVE
