Clause,mainVerb,mainReferent,Gold
Introduction,,,CANNOT_DECIDE
"Older adults are frequently counseled to lose weight,",,,DYNAMIC
even though there is little evidence,,,STATIVE
that overweight is associated with increased mortality in those over age 65.,,,STATIVE
Six large controlled population-based studies of non-smoking older adults have investigated the association between body mass index,,,DYNAMIC
"(BMI) and mortality,",,,CANNOT_DECIDE
controlling for relevant covariates [ 1 2 3 4 5 6 ] .,,,CANNOT_DECIDE
"All studies found excess risk for persons with very low BMI,",,,DYNAMIC
but that persons with moderately high BMI had little or no extra risk except in certain small subsets.,,,STATIVE
A review of 13 studies of older adults drew similar conclusions [ 7 ] .,,,DYNAMIC
Many healthy older adults report gradual weight gain throughout adult life.,,,DYNAMIC
It may be that a small amount of gradual weight gain is normative and associated with the most robust health as we age.,,,STATIVE
It has been suggested,,,DYNAMIC
that weight standards be adjusted upwards for age [ 8 ] .,,,DYNAMIC
"Such recommendations remain controversial, however,",,,STATIVE
"because the number of studies of older persons is fairly small,",,,STATIVE
and because few studies have examined the relation of BMI to quality of life or years of healthy life (YHL) in the elderly [ 9 ] .,,,DYNAMIC
"In older adults, risk factors may have a greater effect on health than on mortality.",,,STATIVE
"If so, then behavior change trials of weight modification might be more successful",,,STATIVE
"if they were evaluated on improved health, rather than on decreased mortality.",,,DYNAMIC
Clinical trials powered to detect differences in YHL would often require fewer subjects,,,STATIVE
than trials to detect survival differences or cardiovascular events [ 10 ] .,,,CANNOT_DECIDE
In this paper we study,,,STATIVE
"whether BMI at baseline is associated with living longer, and/or with more years of being healthy, in a cohort of older adults",,,STATIVE
"for whom risk factors, subclinical disease, and morbidity are well characterized.",,,STATIVE
The goal is to determine,,,STATIVE
"whether analyses based on years of life (YOL) or on YHL would provide substantively different results,",,,DYNAMIC
and which measure would yield more powerful evaluations of weight modification interventions in older adults.,,,DYNAMIC
Materials and methods,,,CANNOT_DECIDE
Study design: The Cardiovascular Health Study,,,CANNOT_DECIDE
The Cardiovascular Health Study (CHS),,,CANNOT_DECIDE
"is a population-based longitudinal study of 5,888 adults",,,STATIVE
aged 65 and older at baseline [ 11 ] .,,,STATIVE
Subjects were recruited from a random sample of the Medicare eligibility lists in four US counties.,,,DYNAMIC
Extensive baseline data were collected for all subjects,,,DYNAMIC
"using a baseline home interview, an annual mail questionnaire, and annual clinic examinations.",,,DYNAMIC
Additional information was collected in a brief telephone interview 6 months after each scheduled visit.,,,DYNAMIC
"Two cohorts were followed, one with 7 years of follow-up",,,DYNAMIC
(n,,,CANNOT_DECIDE
