Clause,mainVerb,mainReferent,Gold
The piano (an abbreviation of pianoforte),,,CANNOT_DECIDE
is a musical instrument,is,piano,STATIVE
played using a keyboard.,played,instrument,DYNAMIC
"It is widely used in classical and jazz music for solo performances, ensemble use, chamber music, accompaniment, and for composing and rehearsal.",used,It,DYNAMIC
"Although the piano is not portable and often expensive, its versatility and ubiquity have made it one of the world's most familiar musical instruments.",made,ubiquity,DYNAMIC
An acoustic piano usually has a protective wooden case,has,piano,STATIVE
"surrounding the soundboard and metal strings, and a row of 88 black and white keys (52 white, 36 black).",surrounding,case,STATIVE
The strings are sounded,sounded,strings,DYNAMIC
"when the keys are pressed,",pressed,keys,DYNAMIC
and silenced,silenced,strings,DYNAMIC
when the keys are released.,released,keys,DYNAMIC
"The note can be sustained,",sustained,note,DYNAMIC
"even when the keys are released, by the use of pedals.",released,keys,DYNAMIC
Pressing a key on the piano's keyboard causes a padded,causes,Pressing,DYNAMIC
(often with felt) hammer to strike strings.,felt,hammer,CANNOT_DECIDE
"The hammer rebounds, and the strings continue to vibrate at their resonant frequency.",rebounds,hammer,DYNAMIC
These vibrations are transmitted through a bridge to a soundboard,transmitted,vibrations,DYNAMIC
that amplifies by more efficiently coupling the acoustic energy to the air.,amplifies,soundboard,DYNAMIC
"When the key is released, a damper stops the strings' vibration,",stops,damper,DYNAMIC
ending the sound.,ending,damper,DYNAMIC
"Although an acoustic piano has strings,",has,piano,STATIVE
it is usually classified as a percussion instrument,classified,it,DYNAMIC
because the strings are struck rather than plucked (as with a harpsichord or spinet);,struck,strings,DYNAMIC
"in the Hornbostel-Sachs system of instrument classification, pianos are considered chordophones.",considered,pianos,STATIVE
"With technological advances, electric, electronic, and digital pianos have also been developed.",developed,pianos,DYNAMIC
The word piano is a shortened form of pianoforte,is,piano,STATIVE
"(PF), the Italian word for the instrument (which in turn derives from the previous terms gravicembalo col piano e forte and fortepiano).",derives,instrument,STATIVE
"The Italian musical terms piano and forte indicate ""soft"" and ""strong"" respectively,",indicate,piano,STATIVE
in this context referring to the variations in sound volume,referring,context,STATIVE
"the instrument produces in response to a pianist's touch on the keys: the greater the velocity of a key press, the greater the force of the hammer hitting the strings, and the louder the sound of the note",produces,instrument,DYNAMIC
produced.,produced,sound,DYNAMIC
==History==,,,CANNOT_DECIDE
