Clause,mainVerb,mainReferent,Gold
Rummy is a group of matching card games notable for similar gameplay based on the matching cards of the same rank or sequence and same suit.,is,group,STATIVE
The basic goal in any form of rummy is to build,is,goal,STATIVE
melds,,,CANNOT_DECIDE
"which consists of sets, three or four of a kind of the same rank; or runs, three or more cards in sequence, of the same suit.",consists,melds,STATIVE
The original form of rummy is called Sai rummy or Basic rummy.,called,form,STATIVE
"The Mexican game of Conquian is considered by games scholar David Parlett to be ancestral to all rummy games,",considered,game,STATIVE
which itself is derived from a Chinese game,derived,itself,STATIVE
"called Khanhoo and,",called,game,STATIVE
"going even further back, Mahjong.",going,Khanhoo,DYNAMIC
The Rummy principle of drawing and discarding with a view to melding appears in Chinese card games at least in the early 19th century and perhaps as early as the 18th century,appears,principle,DYNAMIC
"and is, in fact, the essence of Mah-jong.",is,principle,STATIVE
==General features of Rummy-style games==,,,CANNOT_DECIDE
===Melds===,,,CANNOT_DECIDE
A meld can either be a set,be,features,STATIVE
(also known as a book) or a run.,known,set,STATIVE
A set consists of at least three cards of the same rank,set,,STATIVE
and a run consists of at least three consecutive cards of the same suit.,consists,consists,STATIVE
"This is an almost universal pattern,",is,This,STATIVE
"although there exist minor variations, such as allowing only sets",exist,variations,STATIVE
or requiring runs,requiring,variations,CANNOT_DECIDE
in which its cards have no suits in common.,have,cards,STATIVE
"In some games, it is required",is,,STATIVE
that runs contain at least four cards.,contain,runs,STATIVE
"Some games also feature wild cards,",feature,games,STATIVE
which can be used to represent any card in a meld.,used,cards,DYNAMIC
The number of wild cards in a meld may be restricted.,restricted,number,STATIVE
===Deal===,,,CANNOT_DECIDE
A fairly large number of cards is used.,used,number,DYNAMIC
This varies from one standard deck upwards.,varies,This,STATIVE
"There are, for example, games",are,games,STATIVE
that use five standard decks,use,games,DYNAMIC
plus some jokers shuffled together.,shuffled,jokers,STATIVE
Each player is dealt a hand of cards;,dealt,player,DYNAMIC
while the specific number is dictated by the strain of rummy,dictated,number,DYNAMIC
"being played,",played,strain,DYNAMIC
the deck is never completely emptied.,emptied,deck,DYNAMIC
The remains of the deck are placed face down to form the stock.,placed,remains,DYNAMIC
There is also a face-up pile,is,pile,STATIVE
"called the discard pile,",called,pile,STATIVE
"which may be initially empty,",be,pile,STATIVE
"or it can contain one card,",contain,pile,STATIVE
which is turned from the stock.,turned,card,DYNAMIC
The winner is obliged to deal,obliged,winner,STATIVE
when a new game commences.,commences,game,DYNAMIC
===The Play===,,,CANNOT_DECIDE
In Rummy the number of cards dealt,dealt,cards,DYNAMIC
varies based on the type of rummy game,varies,number,STATIVE
being played as well as the number of players.,played,type,STATIVE
The person left of the dealer is the first person to play.,is,person,STATIVE
The dealer switches from person to person going to the left.,switches,dealer,DYNAMIC
The dealer flips one card to,flips,dealer,DYNAMIC
and places it next to the pile to begin the game.,places,dealer,DYNAMIC
The first person to go takes a card from the deck or the card,takes,person,DYNAMIC
placed beside it.,placed,card,STATIVE
"When the player has done that,",done,player,DYNAMIC
they may either put three cards of the same number or a straight.,put,they,DYNAMIC
"After this is done,",done,this,DYNAMIC
"or if they do not make a play at all, a card from their hand is discarded onto the pile beside the deck.",discarded,card,DYNAMIC
"If another player has cards down,",has,player,STATIVE
the others can play off of them.,play,others,DYNAMIC
In addition if all cards are put down at once and in the same suit,put,cards,DYNAMIC
it is an auto win for that player.,is,it,STATIVE
But if a jocker is used,used,jocker,DYNAMIC
it takes that players score to 0.,takes,it,DYNAMIC
===Scoring===,,,CANNOT_DECIDE
"When someone melds all their cards (except, possibly, for one,",melds,someone,DYNAMIC
"which is thrown into the discard pile),",thrown,one,DYNAMIC
the hand ends,ends,=,DYNAMIC
and the scores are calculated.,calculated,=,DYNAMIC
"In some games everyone can make melds at this phase,",make,everyone,DYNAMIC
and some games allow a player to end a hand with a few unmatched cards in their hand.,allow,everyone,DYNAMIC
"They typically get positive points for their melds, and/or negative points for non-melded cards in their hand.",get,They,DYNAMIC
"In some games large bonuses are given for special, particularly difficult melds.",given,bonuses,DYNAMIC
Also being the person,being,,CANNOT_DECIDE
"who melded all their cards is usually rewarded,",rewarded,person,DYNAMIC
depending on the game.,depending,,STATIVE
This award may be rather small,be,award,STATIVE
"compared to other scoring,",compared,,STATIVE
or it can be the deciding factor of the game.,be,it,STATIVE
==Basic Rummy==,,,CANNOT_DECIDE
There are many variations of the card game Rummy.,are,variations,STATIVE
Basic Rummy is also called Sai Rummy.,called,Rummy,STATIVE
Second type Rummy is also called Sanka Rummy.,called,Rummy,STATIVE
They all share a common set of features,share,They,STATIVE
found in the basic game.,found,features,STATIVE
A standard deck of 52 cards is used.,used,deck,DYNAMIC
The cards rank from 2 (low) to A (high).,rank,cards,STATIVE
"Rummy can be played to a certain score, or to a fixed number of deals.",played,Rummy,DYNAMIC
"When a player picks up more than one card,",picks,player,DYNAMIC
they must use the first card,use,they,DYNAMIC
and has to play,has,they,DYNAMIC
that card or else play is incomplete.,is,card,STATIVE
"In Rummy if more than one player goes over five hundred in the same round, the player with the highest score wins.",wins,player,DYNAMIC
If players tie then the player who was leading,tie,players,DYNAMIC
before that round wins.,round,player,DYNAMIC
===The Shuffle and Deal===,,,CANNOT_DECIDE
Each player draws a card.,draws,=,DYNAMIC
The player with the lowest card deals first.,,,DYNAMIC
