Clause,mainVerb,mainReferent,Gold
Philosophy of mind is a branch of philosophy,is,Philosophy,STATIVE
"that studies the nature of the mind, mental events, mental functions, mental properties, consciousness, and their relationship to the physical body, particularly the brain.",studies,branch,DYNAMIC
"The mindbody problem, i.e. the relationship of the mind to the body, is commonly seen as one key issue in philosophy of mind,",seen,problem,STATIVE
although there are other issues concerning the nature of the mind,are,issues,STATIVE
"that do not involve its relation to the physical body,",involve,nature,STATIVE
such as how consciousness is possible and the nature of particular mental states.,is,consciousness,STATIVE
Dualism and monism are the two major schools of thought,are,monism,STATIVE
that attempt to resolve the mindbody problem.,attempt,schools,DYNAMIC
"Dualism can be traced back to Plato, and the Sankhya and Yoga schools of Hindu philosophy,",traced,Dualism,STATIVE
but it was most precisely formulated by Ren Descartes in the 17th century.,formulated,Dualism,DYNAMIC
Substance dualists argue,argue,dualists,DYNAMIC
"that the mind is an independently existing substance,",is,mind,STATIVE
whereas property dualists maintain,maintain,dualists,STATIVE
that the mind is a group of independent properties,is,mind,STATIVE
that emerge from,emerge,properties,DYNAMIC
"and cannot be reduced to the brain,",reduced,properties,DYNAMIC
but that it is not a distinct substance.,is,it,STATIVE
Monism is the position,is,Monism,STATIVE
that mind and body are not ontologically distinct kinds of entities (independent substances).,are,mind,STATIVE
This view was first advocated in Western philosophy by Parmenides in the 5th century BC,advocated,view,DYNAMIC
and was later espoused by the 17th century rationalist Baruch Spinoza.,espoused,view,DYNAMIC
Physicalists argue,argue,Physicalists,DYNAMIC
"that only entities postulated by physical theory exist,",exist,entities,STATIVE
and that mental processes will eventually be explained in terms of these entities,explained,entities,DYNAMIC
as physical theory continues to evolve.,continues,theory,STATIVE
Physicalists maintain various positions on the prospects of reducing mental properties to physical properties,maintain,Physicalists,STATIVE
"(many of whom adopt compatible forms of property dualism),",adopt,of,STATIVE
and the ontological status of such mental properties remains unclear.,remains,Physicalists,STATIVE
Idealists maintain,maintain,Idealists,STATIVE
that the mind is all,is,mind,STATIVE
that exists,exists,mental,STATIVE
"and that the external world is either mental itself, or an illusion",is,itself,STATIVE
created by the mind.,created,all,DYNAMIC
Neutral monists such as Ernst Mach and William James argue,argue,monists,DYNAMIC
that events in the world can be thought of as either mental (psychological) or physical depending on the network of relationships,thought,events,STATIVE
"into which they enter,",enter,they,DYNAMIC
and dual-aspect monists such as Spinoza adhere to the position,adhere,monists,STATIVE
"that there is some other, neutral substance,",is,position,STATIVE
and that both matter and mind are properties of this unknown substance.,are,mind,STATIVE
The most common monisms in the 20th and 21st centuries have all been variations of physicalism;,been,monisms,STATIVE
"these positions include behaviorism, the type identity theory, anomalous monism and functionalism.",include,positions,STATIVE
"Most modern philosophers of mind adopt either a reductive or non-reductive physicalist position,",adopt,philosophers,DYNAMIC
maintaining in their different ways,maintaining,philosophers,STATIVE
that the mind is not something separate from the body.,is,mind,STATIVE
"These approaches have been particularly influential in the sciences, especially in the fields of sociobiology, computer science, evolutionary psychology and the various neurosciences.",been,approaches,STATIVE
"Other philosophers, however, adopt a non-physicalist position",adopt,philosophers,DYNAMIC
that challenges the notion,challenges,position,STATIVE
that the mind is a purely physical construct.,is,mind,STATIVE
Reductive physicalists assert,assert,physicalists,DYNAMIC
that all mental states and properties will eventually be explained by scientific accounts of physiological processes and states.,explained,states,DYNAMIC
Non-reductive physicalists argue,argue,physicalists,DYNAMIC
"that although the mind is not a separate substance,",is,mind,STATIVE
"mental properties supervene on physical properties,",supervene,properties,STATIVE
