Clause,mainVerb,mainReferent,Gold
Bob Cesca's Awesome Blog!,Blog,Awesome,CANNOT_DECIDE
Go!,Go,,CANNOT_DECIDE
// Copyright (c) 1996-1997 Athenia Associates.,,,CANNOT_DECIDE
//,,,CANNOT_DECIDE
<link removed>,,,CANNOT_DECIDE
/ // License is granted,granted,License,DYNAMIC
if and only if this entire // copyright notice is included.,included,notice,DYNAMIC
By Tomer Shiran.,,,CANNOT_DECIDE
"October 19, 2010",,,CANNOT_DECIDE
Effing Idiot,,,CANNOT_DECIDE
Go to 2:50,Go,October,CANNOT_DECIDE
and listen,listen,October,CANNOT_DECIDE
as the audience laughs and laughs at O'Donnell's stupidity.,laughs,audience,DYNAMIC
Damn.,,,CANNOT_DECIDE
"Well, at least she's losing.",losing,she,DYNAMIC
Badly.,,,CANNOT_DECIDE
"Thanks again, Sarah Palin!",Thanks,Palin,CANNOT_DECIDE
"You successfully turned a Republican seat to a,",turned,You,DYNAMIC
"you know, ""Marxist"" seat.",know,a,STATIVE
Good job.,,,CANNOT_DECIDE
You're a genius.,'re,You,STATIVE
"Filed under: Christine O'Donnell, Election 2010, Sarah Palin, Teabaggers, Wingnuts",Filed,,DYNAMIC
"Posted By Bob Cesca | October 19, 2010 2:43 PM",Posted,Wingnuts,DYNAMIC
Comments,,,CANNOT_DECIDE
"I heard this same accusation on Kos today,",heard,I,DYNAMIC
that the audience is laughing AT Christine O'Donnell on the first thing,laughing,O'Donnell,DYNAMIC
"she says,",says,she,DYNAMIC
but I disagree entirely:,disagree,audience,STATIVE
"On THAT point, HER supporters are laughing at COONS,",laughing,supporters,DYNAMIC
"it's absolutely a ""She's got YOU, DUMBASS!!""",'s,got,STATIVE
"laugh, the sort of ""Oh-No-She-D'I'INT!""",laugh,,CANNOT_DECIDE
laugh,,,CANNOT_DECIDE
you'd hear from a studio audience,hear,you,DYNAMIC
when the slightly stupid but affable and hitherto ineffective Dunce Character finally gets a zinger in on the Handsome Lead.,gets,Character,DYNAMIC
Remember,Remember,,CANNOT_DECIDE
"that at least half the audience in a venue like this would be there to support O'Donnell,",be,audience,STATIVE
"and the ""Point to 'Separation of Church and State' in the Constitution"" dig is a virulently popular meme in the loonosphere",is,dig,STATIVE
from whence comes the Teabagger Political Playbook.,comes,Remember,STATIVE
"Those are hoots and calls of SUPPORT for O'Donnell supposedly putting one over on Coons,",are,Those,STATIVE
they aren't laughing at her.,laughing,they,DYNAMIC
"There may very well have been a gasp,",been,,STATIVE
"and some uncomfortable ""Okay, that's enough now"" chuckles at the end,",chuckles,gasp,STATIVE
"but the guffaws at the top of the clip are WITH her, not AT her.",are,gasp,STATIVE
"Posted by: ELDING at October 19, 2010 2:52 PM",Posted,,DYNAMIC
Hilarious.,,,CANNOT_DECIDE
"Posted by: adx at October 19, 2010 3:00 PM",PM,3:00,DYNAMIC
I don't think,think,I,STATIVE
the audience is laughing at Coons;,laughing,audience,DYNAMIC
"the laughter has an incredulous, oh-my-god sound to it.",has,laughter,STATIVE
But it's obvious,'s,it,STATIVE
that O'Donnell thinks,thinks,O'Donnell,STATIVE
"they're laughing at him, not her.",laughing,they,DYNAMIC
"When she hears the reaction,",hears,she,DYNAMIC
"she looks out at the audience with a big, proud grin.",looks,she,DYNAMIC
She thinks,thinks,She,STATIVE
she just scored mucho points on Baldy.,scored,she,DYNAMIC
Elding is right;,is,Elding,STATIVE
"""separation of church and state isn't in the Constitution"" is a major wingnut talking point.",is,is,STATIVE
They routinely claim,claim,They,DYNAMIC
that the establishment of religion clause doesn't mean,mean,establishment,STATIVE
what everyone else thinks,thinks,everyone,STATIVE
it means.,means,it,STATIVE
So although this shows,shows,this,DYNAMIC
"what an extremist nut O'Donnell is,",is,O'Donnell,STATIVE
it's not really a gaffe;,'s,it,STATIVE
it's standard stuff right out of their playbook.,'s,it,STATIVE
"Posted by: Steve8489 at October 19, 2010 3:04 PM",Posted,Steve8489,DYNAMIC
"Well, if one is looking for the phrase, ""Separation of Church and State,"" yeah,",looking,Steve8489,DYNAMIC
"that's not in there, so TADA!",'s,Separation,STATIVE
Yay!,,,CANNOT_DECIDE
"Looks at me,",Looks,,CANNOT_DECIDE
I wins a big arguments,wins,I,DYNAMIC
and I poops my pants.,poops,I,DYNAMIC
But the principle is in there.,is,principle,STATIVE
I love,love,I,STATIVE
when ignorant fucks like O'Donnell and her little orcling hordes make huge category mistakes like this.,make,fucks,DYNAMIC
It's is akin to taking a tour of a college,'s,It,STATIVE
and starting it off at the administration offices,starting,,CANNOT_DECIDE
"and when that part of the tour is finished,",finished,'s,DYNAMIC
"someone like O'Donnell says, ""Ok,",says,someone,DYNAMIC
"that's great, but when are we gonna start seeing the college?""",'s,that,STATIVE
"Posted by: at October 19, 2010 3:10 PM",Posted,,DYNAMIC
"Yes, it's standard stuff,",'s,it,STATIVE
"and HER CROWD would have springboarded OFF of it, that's what I'm saying:",springboarded,stuff,DYNAMIC
"As far as she's concerned,",'s,she,STATIVE
"it's not a gaffe,",'s,it,STATIVE
"and as far as HER SUPPORTERS in the room are concerned,",are,SUPPORTERS,STATIVE
"it was not only NOT a gaffe,",NOT,it,STATIVE
it was a Direct Hit.,was,it,STATIVE
"They should have applauded,",have,They,DYNAMIC
that would have settled this matter for good.,settled,applauded,DYNAMIC
I'm convinced,convinced,I,STATIVE
"that's not laughing at her,",laughing,that,STATIVE
"that's ""Ooo, good one!""",'s,her,STATIVE
FOR her.,,,CANNOT_DECIDE
"Posted by: ELDING at October 19, 2010 3:11 PM",Posted,ELDING,DYNAMIC
"Well ELDING, its already being reported",reported,,DYNAMIC
that it was HER,was,it,STATIVE
that was clueless,was,HER,STATIVE
so Coons gets the last laugh on that.,gets,Coons,DYNAMIC
"Posted by: Allonfla at October 19, 2010 3:30 PM",PM,3:30,DYNAMIC
I don't believe,believe,I,STATIVE
"this was a public event, Elvis,",was,this,STATIVE
I think,think,I,STATIVE
it was a debate before the students at the law school.,was,it,STATIVE
"I mean,",mean,I,STATIVE
"it could be some of her supporters infiltrated,",be,it,STATIVE
but I truly believe,believe,I,STATIVE
"there would've been lots of catcalling, etc.",been,,STATIVE
if that were the case.,were,that,STATIVE
"Posted by: pea at October 19, 2010 3:30 PM",PM,Posted,DYNAMIC
"Yeah, Pea, you have a point there, but still:",have,Pea,STATIVE
"The laughter doesn't sound incredulous to me,",sound,laughter,STATIVE
it sounds appreciative and snarky.,sounds,it,STATIVE
Put yourself in a non-partisan Law School Student position: Would you laugh at loud at a Teabagger Meme like the one,Put,,CANNOT_DECIDE
"she dropped, or would you mutter/grumble to yourself,",dropped,she,CANNOT_DECIDE
"whispering to your colleague,",whispering,,DYNAMIC
"""What a fucking idiot!""",idiot,fucking,CANNOT_DECIDE
"I don't see a crowd like that laughing out loud at such a pitiful little meme,",see,I,DYNAMIC
it's not even worth a laugh-out-loud guffaw.,'s,guffaw,STATIVE
"Posted by: ELDING at October 19, 2010 3:53 PM",PM,3:53,DYNAMIC
"well, keep in mind",keep,,CANNOT_DECIDE
that all of them probably know,know,all,STATIVE
what a freak she is.,is,she,STATIVE
I think,think,I,STATIVE
"it might be more of a ""holy crap,",be,it,STATIVE
I can't believe,believe,I,STATIVE
she just topped all the other stupid shit,topped,she,DYNAMIC
"she's said,",said,she,DYNAMIC
"and I got to bear witness to it!""",got,I,DYNAMIC
laughter.,,,CANNOT_DECIDE
I know,know,I,STATIVE
"if I had the opportunity to attend a Sarah Palin rally,",had,I,STATIVE
I'd be overjoyed to hear some incredible stupid falling out of her mouth.,overjoyed,I,STATIVE
"Posted by: pea at October 19, 2010 4:07 PM",Posted,,DYNAMIC
"which would be, uh, ANY Sarah Palin rally.",be,October,STATIVE
Also.,,,CANNOT_DECIDE
"Posted by: pea at October 19, 2010 4:08 PM",Posted,,DYNAMIC
ELDING......,,,CANNOT_DECIDE
the debate was at a LAW SCHOOL.,was,debate,STATIVE
You really think,think,You,CANNOT_DECIDE
lawyers are going to laugh at Coons rather than O'Donnell???,going,lawyers,CANNOT_DECIDE
Not a snowballs chance in hell.,snowballs,a,CANNOT_DECIDE
"Posted by: Nicole473 at October 19, 2010 5:00 PM",Posted,Excerpts,DYNAMIC
Excerpts from,,,CANNOT_DECIDE
<link removed>,,,CANNOT_DECIDE
"""'You actually audibly heard the crowd gasp,'",heard,You,DYNAMIC
"Widener University political scientist Wesley Leckrone said after the debate,",said,Excerpts,DYNAMIC
adding,adding,,DYNAMIC
that it raised questions about O'Donnell's grasp of the Constitution.,raised,it,DYNAMIC
"Erin Daly, a Widener professor who specializes in constitutional law, said",said,Daly,DYNAMIC
"that while there are questions about what counts as government promotion of religion,",are,questions,STATIVE
there is little debate over whether the First Amendment prohibits the federal government from making laws,is,debate,STATIVE
establishing religion.,establishing,laws,STATIVE
"""She seemed genuinely surprised",seemed,She,STATIVE
"that the principle of separation of church and state derives from the First Amendment,",derives,principle,STATIVE
and I think to many of us in the law school,think,She,STATIVE
"that was a surprise,""",was,school,STATIVE
Daly said.,said,She,DYNAMIC
"""It's one thing to not know the 17th Amendment or some of the others,",'s,It,STATIVE
"but most Americans do know the basics of the First Amendment.""",know,thing,STATIVE
O'Donnell didn't respond to reporters,respond,O'Donnell,DYNAMIC
"who asked her to clarify her views after the debate.""",asked,reporters,DYNAMIC
"Posted by: Big_Ben at October 19, 2010 5:48 PM",Posted,Anyone,DYNAMIC
Anyone who says,says,Anyone,DYNAMIC
"""Evolution is only a THEORY...",is,Evolution,STATIVE
"it's not a fact"" is so stupid; so utterly",is,Anyone,STATIVE
"fucking brainless, uneducated, ignorant, clueless and unread",fucking,,CANNOT_DECIDE
they should immediately be sterilized on the slim chance,sterilized,they,DYNAMIC
that there's a genetic component to their imbecility.,'s,component,STATIVE
Anyone who stubbornly knows so little about science cannot possibly be expected to develop the analytical skills necessary to interpret Con Law.,expected,Anyone,STATIVE
"Posted by: cousinavi at October 19, 2010 5:50 PM",Posted,cousinavi,DYNAMIC
"If the laughter was with her,",was,laughter,STATIVE
"then the joke is on everyone there in support,",is,joke,STATIVE
"of course, because moments later, after she's basically pounding the desk talking about the constitution and her unyielding devotion to that",pounding,later,DYNAMIC
which does not separate church and state,separate,which,DYNAMIC
"(ha-ha), she can't recall the 14th and 16th amendments and needs to be refreshed by the questioner.",recall,she,DYNAMIC
"That's the real ""busted!""",'s,That,STATIVE
"moment here, if you ask me.",ask,moment,DYNAMIC
"For people who speak so militantly about adhering to the constitution,",speak,people,DYNAMIC
I expect a military like response to such a simple question.,expect,I,STATIVE
"Wingnuts will turn blue arguing about a Christian nation and constitution,",turn,Wingnuts,DYNAMIC
"but not knowing two amendments, as a person",knowing,,STATIVE
running to uphold and defend the constitution,running,person,DYNAMIC
"containing those amendments,",containing,constitution,STATIVE
this clip exposes her and the Tea Party faithful as constitutional frauds.,exposes,Wingnuts,DYNAMIC
Not knowing,knowing,,STATIVE
what the constitution says,says,constitution,STATIVE
when asked is bold font black over white.,is,knowing,STATIVE
"There's no grey area, here.",'s,area,STATIVE
"As a defender, you can say,",say,you,DYNAMIC
"""well, she believes",believes,she,STATIVE
"church and state are indivisible,",are,church,STATIVE
"so do I.""",do,,STATIVE
