Clause,mainVerb,mainReferent,Gold
"In botany, a tree is a perennial plant with an elongated stem, or trunk,",is,tree,STATIVE
supporting branches and leaves in most species.,supporting,,STATIVE
"In some usages, the definition of a tree may be narrower,",be,definition,STATIVE
"including only woody plants, only plants",including,,STATIVE
that are usable as lumber or only plants above a specified height.,are,plants,STATIVE
"At its broadest, trees include the taller palms, the tree ferns, bananas and bamboo.",include,trees,STATIVE
A tree typically has many secondary branches,has,tree,STATIVE
supported clear of the ground by the trunk.,supported,branches,STATIVE
"This trunk typically contains woody tissue for strength, and vascular tissue to carry materials from one part of the tree to another.",contains,trunk,STATIVE
For most trees it is surrounded by a layer of bark,surrounded,it,STATIVE
which serves as a protective barrier.,serves,bark,STATIVE
"Below the ground, the roots branch and spread out widely; they serve to anchor the tree",branch,roots,DYNAMIC
and extract moisture and nutrients from the soil.,extract,they,CANNOT_DECIDE
"Above ground, the branches divide into smaller branches and shoots.",divide,branches,DYNAMIC
"The shoots typically bear leaves,",bear,shoots,STATIVE
which capture light energy,capture,leaves,DYNAMIC
"and convert it into sugars by photosynthesis,",convert,leaves,DYNAMIC
providing the food for the tree's growth and development.,providing,leaves,DYNAMIC
"Flowers and fruit may also be present,",be,Flowers,STATIVE
"but some trees such as conifers instead have pollen cones and seed cones,",have,Flowers,STATIVE
and others such as tree ferns produce spores instead.,produce,Flowers,DYNAMIC
"Trees tend to be long-lived, some reaching several thousand years old.",tend,Trees,STATIVE
The tallest known specimen on Earth is 115.6 m (379 ft),is,specimen,STATIVE
and they have a theoretical maximum height of 130 m (426 ft).,have,m,STATIVE
Trees have been in existence on the Earth for 370 million years.,been,Trees,STATIVE
Trees are not a taxonomic group,are,Trees,STATIVE
but are a number of plant species,are,,STATIVE
that have independently evolved a woody trunk and branches as a way to tower above other plants,evolved,number,DYNAMIC
and make full use of the sunlight.,make,number,CANNOT_DECIDE
Trees play a significant role in reducing erosion,play,Trees,DYNAMIC
and moderating the climate.,moderating,Trees,CANNOT_DECIDE
They remove carbon dioxide from the atmosphere,remove,They,DYNAMIC
and store large quantities of carbon in their tissues.,,,STATIVE
Trees and forests provide a habitat for many species of animals and plants.,provide,Trees,STATIVE
Tropical rainforests are one of the most biodiverse habitats in the world.,are,rainforests,STATIVE
"Trees provide shade and shelter, timber for construction, fuel for cooking and heating, and fruit for food as well as having many other uses.",provide,Trees,DYNAMIC
"In parts of the world, forests are shrinking",shrinking,forests,DYNAMIC
as trees are cleared to increase the amount of land available for agriculture.,cleared,trees,DYNAMIC
"Because of their longevity and usefulness, trees have always been revered and",been,trees,DYNAMIC
they play a role in many of the world's mythologies.,play,trees,DYNAMIC
==Definition==,,,CANNOT_DECIDE
"Although ""tree"" is a term of common parlance, there is no universally recognised precise definition of what a tree is, neither botanically nor in common language.",is,definition,STATIVE
"In its broadest sense, a tree is any plant with the general form of an elongated stem, or trunk,",is,tree,STATIVE
which supports the photosynthetic leaves or branches at some distance above the ground.,supports,form,STATIVE
"Trees are also typically defined by height, with smaller plants",defined,Trees,STATIVE
"being classified as shrubs, however the minimum height",classified,plants,STATIVE
"which defines a tree varies widely, from 10 m to 0.5 m. By these broadest definitions,",varies,height,STATIVE
"large herbaceous plants such as papaya and bananas are trees,",are,plants,STATIVE
despite not being considered as trees under more rigorous definitions.,considered,Trees,STATIVE
Another criterion often added to the definition of a tree is that it has a woody trunk.,is,criterion,STATIVE
Such a definition excludes herbaceous trees such as bananas and papayas.,excludes,definition,STATIVE
Monocots such as bamboo and palms may be considered trees under such a definition.,considered,Monocots,STATIVE
Despite being herbaceous and not undergoing secondary growth,being,,STATIVE
"and never producing wood, palms and bamboo may produce ""pseudo-wood"" by lignifying cells",produce,bamboo,DYNAMIC
produced through primary growth.,produced,cells,DYNAMIC
"Aside from structural definitions, trees are commonly defined by use.",defined,trees,DYNAMIC
Trees may be defined as plants from which lumber can be produced.,defined,Trees,DYNAMIC
==Overview==,,,CANNOT_DECIDE
Trees have an evolutionary adaptation to competition for space.,have,Trees,STATIVE
"By growing taller, trees are able to compete better for sunlight.",are,trees,STATIVE
They have modified structures,modified,They,STATIVE
that allow them to grow much taller than herbaceous plants,allow,structures,STATIVE
"and spread out their foliage, such as thicker stems",spread,them,CANNOT_DECIDE
composed of specialized cells,composed,stems,STATIVE
that add structural strength and durability.,add,cells,STATIVE
They are long-lived perennial plants,are,They,STATIVE
that can increase their size each year by producing woody stems.,increase,plants,DYNAMIC
"They differ from shrubs,",differ,They,STATIVE
"which are also woody plants,",are,shrubs,STATIVE
by usually growing larger,growing,They,DYNAMIC
and having a single main stem;,having,They,STATIVE
"but the distinction between a small tree and a large shrub is not always clear,",is,distinction,STATIVE
made more confusing by the fact,made,clear,STATIVE
that trees may be reduced in size under harsher environmental conditions such as on mountains and subarctic areas.,reduced,trees,STATIVE
"The tree form has evolved separately in unrelated classes of plants in response to similar environmental challenges,",evolved,form,DYNAMIC
making it a classic example of parallel evolution.,making,,STATIVE
"With an estimated 100,000 species, the number of trees worldwide might total twenty-five percent of all living plant species.",total,number,STATIVE
Their greatest number grow in tropical regions,grow,number,DYNAMIC
"and many of these areas have not yet been fully surveyed by botanists, making tree diversity and ranges poorly known.",surveyed,number,DYNAMIC
"Trees exist in two different groups of vascular or higher plants, the gymnosperms and the angiosperms.",exist,Trees,STATIVE
Both groups are seed plants.,are,groups,STATIVE
"The gymnosperm trees include conifers, cycads, ginkgophytes and gnetales.",include,trees,STATIVE
Angiosperm trees are also known as broad-leaved trees.,known,trees,STATIVE
"Most angiosperm trees are eudicots, the ""true dicotyledons"",",are,trees,STATIVE
so named,named,eudicots,STATIVE
because the seeds contain two cotyledons or seed leaves.,contain,seeds,STATIVE
A relatively smaller number of other angiosperm trees are paleodicots;,are,number,STATIVE
"these include Amborella, Magnolia, nutmeg, avocado, and others.",include,these,STATIVE
Wood gives structural strength to a tree stem,gives,Wood,DYNAMIC
which is used to support the plant,used,stem,DYNAMIC
as it grows larger.,grows,it,DYNAMIC
"The vascular system of trees allows water, nutrients and other chemicals to be distributed",allows,system,DYNAMIC
"around the plant, and without it trees would not be able to grow as large",be,trees,STATIVE
as they do.,do,large,DYNAMIC
"The three main parts of trees include the root, stem, and leaves;",include,parts,STATIVE
they are integral parts of the vascular system,are,they,STATIVE
which interconnects all the living cells.,interconnects,system,STATIVE
"In trees and other plants that develop wood, the vascular cambium allows the expansion of vascular tissue",allows,cambium,STATIVE
that produces woody growth.,produces,tissue,DYNAMIC
"Because this growth ruptures the epidermis of the stem,",ruptures,growth,DYNAMIC
woody plants also have a cork cambium,have,plants,STATIVE
that develops among the phloem.,develops,cambium,DYNAMIC
The cork cambium gives rise to thickened cork cells to protect the surface of the plant,gives,cambium,DYNAMIC
and reduce water loss.,reduce,rise,CANNOT_DECIDE
Both the production of wood and the production of cork are forms of secondary growth.,are,production,STATIVE
"Trees are either evergreen,",are,having,STATIVE
having foliage,having,evergreen,STATIVE
