Clause,mainVerb,mainReferent,Gold
"Self-control, Self-efficacy, and New Year's Resolutions Unresolved",Unresolved,Self-efficacy,CANNOT_DECIDE
I'm not one to make New Year's resolutions.,'m,I,STATIVE
"I mean, sure,",mean,I,STATIVE
I could take my pick of popular New Year's resolutions ;,take,I,DYNAMIC
"I could decide, on the first day of the new year,",decide,I,DYNAMIC
"that this year, I'll start exercising more",start,I,DYNAMIC
"and eating better,",eating,,CANNOT_DECIDE
"or that I'll spend more time with my family and friends,",spend,I,DYNAMIC
or that I'll learn a new skill.,learn,I,DYNAMIC
"And if I chose to make resolutions,",chose,I,DYNAMIC
I'd be far from alone,be,I,STATIVE
-- a 2008 survey on Dorthy.com found,found,survey,DYNAMIC
that 66% of the 2000+ adults polled had made resolutions at some point,made,%,DYNAMIC
(though only 17% managed to keep them).,managed,%,DYNAMIC
Making resolutions: It's about self-control,Making,this,STATIVE
The question Anirban Mukhopadhyay of the Hong Kong University and Gita Venkatarmani Johar of the Graduate School of Business at Columbia University asked,asked,It,DYNAMIC
is this,is,,STATIVE
: What determines how many goals,determines,this,CANNOT_DECIDE
"a person will set,",set,determines,DYNAMIC
and how successful a person will be at achieving those goals?,be,goals,STATIVE
"They performed a few studies in 2005 to look at the relationship between self-control, goal setting, and goal achievement.",performed,They,DYNAMIC
They suggested,suggested,They,DYNAMIC
that what you believe,believe,you,STATIVE
about self-control affects the goals,affects,believe,DYNAMIC
you set and achieve [PDF].,set,you,DYNAMIC
"In the paper, ""self-control"" is used to mean a sense of willpower.",used,self-control,DYNAMIC
"Mukhopadhyay & Venkatarmani discuss various lay theories of self-control,",discuss,Mukhopadhyay,STATIVE
noting,noting,Mukhopadhyay,STATIVE
"that the amount of self-control a person has can be seen as either an inherently limited or unlimited resource,",seen,amount,DYNAMIC
and that this resource can be seen either,seen,amount,DYNAMIC
"as malleable or as fixed (the amount of self-control a person has can change over time, or not).",change,person,DYNAMIC
An important premise to note here is the idea,is,premise,STATIVE
