Clause,mainVerb,mainReferent,Gold
Surma is a panethnicity residing in South Sudan and southwestern Ethiopia.,is,Surma,STATIVE
"It includes the Nilo-Saharan-speaking Suri, Mursi and Me'en.",includes,It,STATIVE
==Overview==,,,CANNOT_DECIDE
"The term Surma is the Ethiopian government's collective name for the Suri, Mursi and Me'en groups",is,Surma,STATIVE
"that inhabit the southwestern part of the country, with a total population of 186,875.",inhabit,groups,STATIVE
All three groups speak languages belonging to the Surmic branch of the Nilo-Saharan language family.,speak,groups,STATIVE
"Some authors have used the terms ""Suri"" and ""Surma"" interchangeably, or for contradictory purposes.",used,authors,DYNAMIC
Suri or Shuri is the name of a sedentary pastoral people and its Nilo-Saharan language.,is,Shuri,STATIVE
"They inhabit the Bench Maji Zone of the Southern Nations, Nationalities, and People's Region",inhabit,They,STATIVE
(SNNPR) in Ethiopia as well as parts of neighbouring South Sudan.,neighbouring,parts,CANNOT_DECIDE
Some are also found west of Mizan Teferi.,found,Some,STATIVE
"Population: 20,622 (1998 est.).",,,CANNOT_DECIDE
Mursi or Murzu is the name of a closely related sedentary pastoral people,is,Mursi,STATIVE
whose language (Mursi) is over 80% cognate with Suri.,is,language,STATIVE
"They are located next to the Suri, in the center of the SNNPR and the lowlands southwest of Jinka in the Debub Omo Zone.",located,They,STATIVE
"The Mursi do not regard themselves as Surma, despite the cultural and linguistic similarities.",regard,Mursi,STATIVE
"Population: 7,500 of whom 92.25% live in the SNNPR (2007 census).",live,%,STATIVE
Me'en is the name of a closely related sedentary pastoral people,is,Me'en,STATIVE
"whose language, Me'en, is over 80% cognate with Mursi.",is,language,STATIVE
"They are located in and around Bachuma, and in lowlands to the south, near the Omo River.",located,They,STATIVE
"Population: 151,489 of whom 98.9% live in the SNNPR (2007 census).",live,%,STATIVE
==Shared culture==,,,CANNOT_DECIDE
All three peoples share a similar culture.,share,peoples,STATIVE
"Their homeland is remote, located in desolate mountains,",located,homeland,STATIVE
and traditional rivalries with their tribal neighbors such as the Nyangatom have become quite bloody,become,homeland,DYNAMIC
as automatic firearms have become available from the parties in the Sudanese Civil War.,become,firearms,DYNAMIC
The police allow foreigners to travel there only with a hired armed guard.,allow,police,DYNAMIC
"They have a fierce culture, with a liking for stick fighting",have,They,STATIVE
called Donga or Saginay bringing great prestige to men,called,fighting,STATIVE
 it is especially important,is,it,STATIVE
when seeking a bride ,seeking,,DYNAMIC
"and they are very competitive, at the risk of serious injury and occasional death.",are,they,STATIVE
"The males are often shaved bald,",shaved,males,STATIVE
"and frequently wear little or no clothes, even during stick fights.",wear,males,STATIVE
"At a young age, to beautify themselves for marriage, most women have their bottom teeth removed and their bottom lips pierced, then stretched, so as to allow insertion of a clay lip plate.",have,women,DYNAMIC
Some women have stretched their lips,stretched,women,DYNAMIC
so as to allow plates up to sixteen inches in diameter.,allow,lips,CANNOT_DECIDE
"Increasing with exposure to other cultures, however, a growing number of girls now refrain from this practice.",refrain,number,DYNAMIC
"Their children are sometimes painted with white clay paint,",painted,children,STATIVE
which may be dotted on the face or body.,dotted,paint,DYNAMIC
"Their villages normally range in size from 40 to 1,000 people,",range,villages,STATIVE
"but a few may reach 2,500 people.",reach,villages,DYNAMIC
"Village life is largely communal,",is,life,STATIVE
sharing the produce of the cattle,sharing,,DYNAMIC
"(milk and blood, as do the Maasai).",do,as,DYNAMIC
Though their chiefs (styled komaro),,,CANNOT_DECIDE
"may wear the fur crown of a pagan priest-king,",wear,chiefs,STATIVE
they are merely the most respected elder in a village,are,they,STATIVE
and they can be removed.,removed,elder,DYNAMIC
"Few Surma are familiar with Amharic, the official language of Ethiopia,",are,Surma,STATIVE
and their literacy level is very low.,is,level,STATIVE
==History==,,,CANNOT_DECIDE
"According to Suri oral tradition,",According,,STATIVE
they came to their present territory near Mount Naita about 200 years ago from the banks of the Nile River.,came,they,DYNAMIC
First they came to the Akobo (eastwards from the Nile).,came,they,DYNAMIC
Then the Meyun clan (part of the Suri at the time) went south to settle at Boma,went,clan,DYNAMIC
while the remaining Suri traveled across the border,traveled,Suri,DYNAMIC
and settled at Koma.,settled,Suri,DYNAMIC
"Around 1890, the Suri were constantly harassed by the Amhara, Gimira and Tirma.",harassed,Suri,DYNAMIC
"As a result of this harassment, numerous Suri were forced to join the Meoun clan (at Meyun).",forced,Suri,DYNAMIC
"In 1925, not long after this incident, the Suri settled on the Boma Plateau.",settled,Suri,DYNAMIC
The Suri is not the only tribe in the south of Ethiopia.,is,Suri,STATIVE
"There are around twelve more,",are,more,STATIVE
and all are surrounded by tension.,surrounded,more,STATIVE
"Each tribe has its own share of weapons,",has,tribe,STATIVE
making battles more violent.,making,tribe,DYNAMIC
"The Suri have one primary enemy, the Nyangatom.",have,Suri,STATIVE
"On a regular basis the Nyangatom and another enemy of the Suri, the Toposa, team up to raid the Suris cattle.",team,enemy,DYNAMIC
The Second Sudanese Civil War has also taken a toll on the Suri.,taken,War,DYNAMIC
This conflict has pushed neighboring tribes into Suris land,pushed,conflict,DYNAMIC
and is a constant competition to keep,is,,STATIVE
what they have.,have,they,STATIVE
Gun battles are most common during the dry season.,are,battles,STATIVE
Around this time the Suri move their cattle down south to find new ground.,move,Suri,DYNAMIC
State authorities havent made these hundreds of deaths their priority,made,authorities,DYNAMIC
or provided any form of justice for those,provided,authorities,DYNAMIC
involved.,involved,those,STATIVE
===Reports of displacement===,,,CANNOT_DECIDE
According to a tribal peoples advocacy groups,According,,STATIVE
"(Survival International and Native Solutions to Conservation Refugees), these peoples, particularly the Mursi, are in danger of displacement and denial of access to grazing and agricultural land, by the African Parks Foundation,",are,groups,STATIVE
"also known as African Parks Conservation, of the Netherlands.",,,STATIVE
These advocacy groups report,report,groups,DYNAMIC
that the Surma were coerced by government park officials into thumbprinting documents,coerced,Surma,DYNAMIC
they could not read.,read,they,DYNAMIC
The documents reportedly said,said,documents,STATIVE
the Surma agreed to give up their land,agreed,Surma,DYNAMIC
"without compensation and are being used to legalise the boundaries of the Omo National Park,",used,Surma,DYNAMIC
which African Parks has taken over.,taken,Parks,DYNAMIC
"This process, when finished,",finished,,DYNAMIC
will make the Surma 'illegal squatters' on their own land.,make,process,DYNAMIC
A similar fate is befalling the other groups,befalling,fate,DYNAMIC
"who also live within the park, the Dizi, and the Nyangatom.",live,groups,STATIVE
"In November 2004, it is reported",reported,it,DYNAMIC
"that 463 Guji Oromo houses were burned down in Nechisar National Park, Ethiopia, by government park officials and local police.",burned,houses,DYNAMIC
The people had been evicted,evicted,people,DYNAMIC
but were refusing to leave the area,refusing,people,STATIVE
after the African Parks Foundation signed an agreement with the government to take over management of the park.,signed,Foundation,DYNAMIC
Survival International reports,reports,International,DYNAMIC
"that, ""according to the African Parks 2004 annual report, the resettlement of the Kore and Guji people was an internal affair of the Federal and regional governments,",was,resettlement,STATIVE
"and African Parks had no role to play in the matter.""",had,affair,STATIVE
African Parks Foundation withdrew from Ethiopia in 2008.,withdrew,Foundation,DYNAMIC
==Religion and beliefs==,,,CANNOT_DECIDE
The Suri have a sky,have,Suri,STATIVE
god named Tuma.,named,god,STATIVE
The Suri also believe in spirits,believe,Suri,STATIVE
and use medicine men to undertake sacrifices or prayers,use,Suri,DYNAMIC
and directly send them to Tuma.,send,Suri,CANNOT_DECIDE
Another belief of the Suri is their rainmaker.,is,belief,STATIVE
This position in the tribe is passed down through heredity,passed,position,DYNAMIC
and is only given to one male in the tribe.,given,position,DYNAMIC
When the tribe feels,feels,tribe,STATIVE
"his services are needed, the men collect chips from a specific tree.",collect,men,DYNAMIC
These chips are then masticated,masticated,chips,DYNAMIC
and the remaining juice is then mixed with clay.,mixed,chips,DYNAMIC
This combination is poured and smeared over a man's body.,poured,combination,DYNAMIC
"After this process, rain is expected to fall.",expected,rain,DYNAMIC
==Economy==,,,CANNOT_DECIDE
The economy of the Suri is based on agriculture.,based,economy,STATIVE
"To name a few of the crops planted are cabbage, beans, yams, tobacco and coffee.",are,name,STATIVE
"During the dry season, the Suri also collect honey.",collect,Suri,DYNAMIC
The Suri pan gold to make pots in nearby streams,pan,Suri,DYNAMIC
which as later used in trade with the Juye and Murle.,used,streams,DYNAMIC
"Trades are also made between the Suri and the Ethiopian highlanders, Amhara and Shangalla.",made,Trades,DYNAMIC
Rifles and weapons are traded with Amhara and Shangalla,traded,weapons,DYNAMIC
"as are leopard and lion skin, giraffe tails, honey and ivory.",are,honey,CANNOT_DECIDE
The average male in the Suri tribe owns somewhere between 30 to 40 cows.,owns,male,STATIVE
These cows are not usually killed,killed,cows,DYNAMIC
unless they are needed for ceremonial purposes.,needed,they,STATIVE
Every young male is named,named,male,DYNAMIC
"after their cattle, which they are ruled to look after.",,,STATIVE
"Cows are tremendously important to the Suri, and at times Suri risk death to protect their herd;",are,Cows,STATIVE
Suri men are judged by how much cattle they own.,judged,men,DYNAMIC
"In desperate times, Suri men risk their lives to steal cattle from other tribes.",risk,men,DYNAMIC
Men also are not allowed to marry,allowed,Men,STATIVE
until they own 60 cows.,own,they,STATIVE
These cows are given to his wifes family after the ceremony.,given,cows,DYNAMIC
"To praise their cattle or mourn their deaths,",praise,,CANNOT_DECIDE
the Suri sing songs for them.,sing,Suri,DYNAMIC
==Culture==,,,CANNOT_DECIDE
Piercing and lip plates are a strong part of the Suri culture.,are,Piercing,STATIVE
At the point of puberty most women have their bottom teeth removed,have,women,DYNAMIC
in order to get their lower lip pierced.,get,,CANNOT_DECIDE
"Once the lip is pierced,",pierced,lip,DYNAMIC
it is then stretched,stretched,it,DYNAMIC
and a lip plate is then placed in the hole of the piercing.,placed,it,DYNAMIC
Having a lip plate is a sign of beauty,is,Having,STATIVE
"and the bigger the plate, the more cattle the woman is worth.",is,woman,STATIVE
This is important,is,This,STATIVE
when the women are ready to get married.,are,women,STATIVE
It is still unknown,is,It,STATIVE
why and how lip plates came to be used.,came,plates,DYNAMIC
One theory says,says,theory,STATIVE
lips plates were used to discourage slave owners from taking the women,used,plates,DYNAMIC
who had them.,had,women,STATIVE
"In recent years, some young women are refusing to have their lips pierced.",refusing,women,DYNAMIC
The Suri pride themselves on their scars and how many they carry.,pride,Suri,STATIVE
Women perform scarification by slicing their skin with a razor blade after lifting it with a thorn.,perform,Women,DYNAMIC
After the skin is sliced the piece of skin,sliced,skin,DYNAMIC
left over is left to eventually scar.,left,sliced,STATIVE
"On the other hand, the men scar their bodies after they kill someone from an enemy tribe.",scar,men,DYNAMIC
These rituals which are extremely painful are said,are,rituals,STATIVE
by some anthropologists are a type of controlled violence; a way,are,rituals,STATIVE
