Clause,mainVerb,mainReferent,Gold
Baseball is a bat-and-ball game,is,Baseball,STATIVE
played between two teams of nine players each,played,game,DYNAMIC
who take turns batting and fielding.,take,players,DYNAMIC
The offense attempts to score runs by hitting a ball,attempts,offense,DYNAMIC
thrown by the pitcher with a bat,thrown,ball,DYNAMIC
"and moving counter-clockwise around a series of four bases: first, second, third, and home plate.",moving,offense,DYNAMIC
A run is scored when a player advances around the bases and returns to home plate.,scored,run,DYNAMIC
Players on the batting team take turns,take,Players,DYNAMIC
"hitting against the pitcher of the fielding team,",hitting,,DYNAMIC
which tries to prevent runs by getting hitters out in any of several ways.,tries,pitcher,DYNAMIC
"A player on the batting team who reaches a base safely can later attempt to advance to subsequent bases during teammates' turns batting, such as on a hit or by other means.",attempt,player,DYNAMIC
The teams switch between batting and fielding,switch,teams,DYNAMIC
whenever the fielding team records three outs.,records,team,DYNAMIC
"One turn batting for both teams, beginning with the visiting team, constitutes an inning.",constitutes,batting,STATIVE
"A game comprises nine innings, and the team with the greater number of runs at the end of the game wins.",comprises,game,STATIVE
"Evolving from older bat-and-ball games, an early form of baseball was being played in England by the mid-18th century.",played,form,DYNAMIC
"This game was brought by immigrants to North America,",brought,game,DYNAMIC
where the modern version developed.,developed,version,DYNAMIC
"By the late 19th century, baseball was widely recognized as the national sport of the United States.",recognized,baseball,STATIVE
"Baseball is now popular in North America and parts of Central and South America and the Caribbean, East Asia, and Europe.",is,Baseball,STATIVE
"In the United States and Canada, professional Major League Baseball (MLB) teams are divided into the National League",divided,teams,STATIVE
"(NL) and American League (AL), each with three divisions: East, West, and Central.",,,CANNOT_DECIDE
The major league champion is determined by playoffs,determined,champion,DYNAMIC
that culminate in the World Series.,culminate,playoffs,DYNAMIC
The top level of play is similarly split in Japan between the Central League and Pacific Leagues and in Cuba between the West League and East League.,split,level,STATIVE
==History==,,,CANNOT_DECIDE
===Origins of baseball===,,,CANNOT_DECIDE
The evolution of baseball from older bat-and-ball games is difficult to trace with precision.,is,History,STATIVE
A French manuscript from 1344 contains an illustration of clerics,contains,manuscript,STATIVE
"playing a game, possibly la soule, with similarities to baseball.",playing,clerics,DYNAMIC
"Other old French games such as thque, la balle au bton, and la balle empoisonne also appear to be related.",appear,games,STATIVE
Consensus once held,held,Consensus,STATIVE
"that today's baseball is a North American development from the older game rounders, popular in Great Britain and Ireland.",is,baseball,STATIVE
Baseball Before We Knew It: A Search for the Roots of the Game,Knew,We,CANNOT_DECIDE
"(2005), by David Block, suggests",suggests,Search,DYNAMIC
that the game originated in England;,originated,game,DYNAMIC
recently uncovered historical evidence supports this position.,supports,evidence,STATIVE
Block argues,argues,Block,DYNAMIC
"that rounders and early baseball were actually regional variants of each other,",were,baseball,STATIVE
"and that the game's most direct antecedents are the English games of stoolball and ""tut-ball"".",are,antecedents,STATIVE
It has long been believed,believed,It,STATIVE
"that cricket also descended from such games,",descended,cricket,DYNAMIC
though evidence uncovered in early 2009 suggests,suggests,evidence,DYNAMIC
that cricket may have been imported to England from Flanders.,imported,cricket,DYNAMIC
"The earliest known reference to baseball is in a 1744 British publication, A Little Pretty Pocket-Book, by John Newbery.",is,reference,STATIVE
