Clause,mainVerb,mainReferent,Gold
"Judaism (from the Iudaismus, derived from the Greek grc, and ultimately from the Hebrew , Yehudah, ""Judah""; in Hebrew",derived,Iudaismus,STATIVE
": , Yahadut, the distinctive characteristics of the Judean ethnos) is the religion, philosophy, and way of life of the Jewish people.",is,Judaism,STATIVE
"Judaism is a monotheistic religion, with the Torah as its foundational text (part of the larger text",is,Judaism,STATIVE
"known as the Tanakh or Hebrew Bible),",known,text,STATIVE
and supplemental oral tradition represented by later texts such as the Midrash and the Talmud.,represented,religion,STATIVE
Judaism is considered by religious Jews to be the expression of the covenantal relationship,considered,Judaism,STATIVE
that God established with the Children of Israel.,established,God,DYNAMIC
"Judaism includes a wide corpus of texts, practices, theological positions, and forms of organization.",includes,Judaism,STATIVE
"Within Judaism there are a variety of movements,",are,variety,STATIVE
"most of which emerged from Rabbinic Judaism,",emerged,most,DYNAMIC
which holds,holds,Judaism,STATIVE
that God revealed his laws and commandments to Moses on Mount Sinai in the form of both the Written and Oral Torah.,revealed,God,DYNAMIC
"Historically, this assertion was challenged by various groups such as the Sadducees and Hellenistic Judaism during the Second Temple period",challenged,assertion,DYNAMIC
; the Karaites and Sabbateans during the early and later medieval period; and among segments of the modern reform movements.,,,CANNOT_DECIDE
Liberal movements in modern times such as Humanistic Judaism may be nontheistic.,be,movements,STATIVE
"Today, the largest Jewish religious movements are Orthodox Judaism",are,movements,STATIVE
"(Haredi Judaism and Modern Orthodox Judaism), Conservative Judaism and Reform Judaism.",,,CANNOT_DECIDE
"Major sources of difference between these groups are their approaches to Jewish law, the authority of the Rabbinic tradition, and the significance of the State of Israel.",are,sources,STATIVE
Orthodox Judaism maintains,maintains,Judaism,STATIVE
"that the Torah and Jewish law are divine in origin, eternal and unalterable,",are,Torah,STATIVE
and that they should be strictly followed.,followed,Torah,DYNAMIC
"Conservative and Reform Judaism are more liberal,",are,Judaism,STATIVE
"with Conservative Judaism generally promoting a more ""traditional"" interpretation of Judaism's requirements than Reform Judaism.",promoting,Judaism,DYNAMIC
A typical Reform position is that Jewish law should be viewed as a set of general guidelines rather than as a set of restrictions and obligations,is,position,DYNAMIC
whose observance is required of all Jews.,required,observance,STATIVE
"Historically, special courts enforced Jewish law; today,",enforced,courts,DYNAMIC
these courts still exist,exist,courts,STATIVE
but the practice of Judaism is mostly voluntary.,is,practice,STATIVE
"Authority on theological and legal matters is not vested in any one person or organization,",vested,Authority,DYNAMIC
but in the sacred texts and rabbis and scholars who interpret them.,interpret,rabbis,DYNAMIC
Judaism claims a historical continuity,claims,Judaism,STATIVE
"spanning more than 3,000 years.",spanning,continuity,STATIVE
Judaism has its roots as a structured religion in the Middle East during the Bronze Age.,has,Judaism,STATIVE
"Of the major world religions, Judaism is considered one of the oldest monotheistic religions.",considered,Judaism,STATIVE
"The Hebrews / Israelites were already referred to as ""Jews"" in later books of the Tanakh such as the Book of Esther, with the term Jews",referred,Israelites,DYNAMIC
"replacing the title ""Children of Israel"".",replacing,Jews,DYNAMIC
"Judaism's texts, traditions and values strongly influenced later Abrahamic religions,",influenced,values,DYNAMIC
"including Christianity, Islam and the Baha'i Faith.",including,,STATIVE
Many aspects of Judaism have also directly or indirectly influenced secular Western ethics and civil law.,influenced,aspects,DYNAMIC
The Jews are an ethnoreligious group,are,Jews,STATIVE
and include those born Jewish and converts to Judaism.,include,group,STATIVE
"In 2012, the world Jewish population was estimated at about 14 million, or roughly 0.2% of the total world population.",estimated,population,DYNAMIC
About 42% of all Jews reside in Israel,,,STATIVE
"and about 42% reside in the United States and Canada,",reside,%,STATIVE
"with most of the remainder living in Europe,",living,remainder,STATIVE
"and other minority groups spread throughout the world in South America, Asia, Africa, and Australia.",spread,%,STATIVE
