Clause,mainVerb,mainReferent,Gold
wiki_IslamGen.xml,,,
"Islam (; , lslm)",,,CANNOT_DECIDE
is a monotheistic and Abrahamic religion,is,Islam,STATIVE
"articulated by the Qur'an,",,,STATIVE
a book considered by its adherents to be the verbatim word of God,considered,book,STATIVE
"( , allh) and by the teachings and normative example (called the Sunnah",called,example,STATIVE
and composed of hadith),composed,example,STATIVE
"of Muhammad 570 CE  8 June 632 CE],",,,CANNOT_DECIDE
considered by them to be the last prophet of God.,considered,articulated,STATIVE
An adherent of Islam is called a Muslim.,called,adherent,STATIVE
Muslims believe,believe,Muslims,STATIVE
that God is one and incomparable,is,God,STATIVE
and the purpose of existence is to worship God.,is,God,STATIVE
Muslims also believe,believe,Muslims,STATIVE
that Islam is the complete and universal version of a primordial faith,is,Islam,STATIVE
"that was revealed before many times throughout the world,",revealed,faith,DYNAMIC
"including notably through Adam, Noah, Abraham, Moses, and Jesus,",including,,STATIVE
whom they consider prophets.,consider,they,STATIVE
They maintain,maintain,They,STATIVE
"that the previous messages and revelations have been partially misinterpreted or altered over time,",misinterpreted,revelations,DYNAMIC
but consider the Arabic Qur'an to be both the unaltered and the final revelation of God.,consider,messages,STATIVE
"Religious concepts and practices include the five pillars of Islam,",include,practices,STATIVE
"which are basic concepts and obligatory acts of worship, and following Islamic law, which touches on virtually every aspect of life and society,",are,pillars,STATIVE
"providing guidance on multifarious topics from banking and welfare, to family life and the environment.",providing,concepts,DYNAMIC
Most Muslims are of two denominations:,are,Muslims,STATIVE
Sunni (7590%) or Shia (1020%).,,,CANNOT_DECIDE
"About 13% of Muslims live in Indonesia, the largest Muslim-majority country, 25% in South Asia, 20% in the Middle East, and 15% in Sub-saharan Africa.",live,%,STATIVE
"Sizable minorities are also found in Europe, China, Russia, and the Americas.",found,minorities,STATIVE
Converts and immigrant communities are found in almost every part of the world,found,communities,STATIVE
(see Islam by country).,see,,CANNOT_DECIDE
"With about 1.6 billion followers or 23% of earth's population, Islam is the second-largest religion and arguably the fastest-growing major religion in the world.",is,religion,STATIVE
==Articles of faith==,,,CANNOT_DECIDE
===God===,,,CANNOT_DECIDE
"Islam's most fundamental concept is a rigorous monotheism,",is,Articles,STATIVE
called tawhd ().,called,tawhīd,STATIVE
God is described in chapter 112 of the Qur'an as:,described,God,DYNAMIC
"""Say:",Say,God,CANNOT_DECIDE
"He is God, the One and Only;",is,He,STATIVE
"God, the Eternal, Absolute; He begetteth not, nor is He begotten;",begetteth,God,DYNAMIC
"And there is none like unto Him.""",is,God,STATIVE
"() Muslims and Jews repudiate the Christian doctrine of the Trinity and divinity of Jesus,",repudiate,Jews,STATIVE
comparing it to polytheism.,comparing,Muslims,DYNAMIC
"In Islam, God is beyond all comprehension and Muslims are not expected to visualize God.",is,God,STATIVE
"God is described and referred to by certain names or attributes, the most common being Al-Rahmn,",described,God,DYNAMIC
"meaning ""The Compassionate"" and Al-Rahm,",meaning,Al-Rahmān,STATIVE
"meaning ""The Merciful"" (See Names of God in Islam).",meaning,Al-Rahmān,STATIVE
Muslims believe,believe,Muslims,STATIVE
"that the creation of everything in the universe was brought into being by Gods sheer command, Be",brought,creation,DYNAMIC
"and so it is,",is,it,STATIVE
and that the purpose of existence is to worship God.,is,creation,STATIVE
He is viewed as a personal god,viewed,He,STATIVE
who responds,responds,god,DYNAMIC
whenever a person in need or distress calls him.,calls,person,DYNAMIC
"There are no intermediaries, such as clergy, to contact God",are,intermediaries,STATIVE
"who states,",states,God,DYNAMIC
"""I am nearer to him than (his) jugular vein.""",nearer,I,STATIVE
"The reciprocal nature is mentioned in the hadith qudsi,",mentioned,nature,DYNAMIC
"""I am as My servant thinks (expects) I am.""",am,I,STATIVE
Allh is the term with no plural or gender,is,Allāh,STATIVE
"used by Muslims and Arabic-speaking Christians and Jews to reference God,",used,plural,DYNAMIC
while () is the term,is,إله,STATIVE
used for a deity or a god in general.,used,term,DYNAMIC
"Other non-Arab Muslims might use different names as much as Allah, for instance ""Tanr"" in Turkish, ""Khod"" in Persian or in Urdu.",use,Muslims,DYNAMIC
===Angels===,,,CANNOT_DECIDE
Belief in angels is fundamental to the faith of Islam.,is,=,STATIVE
"The Arabic word for angel ( ) means ""messenger"", like its counterparts in Hebrew",means,word,STATIVE
(malakh) and Greek (angelos).,,,CANNOT_DECIDE
"According to the Qur'an, angels do not possess free will, and therefore worship and obey God in total obedience.",According,,STATIVE
"Angels' duties include communicating revelations from God,",include,duties,STATIVE
"glorifying God,",glorifying,,CANNOT_DECIDE
"recording every person's actions,",recording,,CANNOT_DECIDE
and taking a person's soul at the time of death.,taking,,CANNOT_DECIDE
Muslims believe,believe,Muslims,STATIVE
that angels are made of light.,made,angels,STATIVE
"They are described as ""messengers with wingstwo, or three, or four",described,They,DYNAMIC
(pairs): He [God,[,pairs,CANNOT_DECIDE
] adds to Creation,adds,],DYNAMIC
"as He pleases...""",pleases,He,STATIVE
===Revelations===,,,CANNOT_DECIDE
The Islamic holy books are the records,are,messengers,STATIVE
which most Muslims believe,believe,Muslims,STATIVE
were dictated by God to various prophets.,dictated,records,DYNAMIC
Muslims believe,believe,Muslims,STATIVE
"that parts of the previously revealed scriptures, the Tawrat",,,CANNOT_DECIDE
"(Torah) and the Injil (Gospels),",,,CANNOT_DECIDE
"had become distortedeither in interpretation, in text, or both.",become,parts,DYNAMIC
"The Qur'an (literally, Reading or Recitation)",,,CANNOT_DECIDE
is viewed by Muslims as the final revelation and literal word of God,viewed,Qur,STATIVE
and is widely regarded as the finest literary work in the Arabic language.,regarded,Qur,STATIVE
Muslims believe,believe,Muslims,STATIVE
"that the verses of the Qur'an were revealed to Muhammad by God through the archangel Gabriel (Jibrl) on many occasions between 610 CE until his death on June 8, 632.",revealed,verses,DYNAMIC
"While Muhammad was alive,",was,Muhammad,STATIVE
all of these revelations were written down by his companions,written,all,DYNAMIC
"(sahabah), although the prime method of transmission was orally through memorization.",was,method,STATIVE
"The Qur'an is divided into 114 suras, or chapters,",divided,Qur,STATIVE
"which combined,",combined,chapters,STATIVE
"contain 6,236 yt,",contain,suras,STATIVE
or verses.,,,CANNOT_DECIDE
"The chronologically earlier suras, revealed at Mecca,",revealed,suras,DYNAMIC
are primarily concerned with ethical and spiritual topics.,concerned,suras,STATIVE
The later Medinan suras mostly discuss social and moral issues relevant to the Muslim community.,suras,Medinan,DYNAMIC
"The Qur'an is more concerned with moral guidance than legal instruction,",is,Qur,STATIVE
"and is considered the ""sourcebook of Islamic principles and values"".",considered,Qur,STATIVE
