Clause,mainVerb,mainReferent,Gold
Psychology is an academic and applied discipline,is,Psychology,STATIVE
that involves the scientific study of mental functions and behaviors.,involves,discipline,STATIVE
Psychology has the immediate goal of understanding individuals and groups by both establishing general principles,has,Psychology,STATIVE
"and researching specific cases, and by many accounts",researching,goal,CANNOT_DECIDE
it ultimately aims to benefit society.,aims,Psychology,STATIVE
"In this field, a professional practitioner or researcher is called a psychologist",called,researcher,STATIVE
"and can be classified as a social, behavioral, or cognitive scientist.",be,practitioner,STATIVE
"Psychologists attempt to understand the role of mental functions in individual and social behavior,",attempt,Psychologists,DYNAMIC
while also exploring the physiological and biological processes,exploring,,DYNAMIC
that underlie cognitive functions and behaviors.,underlie,processes,STATIVE
"Psychologists explore concepts such as perception, cognition, attention, emotion, intelligence, phenomenology, motivation, brain functioning, personality, behavior, and interpersonal relationships,",explore,Psychologists,DYNAMIC
"including psychological resilience, family resilience, and other areas.",including,,STATIVE
Psychologists of diverse orientations also consider the unconscious mind.,consider,Psychologists,STATIVE
Psychologists employ empirical methods to infer causal and correlational relationships between psychosocial variables.,employ,Psychologists,DYNAMIC
"In addition, or in opposition, to employing empirical and deductive methods, someespecially clinical and counseling psychologistsat times rely upon symbolic interpretation and other inductive techniques.",rely,—,STATIVE
"Psychology has been described as a ""hub science"", with psychological findings",described,Psychology,DYNAMIC
"linking to research and perspectives from the social sciences, natural sciences, medicine, and the humanities, such as philosophy.",linking,findings,DYNAMIC
"While psychological knowledge is often applied to the assessment and treatment of mental health problems,",applied,knowledge,DYNAMIC
it is also directed towards understanding and solving problems in many different spheres of human activity.,directed,it,STATIVE
"The majority of psychologists are involved in some kind of therapeutic role,",involved,majority,STATIVE
"practicing in clinical, counseling, or school settings.",practicing,kind,DYNAMIC
Many do scientific research on a wide range of topics,do,Many,DYNAMIC
"related to mental processes and behavior,",related,topics,STATIVE
and typically work in university psychology departments,work,topics,DYNAMIC
"or teach in other academic settings (e.g., medical schools, hospitals).",teach,,DYNAMIC
