Clause,mainVerb,mainReferent,Gold
The debate over homosexuality has been one of the most long-lasting and controversial ones ever.,been,debate,STATIVE
"What, exactly, causes homosexuality?",causes,What,CANNOT_DECIDE
Some would say,say,Some,DYNAMIC
"it is a gene,",is,it,STATIVE
passed on from parents to child.,passed,gene,DYNAMIC
Others would argue,argue,Others,DYNAMIC
that it is a result of a childs upbringing.,is,it,STATIVE
Still more would claim,claim,more,DYNAMIC
that it is a mental illness,is,it,STATIVE
that can and should be cured.,cured,illness,DYNAMIC
"Perhaps then, it is a combination of some of these?",is,it,CANNOT_DECIDE
"No one knows for sure,",knows,one,STATIVE
and it is possible,is,stop,STATIVE
"no one ever will, but that surely does not stop everyone from coming up with their own theories and beliefs on the matter.",stop,one,STATIVE
"Documented homosexuality dates as far back as ancient Greece and other cultures of the time,",dates,homosexuality,STATIVE
where it was considered to be a very normal and natural occurrence (Emond).,considered,it,STATIVE
"In his book The Symposium, Plato wrote Those",wrote,Plato,DYNAMIC
"who are halves of a man whole pursue males, and being slices,",pursue,Those,DYNAMIC
"so to speak,",speak,,CANNOT_DECIDE
"of the male, love men throughout their boyhood,",love,,STATIVE
and take pleasure in physical contact with men (qtd.,take,,DYNAMIC
in Isay 11).,Isay,,CANNOT_DECIDE
This shows,shows,This,STATIVE
that not only did Plato consider it normal,did,,STATIVE
"for a male to be attracted to another male,",attracted,it,STATIVE
he also believed,believed,he,STATIVE
"that it began at a very young age,",began,it,DYNAMIC
as the word boyhood signifies.,“,age,STATIVE
"In fact, Plato even considered love between two members of the same sex to be the only real and lasting love and necessary for democracy.",considered,Plato,STATIVE
"Furthermore, there were many occurrences of homosexual behavior in Greek mythology;",were,occurrences,STATIVE
"Hercules is rumored to have had 14 male lovers,",rumored,Hercules,STATIVE
and Zeus himself partook in such behavior.,partook,Hercules,DYNAMIC
"Even Homer wrote about Achilles and Patroclus,",wrote,Homer,DYNAMIC
who have been considered to be the perfect model of true love (Emond).,considered,Achilles,STATIVE
But it was not until 1869,was,it,STATIVE
"that the term homosexual was first used, to describe a man or woman",“,term,DYNAMIC
whose feelings of sexual attraction are for someone of the same sex (Marcus 1).,are,feelings,STATIVE
"(However, for the purposes of this paper, homosexuality will be looked at solely in terms of men).",looked,homosexuality,STATIVE
"At this point in time, Karl Maria Kertbeny used the word in a pamphlet",used,Kertbeny,DYNAMIC
which fought to repeal the current antihomosexual laws of Prussia.,fought,pamphlet,DYNAMIC
"Kertbeny derived this word from the Greek word for same and the Latin word for sex,",derived,Kertbeny,DYNAMIC
,”,Kertbeny,CANNOT_DECIDE
whereas a heterosexual is a person,is,heterosexual,STATIVE
whose feelings of sexual attraction are for the opposite sex (Marcus 1).,are,feelings,STATIVE
It was also in the 1800s,was,It,STATIVE
"when the debate itself over the cause of homosexuality was started by Magnus Hirschfeld, a physician, sex researcher, leading sexologist, homosexual, and founder of the first gay rights movement in Germany,",started,debate,DYNAMIC
who believed,believed,movement,STATIVE
that homosexuality was biological in nature (Marcus 10).,biological,homosexuality,STATIVE
"Hirschfeld also founded the Scientific Humanitarian committee,",founded,Hirschfeld,DYNAMIC
"which was mostly homosexual, in 1897.",was,committee,STATIVE
"The committee published many books and other forms of literature,",published,committee,DYNAMIC
which gave Hirschfeld a great amount of prestige in his field.,gave,forms,DYNAMIC
"He became known as one of the founding fathers of sexology,",became,He,DYNAMIC
and furthered this position,furthered,He,DYNAMIC
"when he opened the worlds first sexological institute, the institute for Sexual Science in Berlin, in 1919,",opened,he,DYNAMIC
which was destroyed by the Nazis 15 years later.,destroyed,1919,DYNAMIC
"Hirschfeld largely supported the Urning theory of Karl Ulrichs, with minor additions;",supported,Hirschfeld,STATIVE
"he believed in some hormonal theories as a cause of homosexuality,",believed,he,STATIVE
but this only led to unsuccessful attempts to cure homosexuals with the use of hormone injections.,led,he,DYNAMIC
"This theory, which defined Urnings as males",defined,theory,STATIVE
"who turned to other males as sexual partners,",turned,males,DYNAMIC
"was published in twelve pamphlets by Ulrichs, starting in1864.",published,theory,DYNAMIC
"The first, Vindex, defended Urnings,",defended,first,DYNAMIC
"while the second, Inclusa, which followed shortly after,",followed,second,DYNAMIC
described the first scientific theory of homoerotic desire.,described,second,DYNAMIC
Ulrichs believed,believed,Ulrichs,STATIVE
that Urnings were attracted to other males,attracted,Urnings,STATIVE
"because they were hermaphrodites of the mind,",“,they,STATIVE
 meaning,meaning,they,STATIVE
"while they may have been male in body,",been,they,STATIVE
"they were female in soul and mind,",were,they,STATIVE
leading them to be naturally attracted to males in terms of sexual partners.,leading,,DYNAMIC
"This, he claimed,",claimed,he,DYNAMIC
"made laws such as paragraph 175, a law",made,This,STATIVE
adopted by King William I throughout the German Kingdoms at the time of their unification,adopted,paragraph,DYNAMIC
"which forbade sex between males,",forbade,time,STATIVE
and forced criminal penalties upon individuals,forced,time,DYNAMIC
"partaking in such behavior, unfair and unreasonable .",partaking,individuals,DYNAMIC
Ulrichs claimed,claimed,Ulrichs,DYNAMIC
that the origin of such a disposition was natural and inborn (Wikholm).,was,origin,STATIVE
"A couple thousand years after Plato and Homer, Sigmund Freud still believed homosexuality to be a natural behavior.",believed,Freud,STATIVE
"In an interview in 1903, he professed his beliefs:",professed,he,DYNAMIC
I am of the firm conviction that homosexuals must not be treated as sick people,…,sick,STATIVE
Homosexual persons are not sick.,are,persons,STATIVE
They also do not belong in a court of law!,belong,They,STATIVE
(qtd.,,,CANNOT_DECIDE
in Isay 3).,Isay,,CANNOT_DECIDE
"In 1935, he furthered his claims",furthered,he,DYNAMIC
"when he wrote a now famous Letter to an American Mother of a homosexual,",wrote,he,DYNAMIC
which stated,stated,”,DYNAMIC
"that Homosexuality is assuredly no advantage,",is,Homosexuality,STATIVE
"but is nothing to be ashamed of, no vice, no degradation,",is,,STATIVE
it cannot be classified as an illness,classified,it,DYNAMIC
