Clause,mainVerb,mainReferent,Gold
Pintupi refers to an Australian Aboriginal group,refers,Pintupi,STATIVE
who are part of the Western Desert cultural group,are,group,STATIVE
and whose homeland is in the area west of Lake MacDonald and Lake Mackay in Western Australia.,is,part,STATIVE
These people moved (or were moved) into the Aboriginal communities of Papunya and Haasts Bluff in the west of the Northern Territory in the 1940s-1980s.,moved,people,DYNAMIC
"The last Pintupi to leave their traditional lifestyle in the desert, in 1984, are a group",are,called,STATIVE
"known as the Pintupi Nine,",known,group,STATIVE
"also sometimes called the ""lost tribe"".",called,group,DYNAMIC
"Over recent decades groups of Pintupi have moved back to their traditional country,",moved,groups,DYNAMIC
as part of what has come to be called the outstation movement.,come,part,DYNAMIC
These groups set up the communities of Kintore,set,groups,DYNAMIC
"(Walungurru in Pintupi) in the Northern Territory, Kiwirrkura and Jupiter Well (in Pintupi: Puntutjarrpa) in Western Australia.",,,CANNOT_DECIDE
There was also a recent dramatic increase in Pintupi populations and speakers of the Pintupi language.,was,increase,STATIVE
==History==,,,CANNOT_DECIDE
"Inhabiting a very remote part of Australia, the Pintupi were among the last Aboriginal Australians to leave their traditional lifestyle.",were,Pintupi,STATIVE
"For many, this occurred as a result of the Blue Streak missile tests.",occurred,this,DYNAMIC
As these would have a trajectory landing in the desert areas,have,these,STATIVE
known to still be inhabited,known,areas,STATIVE
it was decided,decided,it,DYNAMIC
that these people should be relocated.,relocated,people,DYNAMIC
A number of trips were made to the area,made,number,DYNAMIC
and Aboriginal people were located and moved,located,number,DYNAMIC
"(or encouraged to move) in to one of the settlements on the eastern fringe of the desert, such as Haasts Bluff, Hermannsburg and Papunya.",encouraged,located,DYNAMIC
"As a result of different people leaving the desert at different times and in different directions, Pintupi have wound up living at a variety of communities around the edge of the desert,",wound,Pintupi,DYNAMIC
"including Warburton, Kaltukatjara",including,,STATIVE
"(formerly known as Docker River), Balgo and Mulan,",known,Kaltukatjara,STATIVE
"but the majority reside at the major Pintupi communities of Kintore, Kiwirrkura and Papunya.",reside,Pintupi,STATIVE
"In the 1960s, the Menzies Liberal government forced the removal of traditional-living Pintupi to settlements east of their country, closer to Alice Springs.",forced,government,DYNAMIC
The government argued,argued,government,DYNAMIC
that they were not ready to live in modern society,were,they,STATIVE
and needed to be re-educated prior to assimilation into white society.,needed,they,STATIVE
"In practice, this meant relocation from their traditional lands and suppression of their language, art and culture.",meant,this,STATIVE
This policy also involved the forced removal of thousands of Aboriginal children from their parents and their dispersal into government or religious institutions or foster care,involved,policy,STATIVE
(see Stolen Generation).,see,,CANNOT_DECIDE
"At Papunya, a government settlement, Pintupi mixed with Warlpiri, Arrernte, Anmatyerre and Luritja language groups,",mixed,Pintupi,DYNAMIC
but formed the largest language group.,formed,Pintupi,DYNAMIC
"Conditions were so bad that 129 people, or almost one-sixth of the residents, died of treatable diseases such as hepatitis, meningitis and encephalitis between 1962 and 1966.",were,Conditions,STATIVE
==Pintupi kinship==,,,CANNOT_DECIDE
"In common with neighbouring groups, such as the Warlpiri, the Pintupi have a complex kinship system, with eight different kin groups,",have,,STATIVE
"made more so by distinct prefixes for male and female skin names; ""Tj"" for males, ""N"" for females:",made,Pintupi,DYNAMIC
