Clause,mainVerb,mainReferent,Gold
Varsity athletics: Credit or no?,,,CANNOT_DECIDE
It's a matter of balance,'s,It,STATIVE
Vassar's varsity athletes may soon receive academic credit for participating in their sports during the school year .,receive,matter,DYNAMIC
"This proposal has been in the works for nearly two years,",been,proposal,STATIVE
"and at long last, folks are voting to approve it.",voting,proposal,DYNAMIC
"Or to not approve it,",approve,,CANNOT_DECIDE
but the former seems more likely.,seems,former,STATIVE
"As a member of the Student Athlete Advisory Committee and as a long-time varsity athlete, you might say",say,you,DYNAMIC
I have particular stake in the proposal.,have,I,STATIVE
"After all, I could get half a unit a semester for up to four semesters --",get,I,DYNAMIC
"a typical class is worth one unit,",is,unit,STATIVE
"and a typical physical education course of any level is worth half a unit, with a maximum of two physical education units",is,course,STATIVE
counting toward graduation requirements.,counting,units,STATIVE
It seems justified:,seems,It,STATIVE
"Students can receive credit for participating in other extracurricular, faculty-supervised activities, such as the orchestra, the choir, and the repertory dance theatre, so why not varsity athletics?",receive,Students,DYNAMIC
My friend over at Carolyn Blogs agrees:,agrees,friend,STATIVE
"from the above standpoint, sure, it seems fair to give credit to students .",seems,it,STATIVE
"If you get credit for introductory P.E. classes,",get,you,DYNAMIC
you should get credit for varsity athletics.,get,you,DYNAMIC
"But our school newspaper presents other arguments in favor,",presents,newspaper,STATIVE
which Carolyn thinks,thinks,Carolyn,STATIVE
are highly unjustified:,are,arguments,STATIVE
"On top of everything, we must remember",remember,we,STATIVE
that varsity athletics present a considerable time commitment.,present,athletics,STATIVE
It is rare to find another activity,is,It,STATIVE
on campusacademic or extracurricularthat includes a comparable daily rigor and frequent overnight obligation.,includes,—,STATIVE
"Varsity athletes regularly travel throughout the northeastern to participate in meets, games and tournaments,",travel,athletes,DYNAMIC
often gone from campus for an entire weekend at a time.,gone,travel,STATIVE
And you know what?,know,you,CANNOT_DECIDE
Although it's certainly frustrating to travel to Boston,'s,it,STATIVE
"for an all-day competition on the same weekend as a good friend's birthday party, a fascinating-sounding lecture, a dance party, and seventeen other campus events no one in their right mind would ever want to miss,",want,one,STATIVE
I agree with Carolyn.,agree,I,STATIVE
The reason I participate in my sport is because I enjoy it.,is,reason,STATIVE
"If I cared more about other activities,",cared,I,STATIVE
I'd do those instead.,do,I,DYNAMIC
Simply being a huge time commitment is not a valid reason for awarding credit.,is,commitment,STATIVE
"Carolyn's supporting example,",,,CANNOT_DECIDE
"that higher level courses with more difficult and plentiful homework are worth the same amount of credit as introductory 100-level courses,",are,example,STATIVE
drives this point home.,drives,example,STATIVE
And she's backed up by our school's system of awarding units instead of credit hours :,backed,she,STATIVE
"This systemwhich in its most basic form allots one unit of credit per semester course, regardless of difficulty, hours in class and subject mattermakes Vassar relatively unique in its credit system.",makes,hours,STATIVE
"According to Registrar Dan Giannini, The rationale behind such a system is to try to send the message",According,,STATIVE
that all courses are equal in worth,are,courses,STATIVE
and that one shouldnt try to distinguish between courses based on time,try,system,DYNAMIC
spent in or out of class.,spent,time,STATIVE
"The reason time commitment is highlighted is because,",is,reason,STATIVE
"according to the authors of the article, the faculty ""must consider",according,,STATIVE
"what it can do to mitigate possible academic pressures on these students.""",do,it,DYNAMIC
Um.,,,CANNOT_DECIDE
"No, I don't think",think,I,STATIVE
the faculty has any obligation whatsoever.,has,faculty,STATIVE
Students choose to be varsity athletes of their own accord.,choose,Students,DYNAMIC
