Clause,mainVerb,mainReferent,Gold
The Hells Angels Motorcycle Club (HAMC),,,CANNOT_DECIDE
is a worldwide one-percenter motorcycle club,is,Club,STATIVE
whose members typically ride Harley-Davidson motorcycles,ride,members,DYNAMIC
and is considered an organized crime syndicate by the U.S. Department of Justice.,considered,members,STATIVE
"In the United States and Canada, the Hells Angels are incorporated as the Hells Angels Motorcycle Corporation.",incorporated,Angels,STATIVE
"Common nicknames for the club are the ""H.A."",",are,nicknames,STATIVE
"""Red & White"", and ""81"" (H and A being the eighth and first letters of the alphabet).",being,A,STATIVE
==History==,,,CANNOT_DECIDE
"The Hells Angels were originally started by American war immigrants, the Bishop family in Fontana, California",started,Angels,DYNAMIC
"followed by an amalgamation of former members from different motorcycle clubs, such as the Pissed Off Bastards of Bloomington.",followed,family,CANNOT_DECIDE
The Hells Angels' website denies the suggestion,denies,website,STATIVE
that any misfit or malcontent troops are connected with the motorcycle club.,connected,troops,STATIVE
The website also notes,notes,website,STATIVE
"that the name was suggested by Arvid Olsen, an associate of the founders,",suggested,name,DYNAMIC
"who had served in the Flying Tigers' ""Hell's Angels"" squadron in China during World War II.",served,founders,DYNAMIC
"The name ""Hell's Angels"" was inspired by the typical naming of American squadrons, or other fighting groups, with a fierce, death-defying title in both World War I",inspired,name,DYNAMIC
"and World War II, e.g., the Flying Tigers (American Volunteer Group) in Burma and China fielded three squadrons of P-40s",fielded,e.g.,DYNAMIC
"and the third Squadron was called ""Hell's Angels"".",called,squadrons,STATIVE
"In 1930, the Howard Hughes film Hell's Angels displayed extraordinary and dangerous feats of aviation,",displayed,Angels,DYNAMIC
and it is believed,believed,Angels,STATIVE
that the World War II groups who used that name based it on the film.,based,groups,STATIVE
"Some of the early history of the HAMC is not clear,",is,Some,STATIVE
and accounts differ.,differ,Some,STATIVE
"According to Ralph 'Sonny' Barger, founder of the Oakland chapter, early chapters of the club were founded in San Francisco, Gardena, Fontana, as well as his chapter in Oakland, and other places",According,,DYNAMIC
"independently of one another, with the members usually being unaware",being,members,STATIVE
that there were other Hells Angels clubs.,were,clubs,STATIVE
"One of lesser known clubs existed in North Chino/South Pomona, CA, in the late 1960s to as late as 1970.",existed,One,STATIVE
Other sources claim,claim,sources,DYNAMIC
"that the Hells Angels in San Francisco were originally organized in 1953 by Rocky Graves, a Hells Angel member from San Bernardino",organized,Angels,DYNAMIC
"(""Berdoo"") implying",implying,Graves,STATIVE
"that the ""Frisco"" Hells Angels were very much aware of their forebears.",were,Frisco,STATIVE
"The ""Frisco"" Hells Angels were reorganized in 1955 with thirteen charter members,",reorganized,Frisco,DYNAMIC
"Frank Sadilek serving as President,",serving,Frisco,STATIVE
"and using the smaller, original logo.",using,Frisco,STATIVE
"The Oakland chapter, at the time headed by Barger used a larger version of the ""Death's Head"" patch nicknamed the ""Barger Larger""",used,chapter,STATIVE
which was first used in 1959.,used,version,DYNAMIC
It later became the club standard.,became,It,DYNAMIC
