Clause,mainVerb,mainReferent,Gold
A near-death experience (NDE) is a personal experience,is,experience,STATIVE
"associated with impending death,",associated,experience,STATIVE
"encompassing multiple possible sensations including detachment from the body, feelings of levitation, total serenity, security, warmth, the experience of absolute dissolution, and the presence of a light.",encompassing,experience,STATIVE
38%-50% of the American Adult population who come close to clinical death have had a near-death experience.,had,%,DYNAMIC
"Explanatory models for the NDE can be divided into several broad categories,",divided,models,DYNAMIC
"including psychological, physiological, and transcendental explanations.",including,,STATIVE
"Research from neuroscience explains the NDE in terms of various physiological and psychological factors,",explains,Research,DYNAMIC
while some NDE researchers in the field of near-death studies advocate for a transcendental explanation.,advocate,researchers,DYNAMIC
==Characteristics==,,,CANNOT_DECIDE
The equivalent French term exprience de mort imminente (experience of imminent death),,,CANNOT_DECIDE
was proposed by the French psychologist and epistemologist Victor Egger as a result of discussions in the 1890s among philosophers and psychologists,proposed,imminente,DYNAMIC
concerning climbers' stories of the panoramic life review during falls.,concerning,philosophers,STATIVE
In 1968 Celia Green published an analysis of 400 first-hand accounts of out-of-body experiences.,published,Green,DYNAMIC
"This represented the first attempt to provide a taxonomy of such experiences,",represented,This,STATIVE
"viewed simply as anomalous perceptual experiences, or hallucinations.",viewed,experiences,DYNAMIC
These experiences were popularized by the work of psychiatrist Raymond Moody in 1975 as the near-death experience (NDE).,popularized,experiences,DYNAMIC
Researchers have identified the common elements,identified,Researchers,DYNAMIC
that define near-death experiences.,define,elements,STATIVE
Bruce Greyson argues,argues,Greyson,DYNAMIC
"that the general features of the experience include impressions of being outside one's physical body, visions of deceased relatives and religious figures, and transcendence of egotic and spatiotemporal boundaries.",include,features,STATIVE
"Many common elements have been reported,",reported,elements,DYNAMIC
"although the person's interpretation of these events often corresponds with the cultural, philosophical, or religious beliefs of the person",corresponds,interpretation,STATIVE
experiencing it.,experiencing,beliefs,DYNAMIC
Another common element in near-death experiences is angels.,is,element,STATIVE
"46% of Americans believe in angels,",believe,%,STATIVE
and have claimed to see them during their NDE's.,claimed,%,DYNAMIC
This is particularly true for patients in a clinical setting.,is,This,STATIVE
"Even though no single feature is found in every NDE,",found,feature,DYNAMIC
the traits that have been reported by NDErs are as follows:,follows,traits,DYNAMIC
* A sense/awareness of being dead.,*,follows,CANNOT_DECIDE
"* A sense of peace, well-being and painlessness.",*,,CANNOT_DECIDE
Positive emotions.,,,CANNOT_DECIDE
A sense of removal from the world.,,,CANNOT_DECIDE
* An out-of-body experience.,*,,CANNOT_DECIDE
