Clause,mainVerb,mainReferent,Gold
"The Dukha, Dukhans or Duhalar (, Tsaatan)",,,CANNOT_DECIDE
are a small Tuvan,are,Dukhans,STATIVE
(Tozhu Tuvans) Turkic community of reindeer herders,,,CANNOT_DECIDE
living in northern Khvsgl Aimag of Mongolia.,living,herders,STATIVE
The North Taiga band was organized under the Qing Dynasty from 1755-1912 as part of Toja or Uriyankhai banner.,organized,band,DYNAMIC
"With Mongolian independence in 1911, the banner became part of independent Tuva,",became,banner,DYNAMIC
"which was soon annexed by the Russians in 1944,",annexed,Tuva,DYNAMIC
leaving only North Taiga band on the Mongolian side of the frontier.,leaving,banner,DYNAMIC
The South Taiga group of the Dukhans and other Uriankhais fled over the frontier from Tuva to avoid conscription in the 1930s.,fled,group,DYNAMIC
"At first, the Mongolian government repeatedly deported them back to Tuva.",deported,government,DYNAMIC
In 1956 the government finally gave them Mongolian citizenship,gave,government,DYNAMIC
and resettled them at Tsagaan Nuur Lake on the Shishigt River.,resettled,government,DYNAMIC
"Only 44 Dukha families remain,",remain,families,STATIVE
totaling somewhere between 200 and 400 people.,totaling,,STATIVE
"They ride, breed, milk,",ride,They,DYNAMIC
"and live off of reindeer,",live,They,STATIVE
"though the reindeer population has dropped to approximately 600 since the 1970s,",dropped,population,DYNAMIC
"when it was an estimated 2,000.",was,it,STATIVE
"Since the democratization of Mongolia, no governmental programs have been in place to replenish reindeer herds with animals from Siberia,",been,programs,STATIVE
direly endangering the Dukha way of life.,endangering,,STATIVE
Much of the Dukha income today comes from tourists,comes,Much,STATIVE
who pay to buy their crafts,pay,tourists,DYNAMIC
and to ride their domesticated reindeer.,ride,,CANNOT_DECIDE
"The name ""tsaatan"" means ""reindeer herder"" as in ""tsaa bug"" (reindeer).",means,tsaatan,STATIVE
A news report in 2009 put the Tsaatan population at 220.,put,report,DYNAMIC
== Language ==,,,CANNOT_DECIDE
"Dukhan language (SIL International dkh), an endangered Turkic variety spoken by approximately five hundred people in the Tsagaan-Nuur county of the Khvsgl region of northern Mongolia.",spoken,variety,STATIVE
"Dukhan belongs to the Taiga subgroup of Sayan Turkic (Tuvan, Tofa).",belongs,Dukhan,STATIVE
