Clause,mainVerb,mainReferent,Gold
"The Crips are a primarily, but not exclusively, African-American gang.",are,Crips,STATIVE
"They were founded in Los Angeles, California, in 1969 mainly by Raymond Washington and Stanley Williams.",founded,They,DYNAMIC
"What was once a single alliance between two autonomous gangs is now a loosely connected network of individual sets,",was,engaged,STATIVE
often engaged in open warfare with one another.,engaged,,DYNAMIC
"The Crips are one of the largest and most violent associations of street gangs in the United States, with an estimated 30,000 to 35,000 members.",are,Crips,STATIVE
"The gang is known to be involved in murders, robberies, and drug dealing, among many other criminal pursuits.",known,gang,STATIVE
The gang is known for its gang members' use of the color blue in their clothing.,known,gang,STATIVE
"However, this practice has waned due to police crackdowns on gang members.",waned,practice,DYNAMIC
Crips are publicly known to have an intense and bitter rivalry with the Bloods.,known,Crips,STATIVE
"Crips have been documented in the U.S. military,",documented,Crips,DYNAMIC
found in bases in the United States and abroad.,found,military,DYNAMIC
== History ==,,,CANNOT_DECIDE
"Stanley Tookie Williams met Raymond Lee Washington in 1969,",met,History,DYNAMIC
and the two decided to unite their local gang members from the west and east sides of South Central Los Angeles,decided,History,DYNAMIC
in order to battle neighboring street gangs.,battle,,CANNOT_DECIDE
Most of the members were 17 years old.,were,Most,STATIVE
"Williams discounted the sometimes cited founding date of 1969 in his memoir, Blue Rage, Black Redemption.",discounted,Williams,DYNAMIC
Gang activity in South Central Los Angeles has its roots in a variety of factors,has,activity,STATIVE
"dating back to the 1950s and '60s,",dating,factors,STATIVE
including post-World War II economic decline,including,,STATIVE
"leading to joblessness and poverty, racial segregation",leading,decline,DYNAMIC
"leading to the formation of black ""street clubs"" by young African American men",leading,,DYNAMIC
"who were excluded from organizations such as the Boy Scouts, and the waning of black nationalist organizations such as the Black Panther Party and the Black Power Movement.",excluded,men,DYNAMIC
===Etymology===,,,CANNOT_DECIDE
"The original name for the alliance was ""Cribs,"" a name",was,Etymology,STATIVE
"narrowed down from a list of many options,",narrowed,name,DYNAMIC
"and chosen unanimously from three final choices,",chosen,name,DYNAMIC
"which included the Black Overlords, and the Assassins.",included,choices,STATIVE
Cribs was chosen to reflect the young age of the majority of the gang members.,chosen,Cribs,DYNAMIC
"The name ""Cribs"" evolved into the name ""Crips""",evolved,Cribs,DYNAMIC
"when gang members began carrying around canes to display their ""pimp"" status.",began,members,DYNAMIC
"People in the neighborhood then began calling them cripples, or ""Crips"" for short.",began,People,DYNAMIC
"A Los Angeles Sentinel article in February 1972 referred to some members as ""Crips"" (for cripples).",referred,article,DYNAMIC
"The name had no political, organizational, cryptic, or acronymic meaning,",had,name,STATIVE
though some have suggested,suggested,some,DYNAMIC
"it stands for ""Common Revolution In Progress"", a backronym.",stands,it,STATIVE
According to the film Bastards of the Party,According,,STATIVE
"directed by a member of the Bloods, the name represented ""Community Revolutionary Interparty Service"" or ""Community Reform Interparty Service"".",represented,name,STATIVE
"Williams, in his memoir, further refuted claims",refuted,Williams,DYNAMIC
that the group was a spin-off of the Black Panther Party,was,group,STATIVE
