Clause,mainVerb,mainReferent,Gold
Capitalism is an economic system,is,Capitalism,STATIVE
"in which trade, industry, and the means of production are largely or entirely privately owned and operated for profit.",owned,industry,STATIVE
"Central characteristics of capitalism include capital accumulation, competitive markets and wage labour.",include,characteristics,STATIVE
"In a capitalist economy, the parties to a transaction typically determine",determine,parties,DYNAMIC
"the prices at which assets, goods, and services are exchanged.",exchanged,goods,DYNAMIC
"The degree of competition, role of intervention and regulation, and scope of public ownership varies across different models of capitalism.",varies,degree,STATIVE
"Economists, political economists, and historians have taken different perspectives in their analysis of capitalism",taken,economists,DYNAMIC
and recognized various forms of it in practice.,recognized,Economists,DYNAMIC
"These include laissez-faire capitalism, welfare capitalism and state capitalism; each",include,These,STATIVE
"highlighting varying degrees of dependency on markets, public ownership, and inclusion of social policies.",highlighting,each,DYNAMIC
"The extent to which different markets are free, as well as the rules",are,,STATIVE
"defining private property, is a matter of politics and policy.",is,extent,STATIVE
"Many states have what are termed capitalist mixed economies,",have,states,STATIVE
referring to a mix between planned and market-driven elements.,referring,,STATIVE
Crony capitalism is an economic system,is,capitalism,STATIVE
corrupted by a close relationship between businesses and government officials.,corrupted,system,STATIVE
"In Marxian economics this is considered to be the normal state of mature capitalism,",considered,this,STATIVE
while in anarcho-capitalist theory it is considered a political distortion of capital and markets.,considered,it,STATIVE
"Capitalism has existed under many forms of government, in many different times, places, and cultures.",existed,Capitalism,STATIVE
"Following the demise of feudalism, capitalism became the dominant economic system in the Western world.",Following,,DYNAMIC
Capitalism was carried across the world by broader processes of globalization such as imperialism,carried,Capitalism,DYNAMIC
"and, by the end of the nineteenth century, became the dominant global economic system,",became,Capitalism,DYNAMIC
in turn intensifying processes of economic and other globalization.,intensifying,,DYNAMIC
"Later, in the 20th century, capitalism overcame a challenge by centrally-planned economies",overcame,capitalism,DYNAMIC
"and is now the encompassing system worldwide, with the mixed economy being its dominant form in the industrialized Western world.",is,,STATIVE
Barry Gills and Paul James write:,write,Gills,DYNAMIC
::,,,CANNOT_DECIDE
Different economic perspectives emphasize specific elements of capitalism in their preferred definition.,emphasize,write,DYNAMIC
Laissez-faire and liberal economists emphasize the degree to which government does not have control over markets and the importance of property rights.,emphasize,economists,DYNAMIC
Neoclassical and Keynesian macro-economists emphasize the need,emphasize,macro-economists,DYNAMIC
for government regulation to prevent monopolies,prevent,need,CANNOT_DECIDE
and to soften the effects of the boom and bust cycle.,soften,need,CANNOT_DECIDE
"Marxian economists emphasize the role of capital accumulation, exploitation and wage labor.",emphasize,economists,DYNAMIC
"Most political economists emphasize private property as well, in addition to power relations, wage labor, class, and the uniqueness of capitalism as a historical formation.",emphasize,economists,DYNAMIC
Proponents of capitalism argue,argue,Proponents,DYNAMIC
"that it creates more prosperity than any other economic system,",creates,it,DYNAMIC
and that its benefits are mainly to the ordinary person.,mainly,it,STATIVE
"Critics of capitalism variously associate it with economic instability, an inability to provide for the well-being of all people, and an unsustainable danger to the natural environment.",associate,Critics,DYNAMIC
Socialists maintain,maintain,Socialists,STATIVE
"that, although capitalism is superior to all previously existing economic systems",is,capitalism,STATIVE
"(such as feudalism or slavery), the contradiction between class interests will only be resolved by advancing into a completely social system of production and distribution",resolved,contradiction,DYNAMIC
in which all persons have an equal relationship to the means of production.,have,persons,STATIVE
"The term capitalism, in its modern sense, is often attributed to Karl Marx.",attributed,capitalism,DYNAMIC
"In his magnum opus Capital, Marx analysed the ""capitalist mode of production""",analysed,Marx,DYNAMIC
using a method of understanding today,using,mode,DYNAMIC
known as Marxism.,known,today,STATIVE
"However, Marx himself rarely used the term capitalism,",used,Marx,DYNAMIC
"while it was used twice in the more political interpretations of his work,",used,it,DYNAMIC
primarily authored by his collaborator Friedrich Engels.,authored,interpretations,STATIVE
In the 20th century defenders of the capitalist system often replaced the term capitalism with phrases such as free enterprise and private enterprise,replaced,defenders,DYNAMIC
and replaced capitalist with rentier and investor in reaction to the negative connotations,replaced,defenders,DYNAMIC
associated with capitalism.,associated,connotations,STATIVE
==History==,,,CANNOT_DECIDE
Economic trade for profit has existed since at least the second millennium BC.,existed,History,STATIVE
"However, capitalism in its modern form is usually traced to the emergence of agrarian capitalism and mercantilism of the Early Modern era.",traced,capitalism,DYNAMIC
===Agrarian capitalism===,,,CANNOT_DECIDE
The economic foundations of the feudal agricultural system began to shift substantially in 16th century England;,began,=,DYNAMIC
"the manorial system had broken down by this time,",broken,system,DYNAMIC
and land began to be concentrated in the hands of fewer landlords with increasingly large estates.,began,system,DYNAMIC
"Instead of a serf-based system of labor, workers were increasingly being employed as part of a broader and expanding money economy.",employed,workers,DYNAMIC
The system put pressure on both the landlords and the tenants to increase the productivity of the agriculture to make profit; the weakened coercive power of the aristocracy to extract peasant surpluses,put,system,DYNAMIC
"encouraged them to try out better methods,",encouraged,power,DYNAMIC
"and the tenants also had incentive to improve their methods,",had,power,STATIVE
in order to flourish in an increasingly competitive labor market.,flourish,,CANNOT_DECIDE
Terms of rent for the land were becoming subject to economic market forces rather than the previous stagnant system of custom and feudal obligation.,becoming,Terms,DYNAMIC
"By the early 17th-century, England was a centralized state,",was,England,STATIVE
