Clause,mainVerb,mainReferent,Gold
"The occult (from the Latin word occultus ""clandestine, hidden, secret"") is ""knowledge of the hidden"".",is,occult,STATIVE
"In common English usage, occult refers to ""knowledge of the paranormal"",",refers,occult,STATIVE
"as opposed to ""knowledge of the measurable"", usually referred to as science.",referred,,STATIVE
The term is sometimes taken to mean knowledge,taken,term,DYNAMIC
"that ""is meant only for certain people""",meant,that,STATIVE
"or that ""must be kept hidden"",",kept,knowledge,DYNAMIC
but for most practicing occultists it is simply the study of a deeper spiritual reality,is,it,STATIVE
that extends beyond pure reason and the physical sciences.,extends,reality,STATIVE
"The terms esoteric and arcane have very similar meanings,",have,terms,STATIVE
and in most contexts the three terms are interchangeable.,are,terms,STATIVE
"It also describes a number of magical organizations or orders, the teachings and practices",describes,It,STATIVE
"taught by them, and to a large body of current and historical literature and spiritual philosophy related to this subject.",taught,teachings,DYNAMIC
==Occultism==,,,CANNOT_DECIDE
"Occultism is the study of occult practices,",is,limited,STATIVE
"including (but not limited to) magic, alchemy, extra-sensory perception, astrology, spiritualism, religion, and divination.",including,,STATIVE
"Interpretation of occultism and its concepts can be found in the belief structures of philosophies and religions such as Chaos magic, Gnosticism, Hermeticism, Theosophy, Wicca, Thelema and modern paganism.",found,Interpretation,STATIVE
A broad definition is offered by Nicholas Goodrick-Clarke:,offered,definition,STATIVE
"From the 15th to 17th century, these ideas that are alternatively described as Western esotericism,",described,ideas,STATIVE
"which had a revival from about 1770 onwards, due to a renewed desire for mystery, an interest in the Middle Ages and a romantic ""reaction to the rationalist Enlightenment"".",had,esotericism,DYNAMIC
"Alchemy was common among important seventeenth-century scientists, such as Isaac Newton, and Gottfried Leibniz.",was,Alchemy,STATIVE
Newton was even accused of introducing occult agencies into natural science,accused,Newton,DYNAMIC
when he postulated gravity as a force capable of acting over vast distances.,postulated,he,DYNAMIC
"""By the eighteenth century these unorthodox religious and philosophical concerns were well-defined as 'occult',",well-defined,concerns,STATIVE
