Clause,mainVerb,mainReferent,Gold
Poker is a family of card games,is,Poker,STATIVE
"involving betting and individual play,",involving,games,STATIVE
"whereby the winner is determined by the ranks and combinations of their cards,",determined,winner,DYNAMIC
some of which remain hidden until the end of the game.,remain,some,STATIVE
Poker games vary in the number of cards,vary,games,STATIVE
"dealt, the number of shared or ""community"" cards and the number of cards",dealt,cards,DYNAMIC
that remain hidden.,remain,cards,STATIVE
The betting procedures vary among different poker games in such ways,vary,procedures,STATIVE
as betting limits and splitting the pot between a high hand and a low hand.,betting,ways,CANNOT_DECIDE
"In most modern poker games, the first round of betting begins with one of the players",begins,round,DYNAMIC
making some form of a forced bet (the blind and/or ante).,making,players,DYNAMIC
"In standard poker, each player bets according to the rank",bets,player,DYNAMIC
he believes,believes,he,STATIVE
his hand is worth as,is,hand,STATIVE
compared to the other players.,compared,,STATIVE
The action then proceeds clockwise,proceeds,action,DYNAMIC
as each player in turn must either match the maximum previous bet,match,player,DYNAMIC
"or fold,",fold,player,DYNAMIC
losing the amount,losing,,DYNAMIC
bet so far and all further interest in the hand.,,,DYNAMIC
"A player who matches a bet may also ""raise,""",raise,player,DYNAMIC
or increase the bet.,increase,player,DYNAMIC
The betting round ends,ends,round,DYNAMIC
when all players have either matched the last bet,matched,players,DYNAMIC
or folded.,folded,players,DYNAMIC
"If all but one player folds on any round, the remaining player collects the pot",collects,player,DYNAMIC
and may choose to show or conceal his hand.,choose,player,DYNAMIC
"If more than one player remains in contention after the final betting round,",remains,player,STATIVE
the hands are revealed,revealed,hands,DYNAMIC
and the player with the winning hand takes the pot.,takes,hands,DYNAMIC
"With the exception of initial forced bets, money is only placed into the pot",placed,money,DYNAMIC
voluntarily by a player who either believes,believes,player,STATIVE
the bet has positive expected value,has,bet,STATIVE
or who is trying to bluff other players for various strategic reasons.,trying,player,DYNAMIC
"Thus, while the outcome of any particular hand significantly involves chance,",involves,outcome,STATIVE
the long-run expectations of the players are determined by their actions,determined,expectations,DYNAMIC
"chosen on the basis of probability, psychology and game theory.",chosen,actions,STATIVE
"Poker has gained in popularity since the beginning of the twentieth century,",gained,Poker,DYNAMIC
"and has gone from being primarily a recreational activity confined to small groups of enthusiasts, to a widely popular activity, both for participants and spectators,",gone,Poker,DYNAMIC
"including online, with many professional players and multi-million dollar tournament prizes.",including,,STATIVE
==History==,,,CANNOT_DECIDE
English actor Joseph Cowell reported in his memoirs,reported,Cowell,DYNAMIC
"that the game was played in New Orleans, Louisiana in 1829, with a deck of 20 cards, and four players",played,game,DYNAMIC
betting,betting,History,DYNAMIC
on which player's hand was the most valuable.,was,hand,STATIVE
"Jonathan H. Green's book, An Exposure of the Arts and Miseries of Gambling (G. B. Zieber, Philadelphia, 1843), described the spread of the game from there to the rest of the country by Mississippi riverboats,",described,book,DYNAMIC
on which gambling was a common pastime.,was,gambling,STATIVE
"As it spread north along the Mississippi River and to the West during the gold rush,",spread,it,DYNAMIC
it is thought to have become a part of the frontier pioneer ethos.,thought,it,STATIVE
"Soon after this spread, the full 52-card English deck was used",used,deck,DYNAMIC
and the flush was introduced.,introduced,deck,DYNAMIC
The draw was added prior to 1850,added,draw,DYNAMIC
(when it was first mentioned in print in a handbook of games).,mentioned,1850,DYNAMIC
Henry G. Bond (ed.),,,CANNOT_DECIDE
", Bohn's New Handbook of Games, Henry F. Anners (1850) During the American Civil War, many additions were made including stud poker (specifically five-card stud), and the straight.",made,Anners,DYNAMIC
"Further American developments followed, such as the wild card",followed,developments,DYNAMIC
"(around 1875), lowball and split-pot poker (around 1900), and community card poker games (around 1925).",,,CANNOT_DECIDE
Modern tournament play became popular in American casinos,became,play,DYNAMIC
"after the World Series of Poker (WSOP) began, in 1970.",began,Series,DYNAMIC
"Notable champions from these early WSOP tournaments include Johnny Moss, Amarillo Slim, Bobby Baldwin, Doyle Brunson, and Puggy Pearson.",include,champions,STATIVE
"Later in the 1970s, the first serious poker strategy books appeared,",appeared,books,DYNAMIC
"notably Super/System by Doyle Brunson (ISBN 1-58042-081-8) and Caro's Book of Poker Tells by Mike Caro (ISBN 0-89746-100-2),",Super/System,strategy,CANNOT_DECIDE
followed later by The Theory of Poker by David Sklansky (ISBN 1-880685-00-0).,followed,strategy,DYNAMIC
"By the 1980s, poker was being depicted in popular culture as a commonplace recreational activity.",depicted,poker,DYNAMIC
"For example, it was featured in at least 10 episodes of Star Trek: The Next Generation as a weekly event of the senior staff of the fictional ship's crew.",featured,it,DYNAMIC
"In the 1990s, poker and casino gambling spread across the United States, most notably to Atlantic City, New Jersey.",notably,most,DYNAMIC
"Poker's popularity experienced an unprecedented spike at the beginning of the 21st century,",experienced,popularity,DYNAMIC
"largely because of the introduction of online poker and hole-card cameras, which turned the game into a spectator sport.",turned,poker,DYNAMIC
"Not only could viewers now follow the action and drama of the game on television,",follow,play,DYNAMIC
they could also play the game in the comfort of their own home.,play,they,DYNAMIC
Also in world series of poker 2003 Chris Moneymaker who was an accountant and not a professional poker player won the main event of the world series.,won,Moneymaker,DYNAMIC
"He won his seat into the $10,000.00 tournament via a $40.00 multi table satellite",won,He,DYNAMIC
( smaller buy-in tournaments where you can play and win your seat in the bigger buy-in tournaments),play,you,DYNAMIC
and turned his $40.00 into $2.5 million.,turned,He,DYNAMIC
This is also called the Moneymaker effect,called,This,STATIVE
as a poker boom was initiated after this event.,initiated,boom,DYNAMIC
"Following the surge in popularity, new poker tours soon emerged,",Following,,DYNAMIC
"notably the World Poker Tour and European Poker Tour, both televised and the latter sponsored by online poker company PokerStars.",sponsored,emerged,STATIVE
"Subsequent tours have since been created by PokerStars, such as Latin American Poker Tour and Asia Pacific Poker Tour, as well as other national tours.",created,tours,DYNAMIC
"In 2009 the International Federation of Poker was founded in Lausanne, Switzerland,",founded,Federation,DYNAMIC
