Clause,mainVerb,mainReferent,Gold
Elco Industries Inc. said,said,Inc.,DYNAMIC
it expects net income in the year,expects,it,STATIVE
"ending June 30, 1990, to fall below a recent analyst's estimate of $1.65 a share.",fall,income,DYNAMIC
"The Rockford, Ill., maker of fasteners also said",said,maker,DYNAMIC
it expects to post sales in the current fiscal year,expects,it,DYNAMIC
"that are ""slightly above"" fiscal 1989 sales of $155 million.",are,year,STATIVE
The company said,said,company,DYNAMIC
its industrial unit continues to face margin pressures and lower demand.,continues,unit,DYNAMIC
"In fiscal 1989, Elco earned $7.8 million, or $1.65 a share.",earned,Elco,DYNAMIC
The company's stock fell $1.125 to $13.625 in over-the-counter trading yesterday.,fell,stock,DYNAMIC
