Clause,mainVerb,mainReferent,Gold
"Gaelic football (Irish: Peil Ghaelach; short name Peil or Caid),",,,CANNOT_DECIDE
"commonly referred to as football or Gaelic, is an Irish team sport.",is,football,STATIVE
It is a form,is,It,STATIVE
of football derived from traditional Irish ball games.,derived,form,DYNAMIC
It is played between two teams of 15 players on a rectangular grass pitch.,played,It,DYNAMIC
The objective of the sport is to score points by passing the ball through the other team's goals,is,objective,STATIVE
(3 points) or a set of two upright posts separated by a crossbar above the ground (1 point).,separated,posts,STATIVE
"Players advance the football, a spherical leather ball, up the field with a combination of carrying,",advance,Players,DYNAMIC
"bouncing,",bouncing,combination,CANNOT_DECIDE
"kicking,",kicking,combination,CANNOT_DECIDE
"hand-passing, and soloing (dropping the ball",hand-passing,combination,DYNAMIC
and then toe-kicking the ball upward into the hands).,toe-kicking,,DYNAMIC
"In the game, two types of scores are possible: points and goals.",are,types,STATIVE
"A point is awarded for kicking or hand-passing the ball over the crossbar,",awarded,point,DYNAMIC
signalled by the umpire,signalled,awarded,DYNAMIC
raising a white flag.,raising,umpire,DYNAMIC
"A goal is awarded for kicking the ball under the crossbar into the net,",awarded,goal,DYNAMIC
signalled by the umpire,signalled,net,DYNAMIC
raising a green flag.,raising,,DYNAMIC
"Positions in Gaelic football are similar to that in other football codes,",are,Positions,STATIVE
"and comprise one goalkeeper, six backs, two midfielders, and six forwards, with a variable number of substitutes.",comprise,Positions,STATIVE
Gaelic football is one of four sports,is,football,STATIVE
"(collectively referred to as the ""Gaelic games"") controlled by the Gaelic Athletic Association (GAA), the largest",referred,sports,DYNAMIC
sporting organisation in Ireland.,,,CANNOT_DECIDE
"Along with hurling and camogie, Gaelic football is one of the few remaining strictly amateur sports in the world,",is,football,STATIVE
"with players, coaches, and managers prohibited from receiving any form of payment.",prohibited,,STATIVE
"Gaelic football is mainly played on the island of Ireland,",played,football,DYNAMIC
although units of the Association exist in other areas such as Great Britain and North America.,exist,units,STATIVE
"Gaelic football is the most popular sport in Ireland in terms of attendance, with the 2011 All-Ireland Senior Championship Final,",is,football,STATIVE
"held at Croke Park, Dublin, drawing an attendance of 82,300 people.",held,sport,DYNAMIC
"Outside of Ireland, football is mainly played amongst members of the Irish diaspora.",played,football,DYNAMIC
Gaelic Park in New York City is the largest purpose-built Gaelic sports venue outside of Ireland.,is,Park,STATIVE
Three major football competitions operate throughout the year:,operate,competitions,DYNAMIC
"the National Football League and the All-Ireland Senior Championship are operated on a county basis,",operated,League,DYNAMIC
while the All-Ireland Club Championship is contested by individual clubs.,contested,Championship,DYNAMIC
The All-Ireland Senior Championship is run,run,Championship,DYNAMIC
"as a knock-out competition, with the top two counties meeting in the All-Ireland Football Final, considered the most prestigious event in Gaelic football.",considered,meeting,DYNAMIC
"Under the auspices of the GAA, Gaelic football is a male-only sport;",is,football,STATIVE
"however, the related sport of ladies' Gaelic football is governed by the Ladies' Gaelic Football Association.",governed,sport,STATIVE
"Similarities between Gaelic football and Australian rules football have allowed the development of international rules football, a hybrid sport,",allowed,Similarities,DYNAMIC
