Clause,mainVerb,mainReferent,Gold
I can't believe,believe,I,STATIVE
I wrote all that last year.,wrote,I,DYNAMIC
Acephalous,,,CANNOT_DECIDE
"Friday, 07 May 2010",,,CANNOT_DECIDE
Because I've been grading all damn day,grading,I,DYNAMIC
"and am as tired as a Swearengen of hearing other about the finished semesters of pretty much every other academic blogger,",am,I,STATIVE
I thought,thought,I,STATIVE
that it might be best to avoid jealously,be,it,STATIVE
lashing out,lashing,,CANNOT_DECIDE
"and scribble a ""Best of Acephalous 2009"" post.",scribble,it,CANNOT_DECIDE
"However, when I started looking through my archives,",started,I,DYNAMIC
it occurred to me,occurred,it,DYNAMIC
that my output this year defines me much more sharply than in years past.,defines,output,STATIVE
What do I mean?,mean,I,CANNOT_DECIDE
The posts I consider foundational to my current professional identity all seem to have been composed in 2009.,seem,posts,STATIVE
"Granted, the likelihood that I'm suffering from the identitarian equivalent of presentism is awfully high,",is,likelihood,STATIVE
but I honestly thought,thought,likelihood,STATIVE
I'd written some of the posts from early 2009 in 2006 or so.,written,I,DYNAMIC
"(It may also be that I remember the scene of their writing,",be,It,STATIVE
"which would have been in the old apartment, i.e. the place",i.e.,scene,STATIVE
I barely remember ever having lived in anymore.),remember,I,STATIVE
"If you have absolutely nothing better to do on a Friday night, feel free to scan through my 2009 archives",feel,,STATIVE
and tell me,tell,,CANNOT_DECIDE
what you think,think,tell,STATIVE
"should be included in the ""Best of"" post.",included,what,STATIVE
"If you do have something better to do, though,",have,you,STATIVE
by all means do it .,do,,CANNOT_DECIDE
Posted at 05:50 PM,Posted,,DYNAMIC
Comments,,,CANNOT_DECIDE
Why is someone so young not having fun with friends on a Friday night.,is,Posted,CANNOT_DECIDE
"Granted grading papers is important,",is,papers,STATIVE
but no fun makes for a boring life.,makes,papers,STATIVE
I should know.,know,I,STATIVE
"/since, when I was your age",/,,STATIVE
I had fun,had,I,DYNAMIC
playing with my adorable son,playing,fun,DYNAMIC
and caring for another baby.,caring,fun,DYNAMIC
You need to try to have a life outside your computer.,need,You,STATIVE
Just saying....,saying,,DYNAMIC
it seems,seems,it,STATIVE
I have more life,have,I,STATIVE
now then you have,have,have,STATIVE
and we know,know,you,STATIVE
how little I get out!,get,I,DYNAMIC
"Posted by: alkau | Saturday, 08 May 2010 at 10:11 AM",Posted,08,DYNAMIC
The one that really stuck in my mind was explaining transitions in the panels of Watchmen .,explaining,08,DYNAMIC
I'd read Watchmen a short while before,read,I,DYNAMIC
"and appreciated its narrative complexity,",appreciated,,DYNAMIC
"but not being used to reading comics,",used,,STATIVE
hadn't registered all the technical tricks,registered,,DYNAMIC
that the artist was using to achieve this.,using,registered,DYNAMIC
"The post not only taught me something about the grammar of such images,",taught,post,DYNAMIC
but more importantly led to me,led,post,DYNAMIC
realising,realising,,DYNAMIC
that there is a grammar to look for in the first place.,is,grammar,STATIVE
So thanks a lot for that one.,thanks,,CANNOT_DECIDE
"Posted by: magistra | Saturday, 08 May 2010 at 03:05 PM",Posted,Saturday,DYNAMIC
"SEK, I started going through your back posts",started,SEK,DYNAMIC
and noticed a pattern,noticed,I,DYNAMIC
"in my selections, so I think",think,I,STATIVE
it would be easier,be,it,STATIVE
"(for me, because I'm rubbish with html) to just say all the scene analysis posts and the close",rubbish,I,STATIVE
"reading comics posts, like the one Magistra",,,CANNOT_DECIDE
mentioned and many others after that.,,,DYNAMIC
Plus Justifying Comics as a Legitimate Object of Study Parts I & II.,Comics,Justifying,CANNOT_DECIDE
I also liked,liked,I,STATIVE
"""Teaching the Overdetermined Image.""",Teaching,,CANNOT_DECIDE
"Your takedown of Cashill and the whole Ayers-wrote-Dreams was excellent,",was,takedown,STATIVE
and the Cruel_cruel_death post (you know,know,post,STATIVE
"what I'm talking about, right?).",talking,I,DYNAMIC
"Also, The Day in Actual Communist and Real Nazi History seems as relevant today as ever.",seems,Day,STATIVE
"Posted by: Caio | Saturday, 08 May 2010 at 06:49 PM",Posted,|,DYNAMIC
Agree with the previous two comments.,,,STATIVE
I don't remember,remember,I,STATIVE
"if you've made noises here before about turning these into a book,",made,you,DYNAMIC
but if you do you've got at least one reader.,do,you,STATIVE
"Posted by: Martin Wisse | Sunday, 09 May 2010 at 01:19 AM",Posted,|,DYNAMIC
What happened to your post,happened,AM,CANNOT_DECIDE
that appeared in my RSS reader yesterday?,appeared,that,DYNAMIC
"Posted by: tomemos | Sunday, 09 May 2010 at 09:16 AM",,,DYNAMIC
"Would it be possible to arrange your posts into three 'parties',",be,it,CANNOT_DECIDE
"and give your many readers the opportunity to 'vote' for one of them, by 'secret ballot'?",give,it,CANNOT_DECIDE
I feel,feel,I,STATIVE
your British readers would appreciate that.,appreciate,readers,STATIVE
"Posted by: Adam Roberts | Sunday, 09 May 2010 at 10:57 AM",Posted,,DYNAMIC
