Clause,mainVerb,mainReferent,Gold
Introduction,,,CANNOT_DECIDE
As recognized by the President's National Energy Plan,recognized,one,STATIVE
"(NEP), one of the principal energy challenges facing us is increasing our energy supplies in ways",increasing,one,STATIVE
that protect and improve the environment.,protect,ways,STATIVE
"Thus, the President directed EPA to propose legislation",directed,President,DYNAMIC
"that would significantly reduce SO2, NOx, and mercury emissions from power generation through a cap and trade program.",reduce,legislation,DYNAMIC
"Such a program, coupled with appropriate measures to address local concerns,",coupled,program,STATIVE
would provide significant health benefits,provide,program,DYNAMIC
even as we increase energy supplies,increase,we,DYNAMIC
and maintain reasonable electricity rates.,maintain,program,DYNAMIC
Our work on this issue has given us insight,given,work,DYNAMIC
that I believe,believe,I,STATIVE
will be helpful to you.,be,that,STATIVE
The more I learn about the cost and inefficiencies of the current and future regulatory regime to which power generators will be subjected,learn,I,DYNAMIC
"if we do not have new legislation, the more I am convinced that we can",convinced,I,STATIVE
-- and must -- develop a smarter approach,develop,we,DYNAMIC
that protects the environment and public health,protects,approach,STATIVE
while reducing the cost to consumers and industry,reducing,,DYNAMIC
and optimizing the size of both the state and federal government machinery necessary to achieve that protection.,optimizing,,DYNAMIC
"It is possible to achieve better results at lower costs, but not if we simply add yet another program on top of all of the existing regulations.",is,It,STATIVE
"The current Clean Air Act has been enormously successful,",been,Act,STATIVE
but we can do better.,do,Act,DYNAMIC
Significant cost savings can be achieved for power generators and consumers through a comprehensive legislative package.,achieved,savings,DYNAMIC
I look forward to working with you to develop such an approach to reduce emissions from power generation.,look,I,STATIVE
We applaud Senator Jeffords for tackling this important issue and for recognizing,applaud,We,DYNAMIC
that a cap and trade program is the best way to achieve these reductions.,is,program,STATIVE
"However, we have significant concerns with S. 556 as drafted.",have,we,STATIVE
Our analysis to date suggests,suggests,analysis,STATIVE
"that it could increase consumers' electricity rates by as much as 50%,",increase,it,DYNAMIC
which we believe,believe,we,STATIVE
is unacceptable.,is,%,STATIVE
"In addition, the combination of emission reductions and timing is not feasible",is,combination,STATIVE
and could threaten the reliability of electricity supply.,threaten,combination,DYNAMIC
We are concerned,are,We,STATIVE
"that S. 556's short timeframes for installation of controls could lead power plants to be taken off-line at important times,",lead,timeframes,DYNAMIC
which could lead to electricity shortages.,lead,times,DYNAMIC
"In addition, there are a number of issues",are,number,STATIVE
that Congress should consider,consider,Congress,DYNAMIC
that S. 556 does not address.,address,556,STATIVE
"As drafted, S. 556 would make some existing requirements unnecessary,",make,556,DYNAMIC
but would not eliminate them.,eliminate,556,DYNAMIC
"Rather than add yet another layer of environmental regulations on top of the existing ones,",add,,DYNAMIC
we believe,believe,we,STATIVE
that S. 556 should eliminate those unnecessary existing requirements.,eliminate,556,DYNAMIC
S. 556 also does not have an allocation scheme.,have,556,STATIVE
"One lesson we should learn from the success of the Acid Rain cap and trade program is that when certain key issues can be resolved through clear legislation,",is,lesson,STATIVE
"we can avoid years of litigation, business uncertainty and costs, and delayed environmental protection.",avoid,we,DYNAMIC
"Finally, and most importantly, the Administration strongly opposes including CO2 reductions in any multi-pollutant bill.",opposes,Administration,STATIVE
The CO2 provisions in S. 556 will cost consumers too much,cost,provisions,DYNAMIC
and endanger our energy security by causing too much electricity generation to switch from coal to natural gas.,endanger,provisions,DYNAMIC
"Greenhouse gas emissions should be addressed in the context of climate change,",addressed,emissions,DYNAMIC
which is being undertaken by the President's Cabinet level working group.,undertaken,context,DYNAMIC
"For all of these reasons, the Administration must oppose S. 556.",oppose,Administration,STATIVE
In my testimony today I will elaborate further on these key points.,elaborate,I,DYNAMIC
Background,Background,we,CANNOT_DECIDE
"Over the last 30 years, we have made substantial progress towards improved environmental quality under the Clean Air Act.",made,we,DYNAMIC
"During this time, gross domestic product has increased almost 160%.",increased,product,DYNAMIC
"At the same time, we have reduced emissions of six key air pollutants by 29%,",reduced,we,DYNAMIC
while coal consumption has increased 77%,increased,consumption,DYNAMIC
and energy consumption has increased 45%.,increased,consumption,DYNAMIC
Eleven years ago President George H. W. Bush signed into law the most far reaching amendments to the Clean Air Act since its enactment in 1970.,signed,Bush,DYNAMIC
"Included in those amendments was the Acid Rain cap and trade program, the first program",Included,program,STATIVE
"tailored specifically to the utility sector,",tailored,program,STATIVE
