Clause,mainVerb,mainReferent,Gold
An empire is a geographically extensive group of states and peoples,is,empire,STATIVE
"(ethnic groups) united and ruled by a central authority, either by a monarch (emperor, empress) or an oligarchy.",united,states,STATIVE
The term empire is derived from the Latin term imperium,derived,empire,STATIVE
"(a rule, a command; authority, control, power; supreme power, sole dominion; military authority; a dominion, realm) from imperare (to command).",,,CANNOT_DECIDE
"Aside from the traditional usage, the term ""empire"" can also be used to describe a large-scale business enterprise",used,empire,DYNAMIC
"(e.g., a transnational corporation), a political organisation controlled by a single individual",controlled,organisation,STATIVE
(a political boss) or a group (political bosses).,,,CANNOT_DECIDE
An imperial political structure can be established and maintained in two ways,established,structure,DYNAMIC
": (i) as a territorial empire of direct conquest and control with force or (ii) as a coercive, hegemonic empire of indirect conquest and control with power.",,,CANNOT_DECIDE
"The former method provides greater tribute and direct political control,",provides,method,DYNAMIC
yet limits further expansion,limits,method,DYNAMIC
because it absorbs military forces to fixed garrisons.,absorbs,it,DYNAMIC
"The latter method provides less tribute and indirect control,",provides,method,DYNAMIC
but avails military forces for further expansion.,avails,method,DYNAMIC
"Territorial empires (e.g., the Mongol Empire and Median Empire)",,,CANNOT_DECIDE
tend to be contiguous areas.,tend,empires,STATIVE
"The term, on occasion, has been applied to maritime empires or thalassocracies,",applied,term,DYNAMIC
"(e.g., the Athenian and British empires) with looser structures and more scattered territories.",,,CANNOT_DECIDE
Empires are usually larger than kingdoms.,are,Empires,STATIVE
==Definition==,,,CANNOT_DECIDE
An empire is a multi-ethnic or multinational state with political and/or military dominion of populations,is,=,STATIVE
who are culturally and ethnically distinct from the imperial (ruling) ethnic group and its culture.,are,populations,STATIVE
"This is in contrast to a federation,",is,This,STATIVE
which is an extensive state,is,federation,STATIVE
voluntarily composed of autonomous states and peoples.,composed,state,STATIVE
Definitions of what physically and politically constitute an empire vary.,vary,Definitions,STATIVE
It might be a state,be,It,STATIVE
affecting imperial policies or a particular political structure.,affecting,state,STATIVE
"Empires are typically formed from diverse ethnic, national, cultural, and religious components.",formed,Empires,DYNAMIC
Tom Nairn and Paul James define empires as polities that:,polities,James,DYNAMIC
extend relations of power across territorial spaces,extend,that,DYNAMIC
"over which they have no prior or given legal sovereignty,",have,polities,STATIVE
