Clause,mainVerb,mainReferent,Gold
United carbon offset disappointment,offset,carbon,CANNOT_DECIDE
"April 27, 2009 9:08 AM",,,CANNOT_DECIDE
I'm a big believer in carbon offsets,'m,I,STATIVE
"(not so much the cap and trade game, but in the simple internalize-your-externality-sort).",,,CANNOT_DECIDE
I talk about it in my Green Culture talk.,talk,I,DYNAMIC
"IMHO, we all have an ethical obligation to offset our carbon footprint -- now.",have,we,STATIVE
My wife and I have been doing so for a couple years.,doing,I,DYNAMIC
We're a couple months late buying credits for last year.,'re,We,STATIVE
One reason we're late,'re,we,STATIVE
(other than the obvious) is the insane complexity in calculating it well.,is,reason,STATIVE
I travel way too much.,travel,I,DYNAMIC
That's the biggest chunk to cover.,'s,That,STATIVE
But to calculate it accurately requires churning through a pile of flights.,calculate,,STATIVE
"I could estimate, no doubt.",estimate,I,DYNAMIC
But I want something more accurate.,want,I,STATIVE
"So I was really happy to see on the United page an announcement of a ""Carbon Offset Program.""",was,I,STATIVE
What I expected it to be was a simple way to at least know,was,expected,STATIVE
"what the total carbon footprint from your flights for some period was (after all,",was,footprint,STATIVE
"they have all the data),",have,they,STATIVE
"and ideally, a simple way to buy offsets.",ideally,way,CANNOT_DECIDE
No such luck.,No,,CANNOT_DECIDE
United has simple linked to one of the million places,has,United,DYNAMIC
where you can calculate a per flight carbon cost.,calculate,you,DYNAMIC
It allows you to input total miles,allows,It,STATIVE
"flown,",flown,miles,STATIVE
but its Mileage Plus page doesn't give you total miles,give,It,DYNAMIC
"flown,",flown,miles,STATIVE
it gives you the total,gives,it,DYNAMIC
"added to your account (included bonuses, etc.)",added,total,DYNAMIC
Looking forward to version 2.0.,Looking,,STATIVE
"Posted by Lawrence Lessig on April 27, 2009 9:08 AM",Posted,,DYNAMIC
"Comments (14) April 27, 2009 9:42 AM",,,CANNOT_DECIDE
Peter Collopy: Dopplr has a nice carbon calculator built-in.,has,Dopplr,STATIVE
"You have to enter all your trips,",have,You,DYNAMIC
but I think,think,You,STATIVE
it's generally an exciting system,'s,it,STATIVE
if you don't mind the Little Brother surveillance.,mind,you,STATIVE
"April 27, 2009 9:49 AM lessig:",,,CANNOT_DECIDE
GREAT point.,,,CANNOT_DECIDE
I do enter all mine in.,enter,I,DYNAMIC
Perfect solution.,,,CANNOT_DECIDE
"April 27, 2009 9:53 AM",9:53,April,CANNOT_DECIDE
Padraic: Why aren't you a supporter of cap & trade?,are,Padraic,CANNOT_DECIDE
Isn't a mandatory scheme going to moresuccesful than voluntary measures?,Is,scheme,CANNOT_DECIDE
"April 27, 2009 10:20 AM lessig:",,,CANNOT_DECIDE
I favor a mandatory scheme,favor,April,STATIVE
-- internalize your externality.,internalize,,CANNOT_DECIDE
I am suspicious of cap & trade.,am,I,STATIVE
"It seems like a complicated partial version of that,",seems,It,STATIVE
created by the same genius quants,created,version,DYNAMIC
"who gave us the mess on wall street,",gave,quants,DYNAMIC
that is designed to generate large fees finance types.,designed,street,STATIVE
My sense is for a simpler system.,is,sense,STATIVE
"April 27, 2009 12:07 PM Padraic Ryan:",,,CANNOT_DECIDE
Re: cap & trade - you shouldn't use the financial crisis as an excuse to write off all of economics.,cap,Ryan,DYNAMIC
"A cap & trade system worked very well at reducing sulfur dioxide pollution in the US, finance types and all.",worked,system,DYNAMIC
You're right,'re,You,STATIVE
"that a carbon tax is definitely simpler,",is,tax,STATIVE
but there are upsides to cap & trade as well (such as the fact,are,You,STATIVE
"that the market will drive the price up,",drive,market,DYNAMIC
whereas a tax won't increase,increase,drive,DYNAMIC
unless Congress wants it to).,wants,Congress,STATIVE
"Re: your green culture talk, I think",think,talk,STATIVE
you are misappropriating the Gore clip: isn't he saying,is,Re,DYNAMIC
that your money would be better spent on political candidates and organizations,spent,money,DYNAMIC
