Clause,mainVerb,mainReferent,Gold
Where to Go,Go,,CANNOT_DECIDE
T he crowded Kowloon peninsula and the booming New Territories on the mainland call for some serious sightseeing;,crowded,he,DYNAMIC
"but we begin across Victoria Harbor on Hong Kong Island,",begin,he,DYNAMIC
where the city was first founded,founded,city,DYNAMIC
"and which remains the center of government, business, and commerce.",remains,city,STATIVE
Hong Kong Central,,,CANNOT_DECIDE
"No matter how many tunnels and transit systems speed cross-harbor traffic, nothing matches the ride on the Star Ferry from Kowloon to the Central District across Victoria Harbor.",matches,Central,STATIVE
"As the double-decker boats get ready to leave the pier,",get,ready,DYNAMIC
"bells ring, the gangplank is raised,",ring,bells,DYNAMIC
"deckhands in blue sailor suits man the hawsers,",,,DYNAMIC
and a couple of hundred commuters begin a seven-minute sightseeing tour.,begin,bells,DYNAMIC
"The big green-and-white boat weaves its way through an ever-changing obstacle course of both large and small craft,",weaves,boat,DYNAMIC
and the soaring skyline of Hong Kong Island draws nearer.,draws,boat,DYNAMIC
"As you get off, the 52-story Jardine House with porthole-shaped windows catches the eye.",catches,House,DYNAMIC
"There are restaurants and a Starbucks in the basement,",are,Starbuck,STATIVE
and you can access the raised pedestrian crosswalk from the escalators on the ground floor.,access,restaurants,DYNAMIC
"Next to the Jardine building is Exchange Square, a complex",is,Next,STATIVE
with a large shopping mall; just behind it is the General Post Office with a philatelic center on the ground floor.,is,it,STATIVE
Farther west is the ferry terminal for the outlying islands.,is,Farther,STATIVE
"On Connaught Road Central, youll find one of Hong Kongs curiosities, the 244-m- (800-ft-) long Mid-Levels outdoor escalator.",find,you,DYNAMIC
"It ferries commuters from the Mid-Levels apartment complexes downhill from 6 to 10am, and uphill from 10am to midnight.",ferries,It,DYNAMIC
"Nearby is Central Market, the wholesale food market of Hong Kong, and the Hang Seng building (private offices).",is,market,STATIVE
"Just east of the Star Ferry terminal, youll come to City Hall.",’ll,you,DYNAMIC
"No longer a center of government, it now functions as a cultural center.",functions,it,STATIVE
"Go through the underground walkway to Statue Square; on the east side of the square is the Legislative Council Building, one of the few colonial buildings left in Hong Kong.",is,Go,CANNOT_DECIDE
So great is the pressure on the available land that most of Hong Kongs colonial architectural heritage has been demolished and replaced by new skyscrapers.,is,pressure,STATIVE
"Despite protests by preservationists, there was little alternative.",was,alternative,STATIVE
Nearby is Chater Garden and a number of notable architectural landmarks.,is,number,STATIVE
Most famous is the striking 74-story,is,see,STATIVE
"I.M. Pei Bank of China Tower, not beloved by the people of Hong Kongits triangular prisms and sharp angles violate the principles of feng shui",—,Bank,STATIVE
"(see box, page 68)",see,Bank,CANNOT_DECIDE
and its radio masts stick up like an insects antennae.,stick,Bank,STATIVE
The rival Hong Kong and Shanghai Bank is by architect Norman Foster,is,Kong,STATIVE
"; built on a coathanger frame,",built,hang,DYNAMIC
 its floors hang rather than ascend.,hang,floors,STATIVE
From inside the vast atrium you can view the whole structure as well as the mechanical workings of the building.,view,you,DYNAMIC
"Two bronze lions, carrying out feng shui principles,",carrying,lions,STATIVE
guard its doors.,guard,lions,STATIVE
You can catch one of Hong Kongs historic trams along Des Voeux Road,catch,You,DYNAMIC
and ride from Central to Causeway Bay,ride,You,DYNAMIC
"(see box, page 66).",see,catch,CANNOT_DECIDE
"In 1904, the narrow, double-decker trams ran along the waterfront,",ran,trams,DYNAMIC
but land reclamation has placed them far inland.,placed,trams,DYNAMIC
"From the Bank of China Tower, make a short detour up Garden Road",make,,CANNOT_DECIDE
and turn into Battery Path to reach the landmark St. Johns Cathedral.,turn,,CANNOT_DECIDE
"Built 18471849, this usually deserted Anglican foundation is Hong Kongs oldest church.",is,foundation,DYNAMIC
"During World War II, the church was turned into a club for Japanese officers;",turned,church,DYNAMIC
it was restored after the war.,restored,it,DYNAMIC
"Note the stained glass windows in the Quiet Chapel,",Note,,CANNOT_DECIDE
designed by Joseph Edward Nuttgens in the late 1950s.,designed,Chapel,DYNAMIC
"Behind the church is the 1917 French Mission Building,",is,Building,STATIVE
now used as the Court of Final Appeal.,used,Building,DYNAMIC
Across from the I.M. Pei tower a winding path leads up to Hong Kong Park.,leads,path,STATIVE
The parks 10.5 hectares (25 acres),,,CANNOT_DECIDE
