Clause,mainVerb,mainReferent,Gold
Basketball is a sport,is,Basketball,STATIVE
played by two teams of five players on a rectangular court.,played,sport,DYNAMIC
The objective is to shoot a ball through a hoop in diameter and high,is,objective,STATIVE
mounted to a backboard at each end.,mounted,objective,STATIVE
Basketball is one of the world's most popular and widely viewed sports.,is,Basketball,STATIVE
A team can score a field goal by shooting the ball through the basket during regular play.,score,team,DYNAMIC
"A field goal scores two points for the shooting team if a player is touching or closer to the basket than the three-point line, and three points",scores,goal,DYNAMIC
(known commonly as a 3 pointer or three),known,line,STATIVE
if the player is behind the three-point line.,is,player,STATIVE
"The team with the most points at the end of the game wins,",points,team,DYNAMIC
but additional time (overtime) may be issued,issued,team,DYNAMIC
when the game ends with a draw.,ends,game,DYNAMIC
The ball can be advanced on the court by bouncing it,advanced,ball,DYNAMIC
while walking or running or throwing it to a team mate.,walking,,CANNOT_DECIDE
"It is a violation to move without dribbling the ball, to carry it,",is,carry,STATIVE
or to hold the ball,hold,violation,CANNOT_DECIDE
with both hands then resume dribbling.,resume,hold,DYNAMIC
"Violations are called ""fouls"".",called,Violations,STATIVE
"A personal foul is penalized,",penalized,foul,DYNAMIC
and a free throw is usually awarded to an offensive player,awarded,foul,DYNAMIC
if he is fouled,fouled,he,DYNAMIC
while shooting the ball.,shooting,,DYNAMIC
A technical foul may also be issued,issued,foul,DYNAMIC
"when certain infractions occur, most commonly for unsportsmanlike conduct on the part of a player or coach.",occur,infractions,DYNAMIC
"A technical foul gives the opposing team a free throw,",gives,foul,DYNAMIC
and the opposing team also retains possession of the ball.,retains,foul,STATIVE
"As well as many techniques for shooting, passing, dribbling and rebounding, basketball has specialized player positions and offensive and defensive structures (player positioning).",has,basketball,STATIVE
"Typically, the tallest and strongest members of a team will play the center",play,members,DYNAMIC
"or power forward positions, while slightly shorter and more agile players will play small forward,",play,players,DYNAMIC
and the shortest players or those who possess the best ball handling skills and speed,possess,those,STATIVE
play point guard or shooting guard.,,,DYNAMIC
==History==,,,CANNOT_DECIDE
===Creation===,,,CANNOT_DECIDE
"In early December 1891, Canadian Dr. James Naismith, a physical education professor and instructor at the International Young Men's Christian Association Training School (YMCA) (today, Springfield College) in Springfield, Massachusetts was trying to keep his gym class active on a rainy day.",trying,Massachusetts,DYNAMIC
He sought a vigorous indoor game to keep his students occupied and at proper levels of fitness during the long New England winters.,sought,He,DYNAMIC
"After rejecting other ideas as either too rough or poorly suited to walled-in gymnasiums,",rejecting,he,DYNAMIC
he wrote the basic rules,wrote,he,DYNAMIC
and nailed a peach basket onto a 10-foot (3.05 m) elevated track.,nailed,he,DYNAMIC
"In contrast with modern basketball nets, this peach basket retained its bottom,",retained,basket,STATIVE
and balls had to be retrieved manually,had,basket,DYNAMIC
"after each ""basket"" or point scored;",,,DYNAMIC
"this proved inefficient, however,",proved,this,STATIVE
"so the bottom of the basket was removed,",removed,bottom,DYNAMIC
allowing the balls to be poked out with a long dowel each time.,allowing,,STATIVE
Basketball was originally played with a soccer ball.,played,Basketball,DYNAMIC
"The first balls made specifically for basketball were brown,",were,balls,STATIVE
and it was only in the late 1950s,was,balls,STATIVE
"that Tony Hinkle, searching for a ball",searching,Hinkle,DYNAMIC
"that would be more visible to players and spectators alike,",be,ball,STATIVE
introduced the orange ball,introduced,Hinkle,DYNAMIC
that is now in common use.,is,ball,STATIVE
"Dribbling was not part of the original game except for the ""bounce pass"" to teammates.",was,Dribbling,STATIVE
Passing the ball was the primary means of ball movement.,was,ball,STATIVE
Dribbling was eventually introduced but limited by the asymmetric shape of early balls.,introduced,Dribbling,DYNAMIC
"Dribbling only became a major part of the game around the 1950s,",became,Dribbling,DYNAMIC
as manufacturing improved the ball shape.,improved,manufacturing,DYNAMIC
The peach baskets were used until 1906,used,baskets,DYNAMIC
when they were finally replaced by metal hoops with backboards.,replaced,they,DYNAMIC
"A further change was soon made,",made,change,DYNAMIC
so the ball merely passed through.,passed,ball,DYNAMIC
"Whenever a person got the ball in the basket, his team would gain a point.",gain,team,DYNAMIC
Whichever team got the most points won the game.,got,team,DYNAMIC
"The baskets were originally nailed to the mezzanine balcony of the playing court,",nailed,baskets,STATIVE
but this proved impractical,proved,baskets,DYNAMIC
when spectators on the balcony began to interfere with shots.,began,spectators,DYNAMIC
The backboard was introduced to prevent this interference;,introduced,backboard,DYNAMIC
it had the additional effect of allowing rebound shots.,had,it,STATIVE
"Naismith's handwritten diaries, discovered by his granddaughter in early 2006,",discovered,diaries,DYNAMIC
indicate,indicate,diaries,STATIVE
that he was nervous about the new game,was,he,STATIVE
"he had invented,",invented,he,DYNAMIC
"which incorporated rules from a children's game called ""Duck on a Rock"",",incorporated,game,STATIVE
as many had failed before it.,failed,many,DYNAMIC
"Naismith called the new game ""Basket Ball"".",called,Naismith,DYNAMIC
"The first official game was played in the YMCA gymnasium in Albany, New York on January 20, 1892 with nine players.",played,game,DYNAMIC
The game ended at 10;,ended,game,DYNAMIC
"the shot was made from , on a court just half the size of a present-day Streetball or National Basketball Association (NBA) court.",made,shot,DYNAMIC
By 18971898 teams of five became standard.,became,teams,DYNAMIC
===College basketball===,,,CANNOT_DECIDE
"Basketball's early adherents were dispatched to YMCAs throughout the United States,",dispatched,College,DYNAMIC
and it quickly spread through the USA and Canada.,spread,College,DYNAMIC
"By 1895, it was well established at several women's high schools.",established,it,STATIVE
"While the YMCA was responsible for initially developing and spreading the game, within a decade it discouraged the new sport,",discouraged,it,DYNAMIC
as rough play and rowdy crowds began to detract from the YMCA's primary mission.,began,crowds,DYNAMIC
"However, other amateur sports clubs, colleges, and professional clubs quickly filled the void.",filled,colleges,DYNAMIC
"In the years before World War I, the Amateur Athletic Union and the Intercollegiate Athletic Association of the United States (forerunner of the NCAA) vied for control over the rules for the game.",vied,Association,DYNAMIC
"The first pro league, the National Basketball League, was formed in 1898 to protect players from exploitation",formed,league,DYNAMIC
and to promote a less rough game.,promote,,CANNOT_DECIDE
This league only lasted five years.,lasted,league,STATIVE
Dr. James Naismith was instrumental in establishing college basketball.,was,Naismith,STATIVE
His colleague C.O. Beamis fielded the first college basketball team just a year after the Springfield YMCA game at the suburban Pittsburgh Geneva College.,fielded,Beamis,DYNAMIC
"Naismith himself later coached at the University of Kansas for six years, before handing the reins to renowned coach Forrest ""Phog"" Allen.",coached,Naismith,DYNAMIC
"Naismith's disciple Amos Alonzo Stagg brought basketball to the University of Chicago,",brought,Stagg,DYNAMIC
"while Adolph Rupp, a student of Naismith's at Kansas, enjoyed great success as coach at the University of Kentucky.",enjoyed,Rupp,DYNAMIC
"On February 9, 1895, the first intercollegiate 5-on-5 game was played at Hamline University between Hamline and the School of Agriculture,",played,game,DYNAMIC
which was affiliated with the University of Minnesota.,affiliated,School,STATIVE
The School of Agriculture won in a 93 game.,won,School,DYNAMIC
"In 1901, colleges, including the University of Chicago, Columbia University, Dartmouth College, the University of Minnesota, the U.S. Naval Academy, the University of Colorado and Yale University began sponsoring men's games.",including,,DYNAMIC
"In 1905, frequent injuries on the football field prompted President Theodore Roosevelt to suggest",prompted,injuries,DYNAMIC
"that colleges form a governing body,",form,colleges,DYNAMIC
resulting in the creation of the Intercollegiate Athletic Association of the United States (IAAUS).,resulting,colleges,DYNAMIC
"In 1910, that body would change its name to the National Collegiate Athletic Association (NCAA).",change,body,DYNAMIC
"The first Canadian interuniversity basketball game was played at the YMCA in Kingston, Ontario on February 6, 1904,",played,game,DYNAMIC
when McGill University visited Queen's University.,visited,University,DYNAMIC
McGill won 97 in overtime;,won,McGill,DYNAMIC
"the score was 77 at the end of regulation play,",was,score,STATIVE
and a ten-minute overtime period settled the outcome.,settled,–,DYNAMIC
A good turnout of spectators watched the game.,watched,turnout,DYNAMIC
"The first men's national championship tournament, the National Association of Intercollegiate Basketball tournament, which still exists as the National Association of Intercollegiate Athletics (NAIA) tournament,",exists,Association,STATIVE
was organized in 1937.,organized,tournament,DYNAMIC
"The first national championship for NCAA teams, the National Invitation Tournament (NIT) in New York, was organized in 1938;",organized,championship,DYNAMIC
the NCAA national tournament would begin one year later.,begin,tournament,DYNAMIC
"College basketball was rocked by gambling scandals from 1948 to 1951,",rocked,basketball,DYNAMIC
when dozens of players from top teams were implicated in match fixing and point shaving.,implicated,dozens,DYNAMIC
"Partially spurred by an association with cheating,",spurred,NIT,STATIVE
the NIT lost support to the NCAA tournament.,lost,NIT,DYNAMIC
===High school basketball===,,,CANNOT_DECIDE
"Heart Mountain Relocation Center, Heart Mountain, Wyoming.",,,CANNOT_DECIDE
A hotly contested interscholastic basket . . . - NARA - 539726.,contested,,CANNOT_DECIDE
"jpg|thumb|upright|A basketball game between the Heart Mountain and Powell High School girls teams, Wyoming, March 1944",|,upright,CANNOT_DECIDE
"Before widespread school district consolidation, most American high schools were far smaller than their present-day counterparts.",were,schools,STATIVE
"During the first decades of the 20th century, basketball quickly became the ideal interscholastic sport due to its modest equipment and personnel requirements.",became,basketball,DYNAMIC
"In the days before widespread television coverage of professional and college sports, the popularity of high school basketball was unrivaled in many parts of America.",unrivaled,popularity,STATIVE
"Perhaps the most legendary of high school teams was Indiana's Franklin Wonder Five,",was,legendary,STATIVE
"which took the nation by storm during the 1920s,",took,Five,DYNAMIC
dominating Indiana basketball and earning national recognition.,dominating,Five,STATIVE
Today virtually every high school in the United States fields a basketball team in varsity competition.,fields,school,DYNAMIC
"Basketball's popularity remains high, both in rural areas",remains,popularity,STATIVE
"where they carry the identification of the entire community,",carry,they,STATIVE
as well as at some larger schools known for their basketball teams,known,schools,STATIVE
where many players go on to participate at higher levels of competition after graduation.,go,players,DYNAMIC
"In the 200304 season, 1,002,797 boys and girls represented their schools in interscholastic basketball competition,",represented,girls,DYNAMIC
according to the National Federation of State High School Associations.,according,,CANNOT_DECIDE
"The states of Illinois, Indiana and Kentucky are particularly well known for their residents' devotion to high school basketball,",known,states,STATIVE
commonly called Hoosier Hysteria in Indiana;,called,devotion,STATIVE
the critically acclaimed film Hoosiers shows high school basketball's depth of meaning to these communities.,shows,Hoosiers,DYNAMIC
There is currently no national tournament to determine a national high school champion.,is,tournament,STATIVE
The most serious effort was the National Interscholastic Basketball Tournament at the University of Chicago from 1917 to 1930.,was,effort,STATIVE
The event was organized by Amos Alonzo Stagg,organized,event,DYNAMIC
and sent invitations to state champion teams.,sent,event,DYNAMIC
The tournament started out as a mostly Midwest affair,started,tournament,DYNAMIC
but grew.,grew,tournament,DYNAMIC
In 1929 it had 29 state champions.,had,it,STATIVE
Faced with opposition from the National Federation of State High School Associations and North Central Association of Colleges and Schools,Faced,was,CANNOT_DECIDE
that bore a threat of the schools,bore,Federation,STATIVE
losing their accreditation,losing,,CANNOT_DECIDE
the last tournament was in 1930.,was,tournament,STATIVE
The organizations said,said,organizations,DYNAMIC
they were concerned,were,they,STATIVE
that the tournament was being used to recruit professional players from the prep ranks.,used,tournament,DYNAMIC
The tournament did not invite minority schools or private/parochial schools.,invite,tournament,DYNAMIC
The National Catholic Interscholastic Basketball Tournament ran from 1924 to 1941 at Loyola University.,ran,Tournament,DYNAMIC
"The National Catholic Invitational Basketball Tournament from 1954 to 1978 played at a series of venues,",played,Tournament,DYNAMIC
"including Catholic University, Georgetown and George Mason.",including,,STATIVE
The National Interscholastic Basketball Tournament for Black High Schools was held from 1929 to 1942 at Hampton Institute.,held,Tournament,DYNAMIC
The National Invitational Interscholastic Basketball Tournament was held from 1941 to 1967 starting out at Tuskegee Institute.,held,Tournament,DYNAMIC
Following a pause during World War II it resumed at Tennessee State College in Nashville.,Following,,DYNAMIC
The basis for the champion dwindled after 1954,dwindled,basis,DYNAMIC
when Brown v. Board of Education began an integration of schools.,began,Board,DYNAMIC
The last tournaments were held at Alabama State College from 1964 to 1967.,held,tournaments,DYNAMIC
===Professional basketball===,,,CANNOT_DECIDE
Teams abounded throughout the 1920s.,abounded,Teams,DYNAMIC
"There were hundreds of men's professional basketball teams in towns and cities all over the United States, and little organization of the professional game.",were,hundreds,STATIVE
Players jumped from team to team and teams,jumped,Players,DYNAMIC
played in armories and smoky dance halls.,played,teams,DYNAMIC
Leagues came and went.,came,Leagues,DYNAMIC
"Barnstorming squads such as the Original Celtics and two all-African American teams, the New York Renaissance Five",Barnstorming,Renaissance,CANNOT_DECIDE
"(""Rens"") and the (still existing)",existing,the,CANNOT_DECIDE
Harlem Globetrotters played up to two hundred games a year on their national tours.,played,Globetrotters,DYNAMIC
"In 1946, the Basketball Association of America (BAA) was formed.",formed,Association,DYNAMIC
"The first game was played in Toronto, Ontario, Canada between the Toronto Huskies and New York Knickerbockers on November 1, 1946.",played,game,DYNAMIC
"Three seasons later, in 1949, the BAA merged with the National Basketball League to form the National Basketball Association (NBA).",merged,BAA,DYNAMIC
"By the 1950s, basketball had become a major college sport,",become,basketball,DYNAMIC
thus paving the way for a growth of interest in professional basketball.,paving,basketball,DYNAMIC
"In 1959, a basketball hall of fame was founded in Springfield, Massachusetts, site of the first game.",founded,hall,DYNAMIC
"Its rosters include the names of great players, coaches, referees and people",include,rosters,STATIVE
who have contributed significantly to the development of the game.,contributed,people,DYNAMIC
The hall of fame has people,has,hall,STATIVE
