Clause,mainVerb,mainReferent,Gold
PLEASE ACCEPT THE ENCLOSED TEMPORARY MEMBERSHIP CARD.,,,CANNOT_DECIDE
IT AUTHORIZES YOU TO START ENJOYING AMCS OUTDOOR ACTIVITIES IMMEDIATELY!,AUTHORIZES,IT,STATIVE
Dear Outdoor Enthusiast:,,,CANNOT_DECIDE
"The Appalachian Mountain Club is looking for men, women, and children",looking,Enthusiast,DYNAMIC
who share our love of the outdoorsand our commitment to preserving our regions natural beauty for future generations.,share,children,STATIVE
Please use your Temporary Membership,Please,,CANNOT_DECIDE
Card to Join the Club.,,,CANNOT_DECIDE
And join the fun while making a real difference for the environment!,join,,CANNOT_DECIDE
You name itweve got it!,name,You,CANNOT_DECIDE
Our roots are in hiking.,are,roots,STATIVE
And our roots go deep.,go,roots,STATIVE
"When the AMC was founded,",founded,AMC,DYNAMIC
Grant was president,was,Grant,STATIVE
and Bell was about to make his first phone call.,was,,STATIVE
Only 50 million people lived in a country,lived,people,STATIVE
where Colorado had just become its 39th state.,become,Colorado,DYNAMIC
Our members participate in virtually every Earth-friendly outdoor activity,participate,members,DYNAMIC
you can name!,name,you,DYNAMIC
"From beginners to experts, they are into hiking, camping, and backpacking.. .",are,they,STATIVE
cross-country skiing and snowshoeing... rock climbing and mountaineering.. .,,,CANNOT_DECIDE
"canoeing, kayaking and bicycling.. .",,,CANNOT_DECIDE
nature photography and birdwatching. . .and relaxing alongside nature.,. . .,birdwatching,CANNOT_DECIDE
Our mission is great,is,mission,STATIVE
"With our volunteers, we maintain 1,400 miles of trails.",maintain,we,STATIVE
We provide overnight shelters,provide,We,DYNAMIC
"(including the famous AMC Mountain Huts) to more than 80,000 hikers annually.",including,,STATIVE
"We built our first hut more than 100 years ago in New Hampshires northern Presidential Range,",built,We,DYNAMIC
and we helped protect the White Mountains,helped,We,DYNAMIC
so that they are still open to you now.,are,they,STATIVE
Today our unique network of 10 huts and lodgeseach a days hike apartstretches 56 miles through the White Mountain National Forest.,—,network,STATIVE
And we offer the same hospitality atop beautiful Mt. Greylock in the Berkshires.,offer,we,DYNAMIC
"Were partnering with agencies and other organizations to introduce inner-city youth to the fun of the outdoors in Boston, Philadelphia, and New York City.",’re,We,DYNAMIC
Were helping to develop,’re,We,DYNAMIC
"Over, please",please,,CANNOT_DECIDE
