Clause,mainVerb,mainReferent,Gold
The Bari also known as the Karo ethnic groups in South Sudan occupy the Savanna lands of the White Nile Valley.,occupy,Bari,STATIVE
They speak a language,speak,They,STATIVE
which is also called Bari.,called,language,STATIVE
"The name ""Bari of the Nile Valley"" would be fitting",be,name,STATIVE
because the river Nile runs through the heart of the Bari land.,runs,Nile,STATIVE
This definition would also distinguish them from any other ethnic groups,distinguish,definition,STATIVE
that may be using the name Bari;,using,groups,DYNAMIC
"there are apparently such groups in Ethiopia and Somalia,",are,groups,STATIVE
"although no information exist as to whether they are all anthropologically related, as well as in India and Pakistan.",exist,information,STATIVE
The Bari of the Nile are sedentary agro-pastoralist.,are,Bari,STATIVE
"They exploit the savanna lands along the river Nile, and up to 40 miles east and west of the Nile.",exploit,They,DYNAMIC
The Bari economy is based on subsistence mixed farming;,based,economy,STATIVE
their domestic livestock (small and large),,,CANNOT_DECIDE
"are mainly raised for supplementing food, but mostly as a socio-economic and financial investment.",raised,livestock,DYNAMIC
"Notably, livestock are exchanged as gifts in marriages, and other social functions",exchanged,livestock,DYNAMIC
"or sacrificed in celebrations, and funerals;",sacrificed,livestock,DYNAMIC
and whenever the need arises,arises,need,DYNAMIC
they are sold for cash.,sold,livestock,DYNAMIC
The Bari are consistently under pressure,are,Bari,STATIVE
: now from modern urbanization annexing their green lands,annexing,Bari,DYNAMIC
and infusing different cultures into their lifestyles;,infusing,now,DYNAMIC
"and historically the Baris have been devastated by slave traders,",devastated,Bari,DYNAMIC
and forced by Belgians,forced,Baris,DYNAMIC
(especially from the Lado enclave) into labor camps and used as porters to carry ivory tusks to the Atlantic coast.,used,Baris,DYNAMIC
The two Sudanese Civil Wars (19551973; 19832005),,,CANNOT_DECIDE
"have also affected the Bari social, economic and financial dynamics.",affected,Wars,DYNAMIC
War (intertribal or resisting foreigners),,,CANNOT_DECIDE
is not alien to Bari history.,is,War,STATIVE
"Generally, the Bari have co-existed well with the neighboring ethnic groups,",co-existed,Bari,DYNAMIC
"but have had to pick up arms to defend their land against slave traders, and plundering warriors.",had,Bari,DYNAMIC
"There is documentation of Bari resistance against invasion by Dinka, Azande (Zande), and numerous encounters with Turkish slave traders.",is,documentation,STATIVE
Traditionally the Baris believe in one almighty God and existence of powerful spirits (good and evil).,believe,Baris,STATIVE
Today the Bari's demography is made up of Christians,made,demography,STATIVE
"(Catholics and Protestants), Muslims, and followers of traditional religions",,,CANNOT_DECIDE
(not organized).,organized,made,CANNOT_DECIDE
In the past it was a fashion among the Bari to undergo initiation ceremonies.,was,it,STATIVE
Both boys and girls subjected themselves to removal of lower front teeth.,subjected,girls,DYNAMIC
"The girls, in addition got tattoos",got,girls,DYNAMIC
": around the belly area, the flank, the back, and the face (on the temple) in the form of arrow shapes, or simple flowers.",,,CANNOT_DECIDE
"Along the banks of the Nile, in the heart of the Bari land, lies the historical villages of Lado, Gondokoro",lies,Rejaf,STATIVE
"(Kondokoro), and Rejaf (Rageef).",,,CANNOT_DECIDE
"The capital city of South Sudan, the town of Juba, is also in the Bari land,",is,city,STATIVE
"situated ten miles to the south of Gondokoro, and seven miles to the north of Rejaf.",situated,is,STATIVE
==Origin of the Bari==,,,CANNOT_DECIDE
"Based on Bari folklore, the Bari people settled in their current lands prior to the end of the grand trans-migration in Africa.",Based,,DYNAMIC
"By the time the Luo ethnic groups invaded and migrated through the Bari lands about 1650, the Bari were already sedentary agro pastoralists,",agro,Bari,STATIVE
"living,",living,Bari,STATIVE
and trading peacefully with the neighboring ethnic groups.,trading,Bari,DYNAMIC
==Bari forced into slavery==,forced,Bari,CANNOT_DECIDE
