Clause,mainVerb,mainReferent,Gold
Lauren Ballinger,,,CANNOT_DECIDE
05/12/08,,,CANNOT_DECIDE
Reaching Transcendence through the Elimination of color:,,,DYNAMIC
The Ideal Minimalism of Black and White,,,CANNOT_DECIDE
The world is made up of a myriad of colors.,made,world,STATIVE
"color gives distinction to our life, it gives flavor and meaning.",gives,color,DYNAMIC
What would our lives be without color?,be,lives,CANNOT_DECIDE
"At the same time in our modern society, color has been seen as an external threat to be purged from the enlightened mind and space.",seen,color,STATIVE
"color is seen as corrupting, intoxicating, disorienting",seen,color,STATIVE
"and in art, has come to be associated with the vulgar and the kitsch.",come,corrupting,DYNAMIC
We went from times of celebrating color and decoration to one of minimalism,went,We,DYNAMIC
where black and white were placed at the front as representations of modernity and ultimate transcendence.,placed,white,DYNAMIC
What is the significance for this preference for black and white,is,significance,CANNOT_DECIDE
when it comes to high art?,comes,it,CANNOT_DECIDE
Why in a world filled with color do we feel the need to purge it from our space?,feel,we,CANNOT_DECIDE
What exactly is the debate between colorlessness vs color,is,debate,CANNOT_DECIDE
and more specifically can black and white be considered non-colors?,considered,debate,CANNOT_DECIDE
"Ever since the dawn of man, human society has evolved in ways",evolved,society,DYNAMIC
which attempt to ultimately control nature.,attempt,ways,DYNAMIC
Seeing,Seeing,,CANNOT_DECIDE
"as color is something of the natural world, age old and archaic,",is,color,STATIVE
washing it away from our lives is the ultimate form of rising above the physical world.,is,Seeing,STATIVE
Intelligent beings have a language,have,beings,STATIVE
"represented by articulate sounds; organized beings, like all animals and vegetables, express themselves",represented,language,STATIVE
"by cries or forms, contour or carriage.",,,CANNOT_DECIDE
Inorganic nature has only the language of color.,has,nature,STATIVE
It is by color alone,is,It,STATIVE
that a certain stone tells us,tells,color,DYNAMIC
"it is a sapphire or emerald color,",is,it,STATIVE
"then, is the peculiar characteristic of the lower forms of nature,",is,us,STATIVE
"while drawing becomes the medium of expression, more and more dominant, the higher we rise in the scale of being(Blanc, Chromophobia, p.25).",becomes,tells,DYNAMIC
