Clause,mainVerb,mainReferent,Gold
The midwife is a professional in obstetrics.,is,midwife,STATIVE
"The term is used in reference to both women and men,",used,term,DYNAMIC
although most midwives are female.,are,midwives,STATIVE
"In addition to providing care to women during pregnancy and birth, some midwives may also provide primary care",provide,midwives,DYNAMIC
"related to reproductive health,",related,care,STATIVE
"including annual gynecological exams, family planning, and menopausal care.",including,,STATIVE
Many developing countries are investing money,investing,countries,DYNAMIC
and training for midwives and other community health workers,training,countries,CANNOT_DECIDE
so that they can provide well-woman primary care services,provide,they,DYNAMIC
that are currently lacking.,lacking,services,STATIVE
"Midwives are specialists in childbirth, postpartum, and well-woman health care.",are,Midwives,STATIVE
They are educated and trained to recognize the variations of normal progress of labor,educated,They,STATIVE
and deal with deviations from normal to discern and intervene in high risk situations.,discern,They,CANNOT_DECIDE
"In many developing countries,",developing,,CANNOT_DECIDE
where it is available midwifery is the front-line of maternal health services,is,midwifery,STATIVE
and provides necessary care in a safe and cost effective manner.,provides,front-line,DYNAMIC
"In the United States, more women utilize obstetricians rather than midwives,",utilize,women,DYNAMIC
Obstetricians are medical doctors,are,Obstetricians,STATIVE
"who can provide care not only in healthy pregnancies, but surgical and instrumental deliveries in situations",provide,doctors,DYNAMIC
which require them as well.,require,situations,STATIVE
Midwives refer women to specialists such as obstetricians or perinatologists in complications,refer,Midwives,DYNAMIC
related to pregnancy and birth,related,complications,STATIVE
when a pregnant woman requires care beyond the midwives' scope of practice.,requires,woman,STATIVE
"In many parts of the world, these professions work",work,professions,CANNOT_DECIDE
in tandem to provide care to childbearing women.,provide,professions,CANNOT_DECIDE
"In others, only the midwife is available to provide care.",is,midwife,STATIVE
"Midwives are trained to handle certain more difficult deliveries,",trained,Midwives,DYNAMIC
"including breech births, twin births and births",including,,STATIVE
"where the baby is in a posterior position,",is,baby,STATIVE
using non-invasive techniques.,using,deliveries,DYNAMIC
A 2013 Cochrane review concluded,concluded,review,DYNAMIC
"that ""most women should be offered",offered,women,DYNAMIC
midwife-led continuity models of care and women should be encouraged to ask for this option,encouraged,women,DYNAMIC
