Clause,mainVerb,mainReferent,Gold
The Apartment,,,CANNOT_DECIDE
g2 (la pianista irlandesa),,,CANNOT_DECIDE
2008-11-09T14:05:29Z,,,CANNOT_DECIDE
ID: 45720,,,CANNOT_DECIDE
Prequels: 45719,,,CANNOT_DECIDE
Sequels: 45722,,,CANNOT_DECIDE
"The apartment was nice, for its size.",was,apartment,STATIVE
"A bookcase lined one wall,",lined,bookcase,STATIVE
"crammed with hundreds of volumes, files, and notebooks.",crammed,bookcase,STATIVE
"A few small crates had been converted into a filing system of some sort,",converted,crates,DYNAMIC
"filled to the brim with papers, clippings, and who knows what else.",filled,converted,STATIVE
"A nearby table was cluttered with pages of scribbled diagrams and figures, alongside contraption of a singular sort.",was,table,STATIVE
A mismatched set of chairs sat facing a small fireplace.,sat,mismatched,STATIVE
A harmonica sat glinting on the mantlepiece.,sat,harmonica,STATIVE
"Make yourself comfortable,",Make,“,CANNOT_DECIDE
" Sheila said carelessly,",said,comfortable,DYNAMIC
but still studying me intently with those penetrating brown eyes.,studying,Make,DYNAMIC
"Your bedrooms down on the far right, in the corner.",’s,bedroom,STATIVE
I expect,expect,I,STATIVE
your things are outside?,are,things,STATIVE
I nodded.,nodded,I,DYNAMIC
"Well, I suggest you move them inside;",suggest,I,STATIVE
one never knows,knows,one,STATIVE
what neighbors will do.,do,neighbors,DYNAMIC
"Here, Ill help you.",help,’ll,DYNAMIC
"Thanks, but theyre all really heavy...",Thanks,“,STATIVE
Nonsense!,,,CANNOT_DECIDE
I insist.,,,STATIVE
The ease with which she picked up two of my jammed suitcases nearly put me to shame.,put,ease,DYNAMIC
On Her Own,,,CANNOT_DECIDE
lovinglife307,,,CANNOT_DECIDE
2008-11-09T14:10:25Z,,,CANNOT_DECIDE
ID: 45721,,,CANNOT_DECIDE
Prequels: none,,,CANNOT_DECIDE
Sequels: 45789,,,CANNOT_DECIDE
Hello Marie.,,,CANNOT_DECIDE
What was that?,was,that,CANNOT_DECIDE
I looked around me feverishly.,looked,I,DYNAMIC
No one called me Marie anymore.,called,one,DYNAMIC
My mum was the only person to-,was,mum,STATIVE
Have you missed me?,missed,person,CANNOT_DECIDE
"I spun around, certain",spun,I,DYNAMIC
the voice was coming from behind me.,coming,voice,DYNAMIC
All I saw was blackness.,was,All,STATIVE
"I shivered, sure something was crawling up my spine.",shivered,I,DYNAMIC
Ive missed you.,missed,I,STATIVE
"I felt a hand grab my shoulder, and then suddenly-",felt,I,DYNAMIC
"Next stop Bloomfield, New Jersey.",,,CANNOT_DECIDE
"Ohh... I sat up,",sat,I,DYNAMIC
rubbing my eyes with the palms of my hands.,rubbing,,DYNAMIC
I was so tired.,was,I,STATIVE
I had a right to be tired.,had,I,STATIVE
"I had just traveled about two hundred and sixty miles, for approximately four and a half hours across the bottom of New Hampshire, through Massachusetts, Connecticut, part of Pennsylvania",traveled,I,DYNAMIC
and now finally I was arriving in New Jersey.,arriving,I,DYNAMIC
"I was so tired,",was,I,STATIVE
"I almost considered going back to sleep,",considered,I,DYNAMIC
but I remembered,remembered,I,DYNAMIC
I had to get off soon.,had,I,DYNAMIC
"Wait, why should I get off?",get,I,CANNOT_DECIDE
"Ive come this far,",’ve,I,DYNAMIC
I should just keep going.,keep,come,DYNAMIC
"Oh, no you dont.",n’t,you,DYNAMIC
Were here for a reason.,’re,We,STATIVE
Remember Grandma Rosalie.,,,CANNOT_DECIDE
I remember.,remember,I,STATIVE
I could never forget.,forget,I,DYNAMIC
"Deductions, Deductions",,,CANNOT_DECIDE
g2 (la pianista irlandesa),,,CANNOT_DECIDE
2008-11-09T14:24:52Z,,,CANNOT_DECIDE
ID: 45722,,,CANNOT_DECIDE
Prequels: 45720,,,CANNOT_DECIDE
Sequels: 45734,,,CANNOT_DECIDE
"I trust you had a safe flight, dismal",trust,I,STATIVE
as the airline was?,was,Deductions,STATIVE
I nodded.,nodded,I,DYNAMIC
How can you tell that?,tell,”,CANNOT_DECIDE
I could tell the moment,tell,I,DYNAMIC
you walked in.,walked,tell,DYNAMIC
"Not only was the dust on your shoes suggestive,",was,dust,STATIVE
but you smell faintly of jet fuel & inferior peanuts.,smell,dust,STATIVE
"That, & your boarding pass is sticking out of your pocket with the airlines name facing out.",boarding,,STATIVE
I laughed.,laughed,I,DYNAMIC
Was it really that easy?,Was,easy,CANNOT_DECIDE
Of course.,,,CANNOT_DECIDE
Can you tell anything else?,tell,you,CANNOT_DECIDE
She studied me intently once more.,studied,She,DYNAMIC
Id have to get used to that.,have,I,STATIVE
"Well, youve been well off;",’ve,you,STATIVE
have been walking a great deal as of late;,walking,,DYNAMIC
are a frequent writer,are,walking,STATIVE
and are a lefty.,are,,STATIVE
