Clause,mainVerb,mainReferent,Gold
"The Bloods are a primarily,",are,Bloods,STATIVE
"though not exclusively, African American street gang founded in Los Angeles, California.",founded,gang,DYNAMIC
The gang is widely known for its rivalry with the Crips.,known,gang,STATIVE
They are identified by the red color,identified,They,STATIVE
"worn by their members and by particular gang symbols,",worn,color,STATIVE
including distinctive hand signs.,including,,STATIVE
The Bloods are made up of various sub-groups,made,Bloods,STATIVE
"known as ""sets""",known,sub-groups,STATIVE
"between which significant differences exist such as colors, clothing, and operations, and political ideas",exist,sets,STATIVE
which may be in open conflict with each other.,be,ideas,STATIVE
"Since their creation, the Blood gangs have branched out throughout the United States.",branched,gangs,DYNAMIC
"Bloods have been documented in the U.S. military,",documented,Bloods,DYNAMIC
found in both U.S. and overseas bases.,found,documented,DYNAMIC
== History ==,,,CANNOT_DECIDE
The Bloods gang was formed initially to compete against the influence of the Crips in Los Angeles.,formed,gang,DYNAMIC
"The origin of the Bloods and their rivalry with the Crips dates to the 1970s,",dates,origin,STATIVE
"where the Pirus street gang, originally a set, or faction, of the Crips, broke off during an internal gang war,",broke,gang,DYNAMIC
and allied with other smaller gangs to found the gang,allied,gang,DYNAMIC
that would eventually become known as the Bloods.,become,gang,DYNAMIC
"At the time, Crips sets outnumbered Bloods sets by three to one.",outnumbered,sets,STATIVE
"To assert their power despite this difference in numbers,",assert,,CANNOT_DECIDE
"Bloods sets became increasingly violent, especially against rival Crips members.",became,sets,DYNAMIC
The Pirus are therefore considered to be the original founders of the Bloods.,considered,Pirus,STATIVE
"During the rise of crack cocaine, the gang's focus shifted to drug production.",shifted,focus,DYNAMIC
"Bloods sets operate independently of each other,",sets,Bloods,DYNAMIC
and are currently located in almost all states.,located,Bloods,STATIVE
===East Coast===,,,CANNOT_DECIDE
"Blood sets on the East Coast are often seen as affiliated with the United Blood Nation, a gang",seen,=,DYNAMIC
which originated in Rikers Island.,originated,gang,DYNAMIC
"The United Blood Nation, simply called the Bloods,",called,Nation,STATIVE
"formed in 1993, within the New York City jail system on Rikers Island's GMDC (George Mochen Detention Center),",formed,Bloods,DYNAMIC
sometimes called C 73.,called,Nation,DYNAMIC
GMDC was used to segregate problem inmates from the rest of the detention center.,used,GMDC,DYNAMIC
"Prior to this time period, the Latin Kings were the most prevalent and organized gang in the NYC jail system.",were,Kings,STATIVE
"The Latin Kings, with mostly Hispanic members, were targeting African American inmates with violence.",targeting,Kings,DYNAMIC
"These African American inmates, organized by some of the more violent and charismatic inmates,",organized,inmates,STATIVE
formed a protection group,formed,inmates,DYNAMIC
which they called the United Blood Nation.,called,they,DYNAMIC
"This United Blood Nation, which was actually a prison gang,",was,Nation,STATIVE
was emulating the Bloods street gangs in Los Angeles.,emulating,Nation,DYNAMIC
Several of the leaders of this recently created prison gang,created,,CANNOT_DECIDE
formed eight original Blood sets to recruit in their neighborhoods across New York City.,formed,Several,DYNAMIC
"By 1996, thousands of members of the Blood street gang were establishing themselves as a formidable force among gangs",establishing,thousands,DYNAMIC
and continued a steady drive for recruitment.,continued,thousands,DYNAMIC
"At this time, the Bloods were more violent than other gangs but much less organized.",were,Bloods,STATIVE
Numerous slashings (razor blade or knife attacks),,,CANNOT_DECIDE
were reported during robberies,reported,slashings,DYNAMIC
and discovered to be initiations into the Bloods.,discovered,slashings,DYNAMIC
This blood ritual became the trademark for the Bloods.,became,ritual,DYNAMIC
Bloods recruited throughout the East Coast.,recruited,Bloods,DYNAMIC
==Membership==,,,CANNOT_DECIDE
"Bloods refers to a loosely structured association of smaller street gangs,",refers,Membership,STATIVE
"known as ""sets,""",known,association,STATIVE
which has adopted a common gang culture.,adopted,sets,DYNAMIC
Each set has its own leader,has,set,STATIVE
and generally operates independently from the others.,operates,set,DYNAMIC
"Most Bloods members are African American males,",are,members,STATIVE
although some sets have recruited female members as well as members from other races and ethnic backgrounds.,recruited,sets,DYNAMIC
Members range in age from early teens to mid-twenties;,range,Members,STATIVE
"however, some hold leadership positions into their late twenties and occasionally thirties.",hold,some,STATIVE
There is no known national leader of the Bloods,is,leader,STATIVE
but individual Bloods sets have a hierarchical leadership structure with identifiable levels of membership.,have,leader,STATIVE
These levels of membership indicate status within a gang.,indicate,levels,STATIVE
"A leader, typically an older member with a more extensive criminal background, runs each set.",runs,leader,DYNAMIC
A set leader is not elected,elected,leader,DYNAMIC
but rather asserts himself by developing and managing the gang's criminal enterprises through his reputation for violence and ruthlessness and through his personal charisma.,asserts,leader,DYNAMIC
"The majority of set members are called ""soldiers,""",called,majority,STATIVE
who are typically between the ages of 16 and 22.,are,soldiers,STATIVE
Soldiers have a strong sense of commitment to their set,have,Soldiers,STATIVE
and are extremely dangerous,are,Soldiers,STATIVE
because of their willingness to use violence,use,willingness,CANNOT_DECIDE
both to obtain the respect of gang members,obtain,use,CANNOT_DECIDE
and to respond to any person,respond,use,CANNOT_DECIDE
"who ""disrespects"" the set.",disrespects,person,DYNAMIC
"""Associates"" are not full members,",are,Associates,STATIVE
but they identify with the gang,identify,members,STATIVE
and take part in various criminal activities.,take,members,DYNAMIC
"To the extent that women belong to the gang,",belong,women,CANNOT_DECIDE
they are usually associate members,are,they,STATIVE
