Clause,mainVerb,mainReferent,Gold
Tibetan Buddhist Retreat,,,CANNOT_DECIDE
"Faded squares of fabric,",,,CANNOT_DECIDE
"strung together in repeating blue-white-red-green-yellow chains, crisscross the branches of bare-limbed trees.",crisscross,squares,STATIVE
The gentle wind makes them flutter.,makes,wind,DYNAMIC
"Orange-gold light filters into the grassy meadow,",,,DYNAMIC
touching a row of canvas tents and the temple house beyond.,touching,filters,DYNAMIC
Tsechen Kunchab Ling : Temple of All-Encompassing Great Compassion.,,,CANNOT_DECIDE
"This is the seat of His Holiness the Sakya Trizin in the United States, a Tibetan Buddhist monastery",is,This,STATIVE
established nine years ago.,established,monastery,DYNAMIC
I spent the past weekend there.,spent,I,DYNAMIC
The field work office at my college arranges this retreat every semester.,arranges,office,DYNAMIC
Everyone I've talked to who has previously attended,,,DYNAMIC
says,says,Everyone,DYNAMIC
"wonderful things about it; this semester, one of my friends told me",told,one,DYNAMIC
she was going: I should join her!,going,told,DYNAMIC
"I like learning new things,",like,I,STATIVE
so I signed up.,signed,I,DYNAMIC
"A good decision: I didn't return all chill and zen,",return,decision,DYNAMIC
as one friend told me,told,friend,DYNAMIC
"his roommate had,",had,told,DYNAMIC
"but I certainly gained a few new ideas and approaches to mull over,",gained,I,DYNAMIC
and dipped my hand into a previously unfamiliar piece of the world.,dipped,I,DYNAMIC
Medicine for one's mind,,,CANNOT_DECIDE
"The first evening, the twenty-something students -- most from my college, four from another -- gathered in the shrine room,",gathered,students,DYNAMIC
sitting cross-legged on cushions,sitting,,STATIVE
as we listened to Khenpo Kalsang,listened,we,DYNAMIC
introduce Tibetan Buddhist philosophy.,,,DYNAMIC
"He began by telling us,",began,He,DYNAMIC
"""Do not take any of what",take,telling,CANNOT_DECIDE
I say on faith.,say,any,DYNAMIC
"Take it through analysis,",Take,,CANNOT_DECIDE
"if there is some benefit in it for you.""",is,benefit,STATIVE
"Religion, he said,",said,he,DYNAMIC
is like a drugstore full of medicine.,is,Religion,STATIVE
You do not go to the drugstore and buy everything in it --,go,You,DYNAMIC
you just buy,buy,you,DYNAMIC
what would be beneficial to you now.,be,what,STATIVE
You believe,believe,You,STATIVE
"the other medicine may have just as much value, but in other situations, not this one.",have,medicine,STATIVE
We discussed the foundations: the Three Turnings of the Wheel of Dharma; the four noble truths; karma; defilements; the six perfections.,discussed,We,DYNAMIC
"When we talked about the giving,",talked,we,DYNAMIC
and how one should try to give what one could to other sentient beings,try,we,DYNAMIC
"(in the form of material items, kind words, protection, and so on), Khenpo Kalsang shared a story of the Buddha,",shared,Kalsang,DYNAMIC
and how the Buddha had given his flesh,given,shared,DYNAMIC
so that a family of hungry tigers could eat.,eat,family,DYNAMIC
"""So,"" a fellow student asked,",asked,student,DYNAMIC
"""Giving one's life",,,CANNOT_DECIDE
"for another being is the ultimate gift?""",is,life,CANNOT_DECIDE
"Khenpo Kalsang, he smiled,",Kalsang,Khenpo,DYNAMIC
and shook his head.,shook,Khenpo,DYNAMIC
"""Only if you feel no regret,""",Only,said,STATIVE
he said.,said,he,DYNAMIC
"""If you feel regret,",feel,you,STATIVE
"it destroys the merit.""",destroys,it,DYNAMIC
"Until then, preserve your own life,",preserve,,CANNOT_DECIDE
and do not give away anything,give,,CANNOT_DECIDE
that would cause you regret.,cause,anything,DYNAMIC
This struck a chord.,struck,This,DYNAMIC
"Self-preservation above all else, unless the right situation arises.",Self-preservation,,DYNAMIC
Knowing and understanding,Knowing,I,CANNOT_DECIDE
"Later, I talked to the resident nun, Ani Kunga, about psychology and cognitive science.",talked,I,DYNAMIC
"She had studied psychology for a while in grad school,",studied,She,STATIVE
but now holds the view,holds,She,STATIVE
that psychologists are going about understanding the mind,going,psychologists,STATIVE
and understanding the knower and what knowing is the wrong way.,is,what,STATIVE
"""Psychologists,"" she said,",said,she,DYNAMIC
"""study the brain and the self externally.",study,Psychologists,STATIVE
"Ever since the 1920s, their science has been about observation of behavior, questionnaires, recordings of electrical brain activity.",been,science,STATIVE
"But the mind can only be known by you, the person",known,mind,STATIVE
"whose mind it is.""",is,it,STATIVE
She said,said,She,DYNAMIC
philosophy and epistemology were doing it right: looking at experiences from the inside.,were,philosophy,DYNAMIC
"A big overlap exists between Tibetan Buddhism, psychology and cognitive science.",exists,overlap,STATIVE
"All three examine the distinction between the self and others, between the observer and the observed, between knowing and the knower.",examine,three,DYNAMIC
I agree with Ani Kunga to some extent --,agree,I,STATIVE
only so much can be known about the mind from external observation.,known,much,STATIVE
But this doesn't mean,mean,this,STATIVE
"that there isn't merit to such studies,",is,,STATIVE
nor that nothing of use can be learned in that way.,learned,nothing,DYNAMIC
Tibetan Buddhist philosophy also approaches the mind and the self from the inside.,approaches,philosophy,STATIVE
"During a second philsophy session, Khenpo Kalsang translated a sutra about a king",translated,Kalsang,DYNAMIC
who received advice from the Buddha.,received,king,DYNAMIC
"This sutra delved into some questions about the nature of the self,",delved,sutra,STATIVE
"whether the self is a delusion,",is,self,STATIVE
and how the clinging of self is a defilement.,is,clinging,STATIVE
"I intend to discuss it in more depth later,",intend,I,STATIVE
so stay tuned.,stay,,CANNOT_DECIDE
Compassion training and prayer flags,,,CANNOT_DECIDE
"In the afternoon, a group of us gathered outside for a meditation session with Ani Kunga.",gathered,group,DYNAMIC
Sunshine melted lazily through the tree branches,melted,Sunshine,DYNAMIC
"above, a breeze animating the branches' shadows",animating,breeze,DYNAMIC
so they danced between our cushions.,danced,they,DYNAMIC
Compassion and anger were the session's topics.,were,Compassion,STATIVE
The key message:,,,CANNOT_DECIDE
"""If there's something",'s,message,STATIVE
"you can do, why are you unhappy?",are,message,CANNOT_DECIDE
Just do it.,do,,CANNOT_DECIDE
If there's nothing,'s,nothing,STATIVE
"you can do, why are you unhappy?""",unhappy,you,CANNOT_DECIDE
"Ani Kunga explained several off-session and one on-session technique for dealing with negative emotions (anger, hate, irritation, stress, jealousy, and so on).",explained,Kunga,DYNAMIC
All the methods built off the idea,built,methods,STATIVE
that you are in control:,are,you,STATIVE
"anger is an emotion,",is,anger,STATIVE
and you can change your emotions.,change,emotion,DYNAMIC
Stay tuned for a more in-depth post on the topic.,tuned,Stay,CANNOT_DECIDE
Another of the day's activities was making prayer flags.,making,Another,STATIVE
"As Ani Kunga explained,",explained,Kunga,DYNAMIC
"""Prayers, wishes, hopes, aspirations -- someone, many people, may share those with you.",share,Prayers,DYNAMIC
Hanging the prayer flag shares your prayer with everyone else in the world.,shares,Hanging,DYNAMIC
"This may do no good at all,",do,This,DYNAMIC
"but it may -- if everyone hopes and wishes and dreams and aspires,",hopes,everyone,STATIVE
perhaps it will do good.,do,good,DYNAMIC
It may not.,,,DYNAMIC
"But if no one shares their prayers,",shares,one,DYNAMIC
it will certainly do no good.,do,it,DYNAMIC
"So on the offchance that it will help, why not?""",help,it,DYNAMIC
Never done,done,,CANNOT_DECIDE
This weekend reminded me,reminded,done,DYNAMIC
that I'm not done learning.,done,I,STATIVE
"If I stay still long enough,",stay,I,STATIVE
"if I've achieved a relatively constant level of happiness and satisfaction,",achieved,I,DYNAMIC
I forget,forget,I,DYNAMIC
"that I can and should continue to seek out new ideas and approaches,",continue,I,STATIVE
and incorporate beneficial ones into my life.,incorporate,I,DYNAMIC
"A person is never ""done,""",done,person,STATIVE
"and so, I'll continue to observe and discuss and study,",continue,person,DYNAMIC
trying to pick the directions,trying,,DYNAMIC
"in which I'll change,",change,I,DYNAMIC
and trying to make tomorrow better than today.,trying,,DYNAMIC
Ever onward and ever upward.,,,CANNOT_DECIDE
