Clause,mainVerb,mainReferent,Gold
American football (known as football in the United States and gridiron in some other countries),known,football,STATIVE
is a sport,is,football,STATIVE
played by two teams of eleven players on a rectangular field 120 yards long by 53.33 yards wide with goalposts at each end.,played,sport,DYNAMIC
The offense attempts to advance an oval ball,attempts,offense,DYNAMIC
(the football) down the field by running with,running,offense,DYNAMIC
or passing it.,passing,offense,DYNAMIC
They must advance it,advance,They,DYNAMIC
at least ten yards in four downs to receive a new set of four downs,receive,downs,CANNOT_DECIDE
and continue the drive;,continue,downs,CANNOT_DECIDE
"if not, they turn over the football to the opposing team.",turn,they,DYNAMIC
Most points are scored by advancing the ball into the opposing team's end zone for a touchdown,scored,points,DYNAMIC
or kicking the ball through the opponent's goalposts for a field goal.,kicking,,DYNAMIC
The team with the most points at the end of a game wins.,points,team,DYNAMIC
"American football evolved in the United States,",evolved,football,DYNAMIC
originating from the sport of rugby football.,originating,,STATIVE
"The first game of American football was played on November 6, 1869, between two college teams, Rutgers and Princeton, under rules",played,game,DYNAMIC
resembling rugby and soccer.,resembling,rules,STATIVE
"A set of rule changes drawn up from 1880 onward by Walter Camp, the ""Father of American Football,""",drawn,changes,DYNAMIC
"established the snap, eleven-player teams and the concept of downs,",established,set,DYNAMIC
"and later rule changes legalized the forward pass,",legalized,set,DYNAMIC
"created the neutral zone,",created,changes,DYNAMIC
and specified the size and shape of the football.,specified,changes,DYNAMIC
American football as a whole is the most popular sport in the United States;,is,football,STATIVE
"professional football and college football are the most popular forms of the game, with the other major levels being high school and youth football.",are,football,STATIVE
"As of 2012, nearly 1.1 million high school athletes and 70,000 college athletes play the sport in the United States annually.",play,athletes,DYNAMIC
"The National Football League, the most popular American football league, has the highest average attendance of any sports league in the world;",has,League,STATIVE
"its championship game, the Super Bowl, ranks among the most-watched club sporting events in the world,",ranks,game,STATIVE
and the league has an annual revenue of around $10 billion.,has,game,STATIVE
==Etymology and names==,,,CANNOT_DECIDE
"In the United States, American football is referred to as ""football.""",referred,football,STATIVE
"The term ""football"" was officially established in the rulebook for the 1876 college football season,",established,football,DYNAMIC
when the sport first shifted from soccer-style rules to rugby-style rules,shifted,sport,DYNAMIC
"; although it could easily have been called ""rugby"" at this point, Harvard, one of the primary proponents of the rugby-style game,",called,it,STATIVE
compromised,compromised,Harvard,DYNAMIC
"and did not request the name of the sport be changed to ""rugby"".",request,Harvard,DYNAMIC
"In countries where other codes of football are popular, such as the United Kingdom and Australia, the terms ""gridiron"" or ""American football"" are favored.",favored,gridiron,STATIVE
==History==,,,CANNOT_DECIDE
===Early history===,,,CANNOT_DECIDE
American football evolved from the sport of rugby football.,evolved,football,DYNAMIC
"Rugby, like American football, is a team sport",is,,STATIVE
"where two competing teams vie for control of a ball,",vie,teams,DYNAMIC
which can be kicked through a set of goalposts,kicked,control,DYNAMIC
or run into the opponent's goal area to score points.,run,control,DYNAMIC
"The first American football game was played on November 6, 1869 between Rutgers and Princeton.",played,game,DYNAMIC
"The game was played between two teams of 25 players each,",played,game,DYNAMIC
"used a round ball,",used,game,DYNAMIC
and resembled a combination of rugby and soccer in its rules;,resembled,game,STATIVE
the ball could not be picked up,picked,ball,DYNAMIC
"or carried,",carried,ball,DYNAMIC
"but it could be kicked or batted with the feet, hands, head or sides, with the ultimate goal of advancing it into the opponent's goal.",kicked,ball,DYNAMIC
Rutgers won the game 6-4.,won,Rutgers,DYNAMIC
Collegiate play continued for several years,continued,play,STATIVE
in which matches,,,CANNOT_DECIDE
were played using the rules of the host school.,played,matches,DYNAMIC
"Representatives of Yale, Columbia, Princeton and Rutgers met on October 19, 1873 to create a standard set of rules",met,Representatives,DYNAMIC
for all schools to adhere to.,adhere,schools,CANNOT_DECIDE
"Teams were set at 20 players each,",set,Teams,DYNAMIC
and fields of 400 by 250 feet were specified.,specified,Teams,DYNAMIC
"Harvard abstained from the conference,",abstained,Harvard,DYNAMIC
as they favored a rugby-style game,favored,they,STATIVE
that allowed running with the ball.,allowed,game,STATIVE
An 1875 Harvard-Yale game played under rugby-style rules was observed by two impressed Princeton athletes.,observed,game,DYNAMIC
"These players introduced the sport to Princeton, a feat the Professional Football Researchers Association compared to ""selling refrigerators to Eskimos.""",introduced,players,DYNAMIC
"Princeton, Harvard, Yale and Columbia then agreed to intercollegiate play",agreed,Princeton,DYNAMIC
using a form,using,,DYNAMIC
of rugby union rules with a modified scoring system.,modified,,CANNOT_DECIDE
"These schools formed the Intercollegiate Football Association,",formed,schools,DYNAMIC
although Yale did not join until 1879.,join,Yale,DYNAMIC
"Yale player Walter Camp, now regarded as the ""Father of American Football,""",regarded,Camp,STATIVE
passed rule changes in 1880,passed,Camp,DYNAMIC
that reduced the team size from 15 to 11 players,reduced,changes,DYNAMIC
and instituted the snap to replace the chaotic and inconsistent scrum.,instituted,changes,DYNAMIC
===Evolution of the game===,,,CANNOT_DECIDE
The introduction of the snap resulted in unexpected strategy changes.,resulted,Evolution,DYNAMIC
"Previously, the strategy had been to punt",been,strategy,STATIVE
if a scrum resulted in bad field position.,resulted,scrum,DYNAMIC
A group of Princeton players realized,realized,group,DYNAMIC
"that, as the snap was uncontested,",uncontested,snap,STATIVE
they now could hold the ball indefinitely to prevent their opponent from scoring.,hold,they,DYNAMIC
"In 1881, both contestants in a Yale-Princeton game used this strategy to maintain their undefeated records.",used,contestants,DYNAMIC
"Each team held the ball,",held,team,DYNAMIC
"gaining no ground, for an entire half.",gaining,team,DYNAMIC
"This ""block game"" proved extremely unpopular with spectators and fans of both teams.",proved,game,DYNAMIC
"A rule change was necessary to prevent this strategy,",was,change,STATIVE
and a reversion to the scrum was considered,considered,change,DYNAMIC
until Camp passed a rule in 1882,passed,considered,DYNAMIC
