Clause,mainVerb,mainReferent,Gold
Foster A. Ranney,,,CANNOT_DECIDE
Nathans Bylichka,,,CANNOT_DECIDE
"Dedicated to Neil Gaiman, Radiohead and Black Sabbath",,,STATIVE
Strange things have always happened to my family.,happened,Dedicated,DYNAMIC
It came in through my mother's blood;,came,It,DYNAMIC
"my Russian grandmother would always tell me stories, bylichkas, of ancestors with the ""second sight"", stupid mill owners",tell,grandmother,DYNAMIC
"who discovered bags of gold after letting a special fish off their hooks, and dark strangers",discovered,owners,DYNAMIC
who used to appear to help or interfere at crucial times.,used,strangers,DYNAMIC
When I asked her,asked,I,DYNAMIC
if she'd ever seen them ,seen,she,DYNAMIC
"before I was old enough to stop believing,",was,–,STATIVE
I mean,mean,I,STATIVE
 she would always look sad,look,she,STATIVE
"and tell me,",tell,she,DYNAMIC
"""No, not since the family came to America has",has,–,DYNAMIC
anything happened to us.,happened,anything,DYNAMIC
"But if you ever should see a faerie, tell him",tell,,DYNAMIC
that you are of the blood of Ivan Bogatyrivitch,are,you,STATIVE
"and he will not pass you by so quickly.""",pass,you,DYNAMIC
"As I got older,",got,I,DYNAMIC
"I shook the tales off with a nod and a ""Yes, Nana.""",shook,I,DYNAMIC
I got older,got,I,DYNAMIC
"and went to school, then to college,",went,I,DYNAMIC
and I replaced the dreams,replaced,I,DYNAMIC
my Nana gave me with the music,gave,Nana,DYNAMIC
"DJs mixed for crowds in clubs, webs of pulse that shook us",mixed,DJs,DYNAMIC
until we could believe anything.,believe,we,STATIVE
My girlfriend Rachel and I would go to the clubs near our school.,Rachel,girlfriend,DYNAMIC
Sometimes we'd get word,get,we,DYNAMIC
"that people were gathering under one of the bridges,",gathering,people,DYNAMIC
and we'd rush down to hit it,rush,we,DYNAMIC
before the cops broke it up.,broke,cops,DYNAMIC
Boston is a strange place at night.,is,Boston,STATIVE
You wouldn't believe half of the shit,believe,You,STATIVE
"I've seen,",seen,I,DYNAMIC
even when I was straight.,was,I,STATIVE
It was a Friday night.,was,It,STATIVE
"Rachel and I went out to dinner,",went,I,DYNAMIC
"and when we finished,",finished,we,DYNAMIC
she saw,saw,Rachel,DYNAMIC
that there was a message on her cell phone.,was,message,STATIVE
She checked it there in the restaurant.,checked,She,DYNAMIC
Her head tilted into the phone,tilted,head,DYNAMIC
"as she listened, her pleather purse on her lap,",listened,she,DYNAMIC
shining jet against the worn black of her snug Dead Can Dance T-shirt.,shining,,DYNAMIC
"Its from Mitch,",“,,STATIVE
"she said, folding up the phone.",folding,It,DYNAMIC
He says,“,,DYNAMIC
"we should meet him tonight,",meet,we,DYNAMIC
theres a good one going on in that church,’s,meet,STATIVE
that closed down last month.,closed,church,DYNAMIC
I dont know,know,I,STATIVE
 it was going to be just us tonight.,going,it,STATIVE
Im not sure Im up for a night out.,’m,I,STATIVE
I was feeling calm and private that night.,was,I,STATIVE
It seemed,seemed,It,STATIVE
"like tonights darkness was small and personal, cupped hands",was,darkness,STATIVE
"offering a place for two, not the burning, open darkness of a rave.",offering,hands,DYNAMIC
"Baby, lets go.",let,Baby,CANNOT_DECIDE
"Its been over a week,",’s,It,STATIVE
and I want to dance.,want,It,STATIVE
"Lets go together,",Let,,CANNOT_DECIDE
you know,know,you,STATIVE
youll have fun,’ll,you,DYNAMIC
once you get into it.,get,you,DYNAMIC
"She bit the inside of her bottom lip, looking at me",bit,She,DYNAMIC
"like I was breaking her poor, sweet heart.",breaking,I,DYNAMIC
"Im a sucker for that,",’m,I,STATIVE
and she knows it.,knows,I,STATIVE
"Okay, Rachel.",,,CANNOT_DECIDE
"Lets go, youre probably right.",Let,,CANNOT_DECIDE
She grinned,grinned,She,DYNAMIC
"and gave me a kiss across the table, her lips soft and firm and sticking just enough",gave,She,DYNAMIC
that she gave the feeling,gave,she,DYNAMIC
"you were really kissing, not just pressing your face into someone elses.",were,you,DYNAMIC
"Lets not get fucked up tonight, though, okay, Rache?",Let,,CANNOT_DECIDE
We dont  ,–,We,CANNOT_DECIDE
"Sure, babe.",,,CANNOT_DECIDE
"Come on,",Come,,CANNOT_DECIDE
I dont have to get fucked up every time,have,I,DYNAMIC
we go out,go,we,DYNAMIC
just to enjoy myself.,enjoy,we,CANNOT_DECIDE
