Clause,mainVerb,mainReferent,Gold
APPALACHIAN MOUNTAIN CLUB members take recreation time seriously,take,members,STATIVE
and know the importance of good trail information.,know,members,STATIVE
Here are four packages with our most popular titles for you at incredibly low prices.,are,packages,STATIVE
(Retail value: $40.85) Holiday Price $29.95,,,CANNOT_DECIDE
For getting in touch with nature Maine cant be beatits an outdoors lovers paradise!,beat,Maine,STATIVE
"From seaside trails in Acadia National Park to Baxter Parks vast wilderness, youll encounter a host of wildlife, untrammeled hiking trails",’ll,you,DYNAMIC
"rimmed with towering pine, and more than 100 crystal-clear lakes, ponds, and thundering rivers.",rimmed,trails,STATIVE
"AMCs Quiet Water Canoe Guide: Maine offers a chance to experience unspoiled quiet places, to observe wildlife in their natural habitat, to paddle",offers,Guide,DYNAMIC
and completely unwind.,unwind,experience,CANNOT_DECIDE
"When you hit the trail, AMC Maine Mountain Guide and AMC Guide to Mount Desert Island",hit,$,DYNAMIC
and Included in your gift set:,Included,you,STATIVE
"AMC Maine Mountain Guide, 7th edition AMC Guide to Mount Desert Island and Acadia National Park Quiet Water Canoe Guide: Maine (Retail value: $43.85)Holiday Price $29.95",,,CANNOT_DECIDE
New Hampshire Family Recreation Kit,,,CANNOT_DECIDE
"Take two of our most popular Nature Walks guides,",Take,add,CANNOT_DECIDE
add a Quiet Water Canoe Guide,add,,CANNOT_DECIDE
and you have the makings for an unforgettable family vacation in New Hampshire!,have,you,STATIVE
Now is your chance to get a great discount,is,addition,STATIVE
on Nature Walks,,,CANNOT_DECIDE
in the New Hampshire Lakes Regionthe latest addition to our Nature Walks seriesand Nature Hikes in the White Mountains.,,,CANNOT_DECIDE
"These guides are perfect for your family day hikestheyre pocket-size, full of helpful information such as what to wear",are,guides,STATIVE
"and how to prepare,",prepare,information,CANNOT_DECIDE
and the highlights chart makes choosing a walk,makes,guides,DYNAMIC
"easy Kids love to paddle, and the expertly Water Canoe Guide:",,,STATIVE
New Hampshire/Vermont is family oriented and easy to use.,is,Hampshire/Vermont,STATIVE
"It includes detailed maps and photographs; camping and picnicking information; driving, parking, and canoe put-in instructions; illustrated nature essays; tips on safety and equipment.",includes,It,STATIVE
Find a nearby hidden gem,Find,,CANNOT_DECIDE
and start planning your next weekend or family vacation with all three superlative guides.,start,,CANNOT_DECIDE
Included in your gift set: Nature Hikes in the White Mountains Nature Walks in the New Hampshire Lakes Region Quiet Water Canoe Guide: New Hampshire/Vermont,Included,$,STATIVE
(Retail value: $38.85),,,CANNOT_DECIDE
Holiday Price $29.95 You can spend a lifetime in New York City,spend,You,DYNAMIC
and miss out on the remarkable abundance of green space throughout the metropolitan area.,miss,You,DYNAMIC
And in New York state there are even more adventuresgreat paddling destinations from Long Island to the Adirondacks.,are,adventures,STATIVE
The key is knowing,is,key,STATIVE
where to go.,go,knowing,CANNOT_DECIDE
Membership in a Bottle!,Membership,,CANNOT_DECIDE
The definitive gift of friendship for any AMC member to give.,give,gift,CANNOT_DECIDE
Its a starter kit to sharing the outdoors.,’s,It,STATIVE
Your friends will love you for it,love,friends,STATIVE
and youll be helping AMC and its stewardship of the environment with each gift,’ll,friends,DYNAMIC
you give.,give,you,DYNAMIC
Membership in a Bottle includes: 32-oz.,includes,Membership,STATIVE
loop-top Nalgene water bottle 12-month AMC individual membership York by land or by water.,,,CANNOT_DECIDE
"The authors of Nature Walks and Quiet Water have checked out countless locations,",checked,authors,DYNAMIC
culling the best,culling,authors,DYNAMIC
so you dont have to take,have,you,DYNAMIC
a long drive to a disappointing hike or paddleyou can rely on their reporting to guarantee a great trip every time.,disap­pointing,,STATIVE
Induded in your gift set: Nature walks in and around New York City Quiet Water Canoe Guide: New York,Induded,,STATIVE
(Retail value: $28.90) Holiday Price $19.95,,,CANNOT_DECIDE
