Clause,mainVerb,mainReferent,Gold
"Wednesday, 26 May 2010",2010,26,CANNOT_DECIDE
The effect of not being on vacation in Italy on a man with a tall stack of papers to grade.,being,effect,CANNOT_DECIDE
"As you probably noticed,",noticed,you,DYNAMIC
my wife is currently on vacation,is,wife,STATIVE
"without me - which is different than a vacation from me,",is,full,STATIVE
although given,given,understand,STATIVE
how frequently insufferable,insufferable,,CANNOT_DECIDE
"I am,",am,I,STATIVE
"I could understand the appeal of suchin the le Marche region of Italy,",understand,I,STATIVE
which is immediately south of Tuscany and full of communists.,is,region,STATIVE
"As evidence of how thoroughly corrupt the region is,",is,evidence,STATIVE
I present a picture,present,I,DYNAMIC
(courtesy of her) of the cabin,,,CANNOT_DECIDE
she'll be staying in free of charge until July:,staying,she,STATIVE
That's the view,'s,That,STATIVE
she'll be writing her dissertation to the next two months.,writing,she,DYNAMIC
The region is poor,is,region,STATIVE
(though not so much as I thought) and poorly serviced by internet and wifi:,thought,much,STATIVE
there's a router up the hill from her,'s,router,STATIVE
"which sometimes provides wifi,",provides,router,DYNAMIC
but only then into a loft too unbearably hot to occupy during the day.,occupy,,CANNOT_DECIDE
So the only opportunity I have to talk to her,have,I,STATIVE
(via Skype) is that last hour in the late evening,is,opportunity,STATIVE
"when the loft cools enough to be habitableprovided,",provided,hour,DYNAMIC
"of course, that the wifi strength that evening is strong enough to establish and maintain a connection.",is,strength,STATIVE
Which it frequently isn't.,is,it,STATIVE
But this post isn't about how melancholy I become,is,post,STATIVE
when I haven't heard from her by 3 p.m.,heard,I,DYNAMIC
"(which would be midnight over there), because anyone",be,which,STATIVE
"who follows me on Facebook already knows that and because this post concerns Urbino, not my daily descent into emo.",knows,anyone,STATIVE
"I've written about Urbino before ,",written,I,DYNAMIC
"but because the wife is providing me with such dazzling photographs of the city,",providing,wife,DYNAMIC
I feel compelled to do so again.,feel,I,STATIVE
"As I noted in that post, Urbino is not a ""built"" city so much as an ""evolved"" one.",is,Urbino,STATIVE
(The De Landa seems to have become an unwitting theme of late.),seems,Landa,STATIVE
"Of course it was built ,",,,DYNAMIC
"but it was built vertically within the city walls,",,,DYNAMIC
meaning,,,STATIVE
that new buildings were constructed atop existing ones,,,DYNAMIC
like so: The effect is the sort of architecture one,,,STATIVE
"only finds in dreams or representations of them,",,,DYNAMIC
